PERIOD_WARMUP,BAND_VWAP,PERIOD_MA_1,PERIOD_RSI,PERIOD_MOM,DD_PROFIT,DD_RATIO,LOSSCUT_1,N_MINUS_MAX
600,5,30,150,150,20,0.4,-10,300
600,5,30,150,150,20,0.5,-10,300
600,5,30,150,150,20,0.6,-10,300
600,5,30,150,150,20,0.7,-10,300
600,5,30,150,150,20,0.8,-10,300
600,5,30,150,150,20,0.9,-10,300
600,5,30,150,150,30,0.4,-10,300
600,5,30,150,150,30,0.5,-10,300
600,5,30,150,150,30,0.6,-10,300
600,5,30,150,150,30,0.7,-10,300
600,5,30,150,150,30,0.8,-10,300
600,5,30,150,150,30,0.9,-10,300
600,5,30,150,150,40,0.4,-10,300
600,5,30,150,150,40,0.5,-10,300
600,5,30,150,150,40,0.6,-10,300
600,5,30,150,150,40,0.7,-10,300
600,5,30,150,150,40,0.8,-10,300
600,5,30,150,150,40,0.9,-10,300
600,5,30,150,150,50,0.4,-10,300
600,5,30,150,150,50,0.5,-10,300
600,5,30,150,150,50,0.6,-10,300
600,5,30,150,150,50,0.7,-10,300
600,5,30,150,150,50,0.8,-10,300
600,5,30,150,150,50,0.9,-10,300
600,5,30,150,150,60,0.4,-10,300
600,5,30,150,150,60,0.5,-10,300
600,5,30,150,150,60,0.6,-10,300
600,5,30,150,150,60,0.7,-10,300
600,5,30,150,150,60,0.8,-10,300
600,5,30,150,150,60,0.9,-10,300
600,5,30,150,150,70,0.4,-10,300
600,5,30,150,150,70,0.5,-10,300
600,5,30,150,150,70,0.6,-10,300
600,5,30,150,150,70,0.7,-10,300
600,5,30,150,150,70,0.8,-10,300
600,5,30,150,150,70,0.9,-10,300
600,10,30,150,150,20,0.4,-10,300
600,10,30,150,150,20,0.5,-10,300
600,10,30,150,150,20,0.6,-10,300
600,10,30,150,150,20,0.7,-10,300
600,10,30,150,150,20,0.8,-10,300
600,10,30,150,150,20,0.9,-10,300
600,10,30,150,150,30,0.4,-10,300
600,10,30,150,150,30,0.5,-10,300
600,10,30,150,150,30,0.6,-10,300
600,10,30,150,150,30,0.7,-10,300
600,10,30,150,150,30,0.8,-10,300
600,10,30,150,150,30,0.9,-10,300
600,10,30,150,150,40,0.4,-10,300
600,10,30,150,150,40,0.5,-10,300
600,10,30,150,150,40,0.6,-10,300
600,10,30,150,150,40,0.7,-10,300
600,10,30,150,150,40,0.8,-10,300
600,10,30,150,150,40,0.9,-10,300
600,10,30,150,150,50,0.4,-10,300
600,10,30,150,150,50,0.5,-10,300
600,10,30,150,150,50,0.6,-10,300
600,10,30,150,150,50,0.7,-10,300
600,10,30,150,150,50,0.8,-10,300
600,10,30,150,150,50,0.9,-10,300
600,10,30,150,150,60,0.4,-10,300
600,10,30,150,150,60,0.5,-10,300
600,10,30,150,150,60,0.6,-10,300
600,10,30,150,150,60,0.7,-10,300
600,10,30,150,150,60,0.8,-10,300
600,10,30,150,150,60,0.9,-10,300
600,10,30,150,150,70,0.4,-10,300
600,10,30,150,150,70,0.5,-10,300
600,10,30,150,150,70,0.6,-10,300
600,10,30,150,150,70,0.7,-10,300
600,10,30,150,150,70,0.8,-10,300
600,10,30,150,150,70,0.9,-10,300
600,15,30,150,150,20,0.4,-10,300
600,15,30,150,150,20,0.5,-10,300
600,15,30,150,150,20,0.6,-10,300
600,15,30,150,150,20,0.7,-10,300
600,15,30,150,150,20,0.8,-10,300
600,15,30,150,150,20,0.9,-10,300
600,15,30,150,150,30,0.4,-10,300
600,15,30,150,150,30,0.5,-10,300
600,15,30,150,150,30,0.6,-10,300
600,15,30,150,150,30,0.7,-10,300
600,15,30,150,150,30,0.8,-10,300
600,15,30,150,150,30,0.9,-10,300
600,15,30,150,150,40,0.4,-10,300
600,15,30,150,150,40,0.5,-10,300
600,15,30,150,150,40,0.6,-10,300
600,15,30,150,150,40,0.7,-10,300
600,15,30,150,150,40,0.8,-10,300
600,15,30,150,150,40,0.9,-10,300
600,15,30,150,150,50,0.4,-10,300
600,15,30,150,150,50,0.5,-10,300
600,15,30,150,150,50,0.6,-10,300
600,15,30,150,150,50,0.7,-10,300
600,15,30,150,150,50,0.8,-10,300
600,15,30,150,150,50,0.9,-10,300
600,15,30,150,150,60,0.4,-10,300
600,15,30,150,150,60,0.5,-10,300
600,15,30,150,150,60,0.6,-10,300
600,15,30,150,150,60,0.7,-10,300
600,15,30,150,150,60,0.8,-10,300
600,15,30,150,150,60,0.9,-10,300
600,15,30,150,150,70,0.4,-10,300
600,15,30,150,150,70,0.5,-10,300
600,15,30,150,150,70,0.6,-10,300
600,15,30,150,150,70,0.7,-10,300
600,15,30,150,150,70,0.8,-10,300
600,15,30,150,150,70,0.9,-10,300
