PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,10
40,300,10
50,300,10
60,300,10
70,300,10
80,300,10
90,300,10
100,300,10
110,300,10
120,300,10
130,300,10
140,300,10
150,300,10
160,300,10
170,300,10
180,300,10
190,300,10
30,350,10
40,350,10
50,350,10
60,350,10
70,350,10
80,350,10
90,350,10
100,350,10
110,350,10
120,350,10
130,350,10
140,350,10
150,350,10
160,350,10
170,350,10
180,350,10
190,350,10
30,400,10
40,400,10
50,400,10
60,400,10
70,400,10
80,400,10
90,400,10
100,400,10
110,400,10
120,400,10
130,400,10
140,400,10
150,400,10
160,400,10
170,400,10
180,400,10
190,400,10
30,450,10
40,450,10
50,450,10
60,450,10
70,450,10
80,450,10
90,450,10
100,450,10
110,450,10
120,450,10
130,450,10
140,450,10
150,450,10
160,450,10
170,450,10
180,450,10
190,450,10
30,500,10
40,500,10
50,500,10
60,500,10
70,500,10
80,500,10
90,500,10
100,500,10
110,500,10
120,500,10
130,500,10
140,500,10
150,500,10
160,500,10
170,500,10
180,500,10
190,500,10
30,550,10
40,550,10
50,550,10
60,550,10
70,550,10
80,550,10
90,550,10
100,550,10
110,550,10
120,550,10
130,550,10
140,550,10
150,550,10
160,550,10
170,550,10
180,550,10
190,550,10
30,600,10
40,600,10
50,600,10
60,600,10
70,600,10
80,600,10
90,600,10
100,600,10
110,600,10
120,600,10
130,600,10
140,600,10
150,600,10
160,600,10
170,600,10
180,600,10
190,600,10
30,650,10
40,650,10
50,650,10
60,650,10
70,650,10
80,650,10
90,650,10
100,650,10
110,650,10
120,650,10
130,650,10
140,650,10
150,650,10
160,650,10
170,650,10
180,650,10
190,650,10
30,700,10
40,700,10
50,700,10
60,700,10
70,700,10
80,700,10
90,700,10
100,700,10
110,700,10
120,700,10
130,700,10
140,700,10
150,700,10
160,700,10
170,700,10
180,700,10
190,700,10
30,750,10
40,750,10
50,750,10
60,750,10
70,750,10
80,750,10
90,750,10
100,750,10
110,750,10
120,750,10
130,750,10
140,750,10
150,750,10
160,750,10
170,750,10
180,750,10
190,750,10
30,800,10
40,800,10
50,800,10
60,800,10
70,800,10
80,800,10
90,800,10
100,800,10
110,800,10
120,800,10
130,800,10
140,800,10
150,800,10
160,800,10
170,800,10
180,800,10
190,800,10
30,850,10
40,850,10
50,850,10
60,850,10
70,850,10
80,850,10
90,850,10
100,850,10
110,850,10
120,850,10
130,850,10
140,850,10
150,850,10
160,850,10
170,850,10
180,850,10
190,850,10
30,900,10
40,900,10
50,900,10
60,900,10
70,900,10
80,900,10
90,900,10
100,900,10
110,900,10
120,900,10
130,900,10
140,900,10
150,900,10
160,900,10
170,900,10
180,900,10
190,900,10
30,950,10
40,950,10
50,950,10
60,950,10
70,950,10
80,950,10
90,950,10
100,950,10
110,950,10
120,950,10
130,950,10
140,950,10
150,950,10
160,950,10
170,950,10
180,950,10
190,950,10
30,1000,10
40,1000,10
50,1000,10
60,1000,10
70,1000,10
80,1000,10
90,1000,10
100,1000,10
110,1000,10
120,1000,10
130,1000,10
140,1000,10
150,1000,10
160,1000,10
170,1000,10
180,1000,10
190,1000,10
30,1050,10
40,1050,10
50,1050,10
60,1050,10
70,1050,10
80,1050,10
90,1050,10
100,1050,10
110,1050,10
120,1050,10
130,1050,10
140,1050,10
150,1050,10
160,1050,10
170,1050,10
180,1050,10
190,1050,10
30,1100,10
40,1100,10
50,1100,10
60,1100,10
70,1100,10
80,1100,10
90,1100,10
100,1100,10
110,1100,10
120,1100,10
130,1100,10
140,1100,10
150,1100,10
160,1100,10
170,1100,10
180,1100,10
190,1100,10
