PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,7.5
40,300,7.5
50,300,7.5
60,300,7.5
70,300,7.5
80,300,7.5
90,300,7.5
100,300,7.5
110,300,7.5
120,300,7.5
130,300,7.5
140,300,7.5
150,300,7.5
160,300,7.5
170,300,7.5
180,300,7.5
190,300,7.5
30,350,7.5
40,350,7.5
50,350,7.5
60,350,7.5
70,350,7.5
80,350,7.5
90,350,7.5
100,350,7.5
110,350,7.5
120,350,7.5
130,350,7.5
140,350,7.5
150,350,7.5
160,350,7.5
170,350,7.5
180,350,7.5
190,350,7.5
30,400,7.5
40,400,7.5
50,400,7.5
60,400,7.5
70,400,7.5
80,400,7.5
90,400,7.5
100,400,7.5
110,400,7.5
120,400,7.5
130,400,7.5
140,400,7.5
150,400,7.5
160,400,7.5
170,400,7.5
180,400,7.5
190,400,7.5
30,450,7.5
40,450,7.5
50,450,7.5
60,450,7.5
70,450,7.5
80,450,7.5
90,450,7.5
100,450,7.5
110,450,7.5
120,450,7.5
130,450,7.5
140,450,7.5
150,450,7.5
160,450,7.5
170,450,7.5
180,450,7.5
190,450,7.5
30,500,7.5
40,500,7.5
50,500,7.5
60,500,7.5
70,500,7.5
80,500,7.5
90,500,7.5
100,500,7.5
110,500,7.5
120,500,7.5
130,500,7.5
140,500,7.5
150,500,7.5
160,500,7.5
170,500,7.5
180,500,7.5
190,500,7.5
30,550,7.5
40,550,7.5
50,550,7.5
60,550,7.5
70,550,7.5
80,550,7.5
90,550,7.5
100,550,7.5
110,550,7.5
120,550,7.5
130,550,7.5
140,550,7.5
150,550,7.5
160,550,7.5
170,550,7.5
180,550,7.5
190,550,7.5
30,600,7.5
40,600,7.5
50,600,7.5
60,600,7.5
70,600,7.5
80,600,7.5
90,600,7.5
100,600,7.5
110,600,7.5
120,600,7.5
130,600,7.5
140,600,7.5
150,600,7.5
160,600,7.5
170,600,7.5
180,600,7.5
190,600,7.5
30,650,7.5
40,650,7.5
50,650,7.5
60,650,7.5
70,650,7.5
80,650,7.5
90,650,7.5
100,650,7.5
110,650,7.5
120,650,7.5
130,650,7.5
140,650,7.5
150,650,7.5
160,650,7.5
170,650,7.5
180,650,7.5
190,650,7.5
30,700,7.5
40,700,7.5
50,700,7.5
60,700,7.5
70,700,7.5
80,700,7.5
90,700,7.5
100,700,7.5
110,700,7.5
120,700,7.5
130,700,7.5
140,700,7.5
150,700,7.5
160,700,7.5
170,700,7.5
180,700,7.5
190,700,7.5
30,750,7.5
40,750,7.5
50,750,7.5
60,750,7.5
70,750,7.5
80,750,7.5
90,750,7.5
100,750,7.5
110,750,7.5
120,750,7.5
130,750,7.5
140,750,7.5
150,750,7.5
160,750,7.5
170,750,7.5
180,750,7.5
190,750,7.5
30,800,7.5
40,800,7.5
50,800,7.5
60,800,7.5
70,800,7.5
80,800,7.5
90,800,7.5
100,800,7.5
110,800,7.5
120,800,7.5
130,800,7.5
140,800,7.5
150,800,7.5
160,800,7.5
170,800,7.5
180,800,7.5
190,800,7.5
30,850,7.5
40,850,7.5
50,850,7.5
60,850,7.5
70,850,7.5
80,850,7.5
90,850,7.5
100,850,7.5
110,850,7.5
120,850,7.5
130,850,7.5
140,850,7.5
150,850,7.5
160,850,7.5
170,850,7.5
180,850,7.5
190,850,7.5
30,900,7.5
40,900,7.5
50,900,7.5
60,900,7.5
70,900,7.5
80,900,7.5
90,900,7.5
100,900,7.5
110,900,7.5
120,900,7.5
130,900,7.5
140,900,7.5
150,900,7.5
160,900,7.5
170,900,7.5
180,900,7.5
190,900,7.5
30,950,7.5
40,950,7.5
50,950,7.5
60,950,7.5
70,950,7.5
80,950,7.5
90,950,7.5
100,950,7.5
110,950,7.5
120,950,7.5
130,950,7.5
140,950,7.5
150,950,7.5
160,950,7.5
170,950,7.5
180,950,7.5
190,950,7.5
30,1000,7.5
40,1000,7.5
50,1000,7.5
60,1000,7.5
70,1000,7.5
80,1000,7.5
90,1000,7.5
100,1000,7.5
110,1000,7.5
120,1000,7.5
130,1000,7.5
140,1000,7.5
150,1000,7.5
160,1000,7.5
170,1000,7.5
180,1000,7.5
190,1000,7.5
30,1050,7.5
40,1050,7.5
50,1050,7.5
60,1050,7.5
70,1050,7.5
80,1050,7.5
90,1050,7.5
100,1050,7.5
110,1050,7.5
120,1050,7.5
130,1050,7.5
140,1050,7.5
150,1050,7.5
160,1050,7.5
170,1050,7.5
180,1050,7.5
190,1050,7.5
30,1100,7.5
40,1100,7.5
50,1100,7.5
60,1100,7.5
70,1100,7.5
80,1100,7.5
90,1100,7.5
100,1100,7.5
110,1100,7.5
120,1100,7.5
130,1100,7.5
140,1100,7.5
150,1100,7.5
160,1100,7.5
170,1100,7.5
180,1100,7.5
190,1100,7.5
