PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,20
40,300,20
50,300,20
60,300,20
70,300,20
80,300,20
90,300,20
100,300,20
110,300,20
120,300,20
130,300,20
140,300,20
150,300,20
160,300,20
170,300,20
180,300,20
190,300,20
30,350,20
40,350,20
50,350,20
60,350,20
70,350,20
80,350,20
90,350,20
100,350,20
110,350,20
120,350,20
130,350,20
140,350,20
150,350,20
160,350,20
170,350,20
180,350,20
190,350,20
30,400,20
40,400,20
50,400,20
60,400,20
70,400,20
80,400,20
90,400,20
100,400,20
110,400,20
120,400,20
130,400,20
140,400,20
150,400,20
160,400,20
170,400,20
180,400,20
190,400,20
30,450,20
40,450,20
50,450,20
60,450,20
70,450,20
80,450,20
90,450,20
100,450,20
110,450,20
120,450,20
130,450,20
140,450,20
150,450,20
160,450,20
170,450,20
180,450,20
190,450,20
30,500,20
40,500,20
50,500,20
60,500,20
70,500,20
80,500,20
90,500,20
100,500,20
110,500,20
120,500,20
130,500,20
140,500,20
150,500,20
160,500,20
170,500,20
180,500,20
190,500,20
30,550,20
40,550,20
50,550,20
60,550,20
70,550,20
80,550,20
90,550,20
100,550,20
110,550,20
120,550,20
130,550,20
140,550,20
150,550,20
160,550,20
170,550,20
180,550,20
190,550,20
30,600,20
40,600,20
50,600,20
60,600,20
70,600,20
80,600,20
90,600,20
100,600,20
110,600,20
120,600,20
130,600,20
140,600,20
150,600,20
160,600,20
170,600,20
180,600,20
190,600,20
30,650,20
40,650,20
50,650,20
60,650,20
70,650,20
80,650,20
90,650,20
100,650,20
110,650,20
120,650,20
130,650,20
140,650,20
150,650,20
160,650,20
170,650,20
180,650,20
190,650,20
30,700,20
40,700,20
50,700,20
60,700,20
70,700,20
80,700,20
90,700,20
100,700,20
110,700,20
120,700,20
130,700,20
140,700,20
150,700,20
160,700,20
170,700,20
180,700,20
190,700,20
30,750,20
40,750,20
50,750,20
60,750,20
70,750,20
80,750,20
90,750,20
100,750,20
110,750,20
120,750,20
130,750,20
140,750,20
150,750,20
160,750,20
170,750,20
180,750,20
190,750,20
30,800,20
40,800,20
50,800,20
60,800,20
70,800,20
80,800,20
90,800,20
100,800,20
110,800,20
120,800,20
130,800,20
140,800,20
150,800,20
160,800,20
170,800,20
180,800,20
190,800,20
30,850,20
40,850,20
50,850,20
60,850,20
70,850,20
80,850,20
90,850,20
100,850,20
110,850,20
120,850,20
130,850,20
140,850,20
150,850,20
160,850,20
170,850,20
180,850,20
190,850,20
30,900,20
40,900,20
50,900,20
60,900,20
70,900,20
80,900,20
90,900,20
100,900,20
110,900,20
120,900,20
130,900,20
140,900,20
150,900,20
160,900,20
170,900,20
180,900,20
190,900,20
30,950,20
40,950,20
50,950,20
60,950,20
70,950,20
80,950,20
90,950,20
100,950,20
110,950,20
120,950,20
130,950,20
140,950,20
150,950,20
160,950,20
170,950,20
180,950,20
190,950,20
30,1000,20
40,1000,20
50,1000,20
60,1000,20
70,1000,20
80,1000,20
90,1000,20
100,1000,20
110,1000,20
120,1000,20
130,1000,20
140,1000,20
150,1000,20
160,1000,20
170,1000,20
180,1000,20
190,1000,20
30,1050,20
40,1050,20
50,1050,20
60,1050,20
70,1050,20
80,1050,20
90,1050,20
100,1050,20
110,1050,20
120,1050,20
130,1050,20
140,1050,20
150,1050,20
160,1050,20
170,1050,20
180,1050,20
190,1050,20
30,1100,20
40,1100,20
50,1100,20
60,1100,20
70,1100,20
80,1100,20
90,1100,20
100,1100,20
110,1100,20
120,1100,20
130,1100,20
140,1100,20
150,1100,20
160,1100,20
170,1100,20
180,1100,20
190,1100,20
