PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,25
40,300,25
50,300,25
60,300,25
70,300,25
80,300,25
90,300,25
100,300,25
110,300,25
120,300,25
130,300,25
140,300,25
150,300,25
160,300,25
170,300,25
180,300,25
190,300,25
30,350,25
40,350,25
50,350,25
60,350,25
70,350,25
80,350,25
90,350,25
100,350,25
110,350,25
120,350,25
130,350,25
140,350,25
150,350,25
160,350,25
170,350,25
180,350,25
190,350,25
30,400,25
40,400,25
50,400,25
60,400,25
70,400,25
80,400,25
90,400,25
100,400,25
110,400,25
120,400,25
130,400,25
140,400,25
150,400,25
160,400,25
170,400,25
180,400,25
190,400,25
30,450,25
40,450,25
50,450,25
60,450,25
70,450,25
80,450,25
90,450,25
100,450,25
110,450,25
120,450,25
130,450,25
140,450,25
150,450,25
160,450,25
170,450,25
180,450,25
190,450,25
30,500,25
40,500,25
50,500,25
60,500,25
70,500,25
80,500,25
90,500,25
100,500,25
110,500,25
120,500,25
130,500,25
140,500,25
150,500,25
160,500,25
170,500,25
180,500,25
190,500,25
30,550,25
40,550,25
50,550,25
60,550,25
70,550,25
80,550,25
90,550,25
100,550,25
110,550,25
120,550,25
130,550,25
140,550,25
150,550,25
160,550,25
170,550,25
180,550,25
190,550,25
30,600,25
40,600,25
50,600,25
60,600,25
70,600,25
80,600,25
90,600,25
100,600,25
110,600,25
120,600,25
130,600,25
140,600,25
150,600,25
160,600,25
170,600,25
180,600,25
190,600,25
30,650,25
40,650,25
50,650,25
60,650,25
70,650,25
80,650,25
90,650,25
100,650,25
110,650,25
120,650,25
130,650,25
140,650,25
150,650,25
160,650,25
170,650,25
180,650,25
190,650,25
30,700,25
40,700,25
50,700,25
60,700,25
70,700,25
80,700,25
90,700,25
100,700,25
110,700,25
120,700,25
130,700,25
140,700,25
150,700,25
160,700,25
170,700,25
180,700,25
190,700,25
30,750,25
40,750,25
50,750,25
60,750,25
70,750,25
80,750,25
90,750,25
100,750,25
110,750,25
120,750,25
130,750,25
140,750,25
150,750,25
160,750,25
170,750,25
180,750,25
190,750,25
30,800,25
40,800,25
50,800,25
60,800,25
70,800,25
80,800,25
90,800,25
100,800,25
110,800,25
120,800,25
130,800,25
140,800,25
150,800,25
160,800,25
170,800,25
180,800,25
190,800,25
30,850,25
40,850,25
50,850,25
60,850,25
70,850,25
80,850,25
90,850,25
100,850,25
110,850,25
120,850,25
130,850,25
140,850,25
150,850,25
160,850,25
170,850,25
180,850,25
190,850,25
30,900,25
40,900,25
50,900,25
60,900,25
70,900,25
80,900,25
90,900,25
100,900,25
110,900,25
120,900,25
130,900,25
140,900,25
150,900,25
160,900,25
170,900,25
180,900,25
190,900,25
30,950,25
40,950,25
50,950,25
60,950,25
70,950,25
80,950,25
90,950,25
100,950,25
110,950,25
120,950,25
130,950,25
140,950,25
150,950,25
160,950,25
170,950,25
180,950,25
190,950,25
30,1000,25
40,1000,25
50,1000,25
60,1000,25
70,1000,25
80,1000,25
90,1000,25
100,1000,25
110,1000,25
120,1000,25
130,1000,25
140,1000,25
150,1000,25
160,1000,25
170,1000,25
180,1000,25
190,1000,25
30,1050,25
40,1050,25
50,1050,25
60,1050,25
70,1050,25
80,1050,25
90,1050,25
100,1050,25
110,1050,25
120,1050,25
130,1050,25
140,1050,25
150,1050,25
160,1050,25
170,1050,25
180,1050,25
190,1050,25
30,1100,25
40,1100,25
50,1100,25
60,1100,25
70,1100,25
80,1100,25
90,1100,25
100,1100,25
110,1100,25
120,1100,25
130,1100,25
140,1100,25
150,1100,25
160,1100,25
170,1100,25
180,1100,25
190,1100,25
