PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,5
40,300,5
50,300,5
60,300,5
70,300,5
80,300,5
90,300,5
100,300,5
110,300,5
120,300,5
130,300,5
140,300,5
150,300,5
160,300,5
170,300,5
180,300,5
190,300,5
30,350,5
40,350,5
50,350,5
60,350,5
70,350,5
80,350,5
90,350,5
100,350,5
110,350,5
120,350,5
130,350,5
140,350,5
150,350,5
160,350,5
170,350,5
180,350,5
190,350,5
30,400,5
40,400,5
50,400,5
60,400,5
70,400,5
80,400,5
90,400,5
100,400,5
110,400,5
120,400,5
130,400,5
140,400,5
150,400,5
160,400,5
170,400,5
180,400,5
190,400,5
30,450,5
40,450,5
50,450,5
60,450,5
70,450,5
80,450,5
90,450,5
100,450,5
110,450,5
120,450,5
130,450,5
140,450,5
150,450,5
160,450,5
170,450,5
180,450,5
190,450,5
30,500,5
40,500,5
50,500,5
60,500,5
70,500,5
80,500,5
90,500,5
100,500,5
110,500,5
120,500,5
130,500,5
140,500,5
150,500,5
160,500,5
170,500,5
180,500,5
190,500,5
30,550,5
40,550,5
50,550,5
60,550,5
70,550,5
80,550,5
90,550,5
100,550,5
110,550,5
120,550,5
130,550,5
140,550,5
150,550,5
160,550,5
170,550,5
180,550,5
190,550,5
30,600,5
40,600,5
50,600,5
60,600,5
70,600,5
80,600,5
90,600,5
100,600,5
110,600,5
120,600,5
130,600,5
140,600,5
150,600,5
160,600,5
170,600,5
180,600,5
190,600,5
30,650,5
40,650,5
50,650,5
60,650,5
70,650,5
80,650,5
90,650,5
100,650,5
110,650,5
120,650,5
130,650,5
140,650,5
150,650,5
160,650,5
170,650,5
180,650,5
190,650,5
30,700,5
40,700,5
50,700,5
60,700,5
70,700,5
80,700,5
90,700,5
100,700,5
110,700,5
120,700,5
130,700,5
140,700,5
150,700,5
160,700,5
170,700,5
180,700,5
190,700,5
30,750,5
40,750,5
50,750,5
60,750,5
70,750,5
80,750,5
90,750,5
100,750,5
110,750,5
120,750,5
130,750,5
140,750,5
150,750,5
160,750,5
170,750,5
180,750,5
190,750,5
30,800,5
40,800,5
50,800,5
60,800,5
70,800,5
80,800,5
90,800,5
100,800,5
110,800,5
120,800,5
130,800,5
140,800,5
150,800,5
160,800,5
170,800,5
180,800,5
190,800,5
30,850,5
40,850,5
50,850,5
60,850,5
70,850,5
80,850,5
90,850,5
100,850,5
110,850,5
120,850,5
130,850,5
140,850,5
150,850,5
160,850,5
170,850,5
180,850,5
190,850,5
30,900,5
40,900,5
50,900,5
60,900,5
70,900,5
80,900,5
90,900,5
100,900,5
110,900,5
120,900,5
130,900,5
140,900,5
150,900,5
160,900,5
170,900,5
180,900,5
190,900,5
30,950,5
40,950,5
50,950,5
60,950,5
70,950,5
80,950,5
90,950,5
100,950,5
110,950,5
120,950,5
130,950,5
140,950,5
150,950,5
160,950,5
170,950,5
180,950,5
190,950,5
30,1000,5
40,1000,5
50,1000,5
60,1000,5
70,1000,5
80,1000,5
90,1000,5
100,1000,5
110,1000,5
120,1000,5
130,1000,5
140,1000,5
150,1000,5
160,1000,5
170,1000,5
180,1000,5
190,1000,5
30,1050,5
40,1050,5
50,1050,5
60,1050,5
70,1050,5
80,1050,5
90,1050,5
100,1050,5
110,1050,5
120,1050,5
130,1050,5
140,1050,5
150,1050,5
160,1050,5
170,1050,5
180,1050,5
190,1050,5
30,1100,5
40,1100,5
50,1100,5
60,1100,5
70,1100,5
80,1100,5
90,1100,5
100,1100,5
110,1100,5
120,1100,5
130,1100,5
140,1100,5
150,1100,5
160,1100,5
170,1100,5
180,1100,5
190,1100,5
