PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,30
40,300,30
50,300,30
60,300,30
70,300,30
80,300,30
90,300,30
100,300,30
110,300,30
120,300,30
130,300,30
140,300,30
150,300,30
160,300,30
170,300,30
180,300,30
190,300,30
30,350,30
40,350,30
50,350,30
60,350,30
70,350,30
80,350,30
90,350,30
100,350,30
110,350,30
120,350,30
130,350,30
140,350,30
150,350,30
160,350,30
170,350,30
180,350,30
190,350,30
30,400,30
40,400,30
50,400,30
60,400,30
70,400,30
80,400,30
90,400,30
100,400,30
110,400,30
120,400,30
130,400,30
140,400,30
150,400,30
160,400,30
170,400,30
180,400,30
190,400,30
30,450,30
40,450,30
50,450,30
60,450,30
70,450,30
80,450,30
90,450,30
100,450,30
110,450,30
120,450,30
130,450,30
140,450,30
150,450,30
160,450,30
170,450,30
180,450,30
190,450,30
30,500,30
40,500,30
50,500,30
60,500,30
70,500,30
80,500,30
90,500,30
100,500,30
110,500,30
120,500,30
130,500,30
140,500,30
150,500,30
160,500,30
170,500,30
180,500,30
190,500,30
30,550,30
40,550,30
50,550,30
60,550,30
70,550,30
80,550,30
90,550,30
100,550,30
110,550,30
120,550,30
130,550,30
140,550,30
150,550,30
160,550,30
170,550,30
180,550,30
190,550,30
30,600,30
40,600,30
50,600,30
60,600,30
70,600,30
80,600,30
90,600,30
100,600,30
110,600,30
120,600,30
130,600,30
140,600,30
150,600,30
160,600,30
170,600,30
180,600,30
190,600,30
30,650,30
40,650,30
50,650,30
60,650,30
70,650,30
80,650,30
90,650,30
100,650,30
110,650,30
120,650,30
130,650,30
140,650,30
150,650,30
160,650,30
170,650,30
180,650,30
190,650,30
30,700,30
40,700,30
50,700,30
60,700,30
70,700,30
80,700,30
90,700,30
100,700,30
110,700,30
120,700,30
130,700,30
140,700,30
150,700,30
160,700,30
170,700,30
180,700,30
190,700,30
30,750,30
40,750,30
50,750,30
60,750,30
70,750,30
80,750,30
90,750,30
100,750,30
110,750,30
120,750,30
130,750,30
140,750,30
150,750,30
160,750,30
170,750,30
180,750,30
190,750,30
30,800,30
40,800,30
50,800,30
60,800,30
70,800,30
80,800,30
90,800,30
100,800,30
110,800,30
120,800,30
130,800,30
140,800,30
150,800,30
160,800,30
170,800,30
180,800,30
190,800,30
30,850,30
40,850,30
50,850,30
60,850,30
70,850,30
80,850,30
90,850,30
100,850,30
110,850,30
120,850,30
130,850,30
140,850,30
150,850,30
160,850,30
170,850,30
180,850,30
190,850,30
30,900,30
40,900,30
50,900,30
60,900,30
70,900,30
80,900,30
90,900,30
100,900,30
110,900,30
120,900,30
130,900,30
140,900,30
150,900,30
160,900,30
170,900,30
180,900,30
190,900,30
30,950,30
40,950,30
50,950,30
60,950,30
70,950,30
80,950,30
90,950,30
100,950,30
110,950,30
120,950,30
130,950,30
140,950,30
150,950,30
160,950,30
170,950,30
180,950,30
190,950,30
30,1000,30
40,1000,30
50,1000,30
60,1000,30
70,1000,30
80,1000,30
90,1000,30
100,1000,30
110,1000,30
120,1000,30
130,1000,30
140,1000,30
150,1000,30
160,1000,30
170,1000,30
180,1000,30
190,1000,30
30,1050,30
40,1050,30
50,1050,30
60,1050,30
70,1050,30
80,1050,30
90,1050,30
100,1050,30
110,1050,30
120,1050,30
130,1050,30
140,1050,30
150,1050,30
160,1050,30
170,1050,30
180,1050,30
190,1050,30
30,1100,30
40,1100,30
50,1100,30
60,1100,30
70,1100,30
80,1100,30
90,1100,30
100,1100,30
110,1100,30
120,1100,30
130,1100,30
140,1100,30
150,1100,30
160,1100,30
170,1100,30
180,1100,30
190,1100,30
