PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,35
40,300,35
50,300,35
60,300,35
70,300,35
80,300,35
90,300,35
100,300,35
110,300,35
120,300,35
130,300,35
140,300,35
150,300,35
160,300,35
170,300,35
180,300,35
190,300,35
30,350,35
40,350,35
50,350,35
60,350,35
70,350,35
80,350,35
90,350,35
100,350,35
110,350,35
120,350,35
130,350,35
140,350,35
150,350,35
160,350,35
170,350,35
180,350,35
190,350,35
30,400,35
40,400,35
50,400,35
60,400,35
70,400,35
80,400,35
90,400,35
100,400,35
110,400,35
120,400,35
130,400,35
140,400,35
150,400,35
160,400,35
170,400,35
180,400,35
190,400,35
30,450,35
40,450,35
50,450,35
60,450,35
70,450,35
80,450,35
90,450,35
100,450,35
110,450,35
120,450,35
130,450,35
140,450,35
150,450,35
160,450,35
170,450,35
180,450,35
190,450,35
30,500,35
40,500,35
50,500,35
60,500,35
70,500,35
80,500,35
90,500,35
100,500,35
110,500,35
120,500,35
130,500,35
140,500,35
150,500,35
160,500,35
170,500,35
180,500,35
190,500,35
30,550,35
40,550,35
50,550,35
60,550,35
70,550,35
80,550,35
90,550,35
100,550,35
110,550,35
120,550,35
130,550,35
140,550,35
150,550,35
160,550,35
170,550,35
180,550,35
190,550,35
30,600,35
40,600,35
50,600,35
60,600,35
70,600,35
80,600,35
90,600,35
100,600,35
110,600,35
120,600,35
130,600,35
140,600,35
150,600,35
160,600,35
170,600,35
180,600,35
190,600,35
30,650,35
40,650,35
50,650,35
60,650,35
70,650,35
80,650,35
90,650,35
100,650,35
110,650,35
120,650,35
130,650,35
140,650,35
150,650,35
160,650,35
170,650,35
180,650,35
190,650,35
30,700,35
40,700,35
50,700,35
60,700,35
70,700,35
80,700,35
90,700,35
100,700,35
110,700,35
120,700,35
130,700,35
140,700,35
150,700,35
160,700,35
170,700,35
180,700,35
190,700,35
30,750,35
40,750,35
50,750,35
60,750,35
70,750,35
80,750,35
90,750,35
100,750,35
110,750,35
120,750,35
130,750,35
140,750,35
150,750,35
160,750,35
170,750,35
180,750,35
190,750,35
30,800,35
40,800,35
50,800,35
60,800,35
70,800,35
80,800,35
90,800,35
100,800,35
110,800,35
120,800,35
130,800,35
140,800,35
150,800,35
160,800,35
170,800,35
180,800,35
190,800,35
30,850,35
40,850,35
50,850,35
60,850,35
70,850,35
80,850,35
90,850,35
100,850,35
110,850,35
120,850,35
130,850,35
140,850,35
150,850,35
160,850,35
170,850,35
180,850,35
190,850,35
30,900,35
40,900,35
50,900,35
60,900,35
70,900,35
80,900,35
90,900,35
100,900,35
110,900,35
120,900,35
130,900,35
140,900,35
150,900,35
160,900,35
170,900,35
180,900,35
190,900,35
30,950,35
40,950,35
50,950,35
60,950,35
70,950,35
80,950,35
90,950,35
100,950,35
110,950,35
120,950,35
130,950,35
140,950,35
150,950,35
160,950,35
170,950,35
180,950,35
190,950,35
30,1000,35
40,1000,35
50,1000,35
60,1000,35
70,1000,35
80,1000,35
90,1000,35
100,1000,35
110,1000,35
120,1000,35
130,1000,35
140,1000,35
150,1000,35
160,1000,35
170,1000,35
180,1000,35
190,1000,35
30,1050,35
40,1050,35
50,1050,35
60,1050,35
70,1050,35
80,1050,35
90,1050,35
100,1050,35
110,1050,35
120,1050,35
130,1050,35
140,1050,35
150,1050,35
160,1050,35
170,1050,35
180,1050,35
190,1050,35
30,1100,35
40,1100,35
50,1100,35
60,1100,35
70,1100,35
80,1100,35
90,1100,35
100,1100,35
110,1100,35
120,1100,35
130,1100,35
140,1100,35
150,1100,35
160,1100,35
170,1100,35
180,1100,35
190,1100,35
