PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,40
40,300,40
50,300,40
60,300,40
70,300,40
80,300,40
90,300,40
100,300,40
110,300,40
120,300,40
130,300,40
140,300,40
150,300,40
160,300,40
170,300,40
180,300,40
190,300,40
30,350,40
40,350,40
50,350,40
60,350,40
70,350,40
80,350,40
90,350,40
100,350,40
110,350,40
120,350,40
130,350,40
140,350,40
150,350,40
160,350,40
170,350,40
180,350,40
190,350,40
30,400,40
40,400,40
50,400,40
60,400,40
70,400,40
80,400,40
90,400,40
100,400,40
110,400,40
120,400,40
130,400,40
140,400,40
150,400,40
160,400,40
170,400,40
180,400,40
190,400,40
30,450,40
40,450,40
50,450,40
60,450,40
70,450,40
80,450,40
90,450,40
100,450,40
110,450,40
120,450,40
130,450,40
140,450,40
150,450,40
160,450,40
170,450,40
180,450,40
190,450,40
30,500,40
40,500,40
50,500,40
60,500,40
70,500,40
80,500,40
90,500,40
100,500,40
110,500,40
120,500,40
130,500,40
140,500,40
150,500,40
160,500,40
170,500,40
180,500,40
190,500,40
30,550,40
40,550,40
50,550,40
60,550,40
70,550,40
80,550,40
90,550,40
100,550,40
110,550,40
120,550,40
130,550,40
140,550,40
150,550,40
160,550,40
170,550,40
180,550,40
190,550,40
30,600,40
40,600,40
50,600,40
60,600,40
70,600,40
80,600,40
90,600,40
100,600,40
110,600,40
120,600,40
130,600,40
140,600,40
150,600,40
160,600,40
170,600,40
180,600,40
190,600,40
30,650,40
40,650,40
50,650,40
60,650,40
70,650,40
80,650,40
90,650,40
100,650,40
110,650,40
120,650,40
130,650,40
140,650,40
150,650,40
160,650,40
170,650,40
180,650,40
190,650,40
30,700,40
40,700,40
50,700,40
60,700,40
70,700,40
80,700,40
90,700,40
100,700,40
110,700,40
120,700,40
130,700,40
140,700,40
150,700,40
160,700,40
170,700,40
180,700,40
190,700,40
30,750,40
40,750,40
50,750,40
60,750,40
70,750,40
80,750,40
90,750,40
100,750,40
110,750,40
120,750,40
130,750,40
140,750,40
150,750,40
160,750,40
170,750,40
180,750,40
190,750,40
30,800,40
40,800,40
50,800,40
60,800,40
70,800,40
80,800,40
90,800,40
100,800,40
110,800,40
120,800,40
130,800,40
140,800,40
150,800,40
160,800,40
170,800,40
180,800,40
190,800,40
30,850,40
40,850,40
50,850,40
60,850,40
70,850,40
80,850,40
90,850,40
100,850,40
110,850,40
120,850,40
130,850,40
140,850,40
150,850,40
160,850,40
170,850,40
180,850,40
190,850,40
30,900,40
40,900,40
50,900,40
60,900,40
70,900,40
80,900,40
90,900,40
100,900,40
110,900,40
120,900,40
130,900,40
140,900,40
150,900,40
160,900,40
170,900,40
180,900,40
190,900,40
30,950,40
40,950,40
50,950,40
60,950,40
70,950,40
80,950,40
90,950,40
100,950,40
110,950,40
120,950,40
130,950,40
140,950,40
150,950,40
160,950,40
170,950,40
180,950,40
190,950,40
30,1000,40
40,1000,40
50,1000,40
60,1000,40
70,1000,40
80,1000,40
90,1000,40
100,1000,40
110,1000,40
120,1000,40
130,1000,40
140,1000,40
150,1000,40
160,1000,40
170,1000,40
180,1000,40
190,1000,40
30,1050,40
40,1050,40
50,1050,40
60,1050,40
70,1050,40
80,1050,40
90,1050,40
100,1050,40
110,1050,40
120,1050,40
130,1050,40
140,1050,40
150,1050,40
160,1050,40
170,1050,40
180,1050,40
190,1050,40
30,1100,40
40,1100,40
50,1100,40
60,1100,40
70,1100,40
80,1100,40
90,1100,40
100,1100,40
110,1100,40
120,1100,40
130,1100,40
140,1100,40
150,1100,40
160,1100,40
170,1100,40
180,1100,40
190,1100,40
