PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,45
40,300,45
50,300,45
60,300,45
70,300,45
80,300,45
90,300,45
100,300,45
110,300,45
120,300,45
130,300,45
140,300,45
150,300,45
160,300,45
170,300,45
180,300,45
190,300,45
30,350,45
40,350,45
50,350,45
60,350,45
70,350,45
80,350,45
90,350,45
100,350,45
110,350,45
120,350,45
130,350,45
140,350,45
150,350,45
160,350,45
170,350,45
180,350,45
190,350,45
30,400,45
40,400,45
50,400,45
60,400,45
70,400,45
80,400,45
90,400,45
100,400,45
110,400,45
120,400,45
130,400,45
140,400,45
150,400,45
160,400,45
170,400,45
180,400,45
190,400,45
30,450,45
40,450,45
50,450,45
60,450,45
70,450,45
80,450,45
90,450,45
100,450,45
110,450,45
120,450,45
130,450,45
140,450,45
150,450,45
160,450,45
170,450,45
180,450,45
190,450,45
30,500,45
40,500,45
50,500,45
60,500,45
70,500,45
80,500,45
90,500,45
100,500,45
110,500,45
120,500,45
130,500,45
140,500,45
150,500,45
160,500,45
170,500,45
180,500,45
190,500,45
30,550,45
40,550,45
50,550,45
60,550,45
70,550,45
80,550,45
90,550,45
100,550,45
110,550,45
120,550,45
130,550,45
140,550,45
150,550,45
160,550,45
170,550,45
180,550,45
190,550,45
30,600,45
40,600,45
50,600,45
60,600,45
70,600,45
80,600,45
90,600,45
100,600,45
110,600,45
120,600,45
130,600,45
140,600,45
150,600,45
160,600,45
170,600,45
180,600,45
190,600,45
30,650,45
40,650,45
50,650,45
60,650,45
70,650,45
80,650,45
90,650,45
100,650,45
110,650,45
120,650,45
130,650,45
140,650,45
150,650,45
160,650,45
170,650,45
180,650,45
190,650,45
30,700,45
40,700,45
50,700,45
60,700,45
70,700,45
80,700,45
90,700,45
100,700,45
110,700,45
120,700,45
130,700,45
140,700,45
150,700,45
160,700,45
170,700,45
180,700,45
190,700,45
30,750,45
40,750,45
50,750,45
60,750,45
70,750,45
80,750,45
90,750,45
100,750,45
110,750,45
120,750,45
130,750,45
140,750,45
150,750,45
160,750,45
170,750,45
180,750,45
190,750,45
30,800,45
40,800,45
50,800,45
60,800,45
70,800,45
80,800,45
90,800,45
100,800,45
110,800,45
120,800,45
130,800,45
140,800,45
150,800,45
160,800,45
170,800,45
180,800,45
190,800,45
30,850,45
40,850,45
50,850,45
60,850,45
70,850,45
80,850,45
90,850,45
100,850,45
110,850,45
120,850,45
130,850,45
140,850,45
150,850,45
160,850,45
170,850,45
180,850,45
190,850,45
30,900,45
40,900,45
50,900,45
60,900,45
70,900,45
80,900,45
90,900,45
100,900,45
110,900,45
120,900,45
130,900,45
140,900,45
150,900,45
160,900,45
170,900,45
180,900,45
190,900,45
30,950,45
40,950,45
50,950,45
60,950,45
70,950,45
80,950,45
90,950,45
100,950,45
110,950,45
120,950,45
130,950,45
140,950,45
150,950,45
160,950,45
170,950,45
180,950,45
190,950,45
30,1000,45
40,1000,45
50,1000,45
60,1000,45
70,1000,45
80,1000,45
90,1000,45
100,1000,45
110,1000,45
120,1000,45
130,1000,45
140,1000,45
150,1000,45
160,1000,45
170,1000,45
180,1000,45
190,1000,45
30,1050,45
40,1050,45
50,1050,45
60,1050,45
70,1050,45
80,1050,45
90,1050,45
100,1050,45
110,1050,45
120,1050,45
130,1050,45
140,1050,45
150,1050,45
160,1050,45
170,1050,45
180,1050,45
190,1050,45
30,1100,45
40,1100,45
50,1100,45
60,1100,45
70,1100,45
80,1100,45
90,1100,45
100,1100,45
110,1100,45
120,1100,45
130,1100,45
140,1100,45
150,1100,45
160,1100,45
170,1100,45
180,1100,45
190,1100,45
