PERIOD_MA_1,PERIOD_MA_2
30,300
40,300
50,300
60,300
70,300
80,300
90,300
100,300
110,300
120,300
130,300
140,300
150,300
30,400
40,400
50,400
60,400
70,400
80,400
90,400
100,400
110,400
120,400
130,400
140,400
150,400
30,500
40,500
50,500
60,500
70,500
80,500
90,500
100,500
110,500
120,500
130,500
140,500
150,500
30,600
40,600
50,600
60,600
70,600
80,600
90,600
100,600
110,600
120,600
130,600
140,600
150,600
30,700
40,700
50,700
60,700
70,700
80,700
90,700
100,700
110,700
120,700
130,700
140,700
150,700
30,800
40,800
50,800
60,800
70,800
80,800
90,800
100,800
110,800
120,800
130,800
140,800
150,800
30,900
40,900
50,900
60,900
70,900
80,900
90,900
100,900
110,900
120,900
130,900
140,900
150,900
30,1000
40,1000
50,1000
60,1000
70,1000
80,1000
90,1000
100,1000
110,1000
120,1000
130,1000
140,1000
150,1000
30,1100
40,1100
50,1100
60,1100
70,1100
80,1100
90,1100
100,1100
110,1100
120,1100
130,1100
140,1100
150,1100
30,1200
40,1200
50,1200
60,1200
70,1200
80,1200
90,1200
100,1200
110,1200
120,1200
130,1200
140,1200
150,1200
30,1300
40,1300
50,1300
60,1300
70,1300
80,1300
90,1300
100,1300
110,1300
120,1300
130,1300
140,1300
150,1300
30,1400
40,1400
50,1400
60,1400
70,1400
80,1400
90,1400
100,1400
110,1400
120,1400
130,1400
140,1400
150,1400
30,1500
40,1500
50,1500
60,1500
70,1500
80,1500
90,1500
100,1500
110,1500
120,1500
130,1500
140,1500
150,1500
