THRESHOLD_SLOPE,TURBULENCE
0.1,5
0.2,5
0.3,5
0.4,5
0.5,5
0.6,5
0.7,5
0.8,5
0.9,5
1.0,5
0.1,10
0.2,10
0.3,10
0.4,10
0.5,10
0.6,10
0.7,10
0.8,10
0.9,10
1.0,10
0.1,15
0.2,15
0.3,15
0.4,15
0.5,15
0.6,15
0.7,15
0.8,15
0.9,15
1.0,15
0.1,20
0.2,20
0.3,20
0.4,20
0.5,20
0.6,20
0.7,20
0.8,20
0.9,20
1.0,20
0.1,25
0.2,25
0.3,25
0.4,25
0.5,25
0.6,25
0.7,25
0.8,25
0.9,25
1.0,25
0.1,30
0.2,30
0.3,30
0.4,30
0.5,30
0.6,30
0.7,30
0.8,30
0.9,30
1.0,30
0.1,35
0.2,35
0.3,35
0.4,35
0.5,35
0.6,35
0.7,35
0.8,35
0.9,35
1.0,35
0.1,40
0.2,40
0.3,40
0.4,40
0.5,40
0.6,40
0.7,40
0.8,40
0.9,40
1.0,40
0.1,45
0.2,45
0.3,45
0.4,45
0.5,45
0.6,45
0.7,45
0.8,45
0.9,45
1.0,45
0.1,50
0.2,50
0.3,50
0.4,50
0.5,50
0.6,50
0.7,50
0.8,50
0.9,50
1.0,50
