file,trade,total
ticks_20250819.xlsx,49,92.0
ticks_20250820.xlsx,66,8.0
ticks_20250821.xlsx,53,0.0
ticks_20250822.xlsx,73,-50.0
ticks_20250825.xlsx,42,-4.0
ticks_20250826.xlsx,49,-2.0
ticks_20250827.xlsx,48,38.0
ticks_20250828.xlsx,53,14.0
ticks_20250829.xlsx,40,26.0
ticks_20250901.xlsx,52,125.0
ticks_20250902.xlsx,49,5.0
ticks_20250903.xlsx,59,19.0
ticks_20250904.xlsx,76,6.0
ticks_20250905.xlsx,82,-58.0
ticks_20250908.xlsx,63,-15.0
ticks_20250909.xlsx,75,32.0
ticks_20250910.xlsx,35,11.0
ticks_20250911.xlsx,62,19.0
ticks_20250912.xlsx,56,-83.0
ticks_20250916.xlsx,76,-8.0
ticks_20250917.xlsx,68,-20.0
ticks_20250918.xlsx,71,-24.0
ticks_20250919.xlsx,79,81.0
ticks_20250922.xlsx,70,6.0
ticks_20250924.xlsx,62,-33.0
ticks_20250925.xlsx,87,-39.0
ticks_20250926.xlsx,65,14.0
ticks_20250929.xlsx,69,-88.0
ticks_20250930.xlsx,75,-86.0
ticks_20251001.xlsx,81,83.0
ticks_20251002.xlsx,86,-25.0
ticks_20251003.xlsx,77,-28.0
ticks_20251006.xlsx,81,35.0
ticks_20251007.xlsx,100,96.0
ticks_20251008.xlsx,95,-26.0
ticks_20251009.xlsx,80,-22.0
ticks_20251010.xlsx,75,-11.0
ticks_20251014.xlsx,100,-54.0
ticks_20251015.xlsx,89,1.0
ticks_20251016.xlsx,100,-25.0
ticks_20251017.xlsx,85,84.0
ticks_20251020.xlsx,72,-6.0
ticks_20251021.xlsx,71,163.0
ticks_20251022.xlsx,100,-47.0
ticks_20251023.xlsx,81,23.0
ticks_20251024.xlsx,100,-94.0
ticks_20251027.xlsx,73,12.0
ticks_20251028.xlsx,100,17.0
ticks_20251029.xlsx,100,-179.0
ticks_20251030.xlsx,85,-76.0
ticks_20251031.xlsx,97,-82.0
ticks_20251104.xlsx,83,56.0
ticks_20251105.xlsx,80,296.0
ticks_20251106.xlsx,100,-41.0
ticks_20251107.xlsx,100,87.0
ticks_20251110.xlsx,89,33.0
ticks_20251111.xlsx,87,-40.0
ticks_20251112.xlsx,76,102.0
ticks_20251113.xlsx,84,-69.0
ticks_20251114.xlsx,76,-61.0
ticks_20251117.xlsx,95,-121.0
ticks_20251118.xlsx,93,20.0
ticks_20251119.xlsx,77,174.0
ticks_20251120.xlsx,90,123.0
ticks_20251121.xlsx,79,146.0
ticks_20251125.xlsx,100,-50.0
ticks_20251126.xlsx,78,4.0
