file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251127.xlsx,7011,100,30,300,15,1,-37.0
ticks_20251128.xlsx,7011,100,30,300,15,1,17.0
ticks_20251201.xlsx,7011,100,30,300,15,1,47.0
ticks_20251127.xlsx,7011,100,60,300,15,1,-68.0
ticks_20251128.xlsx,7011,100,60,300,15,1,-52.0
ticks_20251201.xlsx,7011,100,60,300,15,1,54.0
ticks_20251127.xlsx,7011,100,90,300,15,1,-16.0
ticks_20251128.xlsx,7011,100,90,300,15,1,-63.0
ticks_20251201.xlsx,7011,100,90,300,15,1,48.0
ticks_20251127.xlsx,7011,100,30,600,15,1,-71.0
ticks_20251128.xlsx,7011,100,30,600,15,1,-39.0
ticks_20251201.xlsx,7011,100,30,600,15,1,-34.0
ticks_20251127.xlsx,7011,100,60,600,15,1,-57.0
ticks_20251128.xlsx,7011,100,60,600,15,1,-64.0
ticks_20251201.xlsx,7011,94,60,600,15,1,-20.0
ticks_20251127.xlsx,7011,100,90,600,15,1,-72.0
ticks_20251128.xlsx,7011,90,90,600,15,1,-44.0
ticks_20251201.xlsx,7011,82,90,600,15,1,-30.0
ticks_20251127.xlsx,7011,100,30,900,15,1,-59.0
ticks_20251128.xlsx,7011,100,30,900,15,1,-44.0
ticks_20251201.xlsx,7011,96,30,900,15,1,-32.0
ticks_20251127.xlsx,7011,100,60,900,15,1,-61.0
ticks_20251128.xlsx,7011,100,60,900,15,1,-61.0
ticks_20251201.xlsx,7011,76,60,900,15,1,-27.0
ticks_20251127.xlsx,7011,82,90,900,15,1,-24.0
ticks_20251128.xlsx,7011,86,90,900,15,1,-72.0
ticks_20251201.xlsx,7011,64,90,900,15,1,-28.0
ticks_20251127.xlsx,7011,100,30,300,30,1,-33.0
ticks_20251128.xlsx,7011,100,30,300,30,1,11.0
ticks_20251201.xlsx,7011,100,30,300,30,1,23.0
ticks_20251127.xlsx,7011,100,60,300,30,1,-77.0
ticks_20251128.xlsx,7011,100,60,300,30,1,-55.0
ticks_20251201.xlsx,7011,100,60,300,30,1,47.0
ticks_20251127.xlsx,7011,100,90,300,30,1,-29.0
ticks_20251128.xlsx,7011,100,90,300,30,1,-76.0
ticks_20251201.xlsx,7011,100,90,300,30,1,45.0
ticks_20251127.xlsx,7011,100,30,600,30,1,-68.0
ticks_20251128.xlsx,7011,100,30,600,30,1,-39.0
ticks_20251201.xlsx,7011,100,30,600,30,1,-33.0
ticks_20251127.xlsx,7011,100,60,600,30,1,-68.0
ticks_20251128.xlsx,7011,100,60,600,30,1,-63.0
ticks_20251201.xlsx,7011,100,60,600,30,1,-23.0
ticks_20251127.xlsx,7011,100,90,600,30,1,-64.0
ticks_20251128.xlsx,7011,96,90,600,30,1,-55.0
ticks_20251201.xlsx,7011,94,90,600,30,1,-35.0
