,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,56,48.0
1,ticks_20250820.xlsx,46,-23.0
2,ticks_20250821.xlsx,6,46.0
3,ticks_20250822.xlsx,26,19.0
4,ticks_20250825.xlsx,2,44.0
5,ticks_20250826.xlsx,14,46.0
6,ticks_20250827.xlsx,20,25.0
7,ticks_20250828.xlsx,88,-95.0
8,ticks_20250829.xlsx,28,5.0
9,ticks_20250901.xlsx,60,6.0
10,ticks_20250902.xlsx,4,55.0
11,ticks_20250903.xlsx,20,117.0
12,ticks_20250904.xlsx,76,-35.0
13,ticks_20250905.xlsx,74,-44.0
14,ticks_20250908.xlsx,68,21.0
15,ticks_20250909.xlsx,36,15.0
16,ticks_20250910.xlsx,26,-7.0
17,ticks_20250911.xlsx,20,-7.0
18,ticks_20250912.xlsx,26,6.0
19,ticks_20250916.xlsx,100,9.0
20,ticks_20250917.xlsx,32,48.0
21,ticks_20250918.xlsx,10,32.0
22,ticks_20250919.xlsx,40,26.0
23,ticks_20250922.xlsx,18,53.0
24,ticks_20250924.xlsx,152,-170.0
25,ticks_20250925.xlsx,26,39.0
26,ticks_20250926.xlsx,48,-29.0
27,ticks_20250929.xlsx,70,-57.0
28,ticks_20250930.xlsx,22,23.0
29,ticks_20251001.xlsx,24,53.0
30,ticks_20251002.xlsx,2,39.0
31,ticks_20251003.xlsx,76,-10.0
32,ticks_20251006.xlsx,192,10.0
33,ticks_20251007.xlsx,214,90.0
34,ticks_20251008.xlsx,58,-102.0
35,ticks_20251009.xlsx,4,111.0
36,ticks_20251010.xlsx,72,45.0
37,ticks_20251014.xlsx,20,86.0
38,ticks_20251015.xlsx,68,-113.0
39,ticks_20251016.xlsx,54,-36.0
40,ticks_20251017.xlsx,116,-50.0
41,ticks_20251020.xlsx,30,-14.0
42,ticks_20251021.xlsx,70,210.0
43,ticks_20251022.xlsx,64,-45.0
44,ticks_20251023.xlsx,96,-88.0
45,ticks_20251024.xlsx,12,62.0
46,ticks_20251027.xlsx,28,41.0
47,ticks_20251028.xlsx,52,32.0
48,ticks_20251029.xlsx,6,91.0
49,ticks_20251030.xlsx,70,-76.0
50,ticks_20251031.xlsx,154,-149.0
51,ticks_20251104.xlsx,8,100.0
52,ticks_20251105.xlsx,296,47.0
53,ticks_20251106.xlsx,92,-54.0
54,ticks_20251107.xlsx,14,90.0
