,ts,price,volume,vwap,ma1,rsi,cross1,cross2,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-03-16 09:00:03,1773619203.8332748,3575.0,1103400.0,3575.0,3575.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:05,1773619205.838708,3568.0,1122600.0,3568.0,3571.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:07,1773619207.8447967,3550.0,1420900.0,3551.0885039370078,3564.3333333333335,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:09,1773619209.8698995,3559.0,1451900.0,3551.7922525107606,3563.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:11,1773619211.8799133,3560.0,1460100.0,3551.980936361088,3562.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:13,1773619213.8902962,3557.0,1470400.0,3552.1217983651227,3561.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:15,1773619215.878073,3556.0,1489300.0,3552.311738792433,3560.714285714286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:17,1773619217.876867,3557.0,1494200.0,3552.370522006141,3560.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:19,1773619219.8912952,3558.0,1499100.0,3552.440232499368,3560.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:21,1773619221.902144,3556.0,1506200.0,3552.5029791459783,3559.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:23,1773619223.907292,3555.0,1531300.0,3552.6494508062633,3559.181818181818,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:25,1773619225.934641,3558.0,1543300.0,3552.7954080472837,3559.0833333333335,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:27,1773619227.9284227,3561.0,1547300.0,3552.8693399414283,3559.230769230769,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:29,1773619229.9516091,3564.0,1552400.0,3552.995768374165,3559.5714285714284,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:31,1773619231.9615512,3564.0,1552600.0,3553.0006678539626,3559.866666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:33,1773619233.9721293,3564.0,1556800.0,3553.1025584472873,3560.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:35,1773619235.9825735,3564.0,1566200.0,3553.3238980121005,3560.3529411764707,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:37,1773619237.973427,3560.0,1577700.0,3553.485768500949,3560.3333333333335,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:39,1773619239.9853046,3561.0,1592800.0,3553.7176134041683,3560.3684210526317,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:42,1773619242.0077841,3557.0,1599700.0,3553.7632480354623,3560.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:44,1773619244.002787,3559.0,1606100.0,3553.829918440422,3560.1428571428573,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:46,1773619246.0095673,3559.0,1608900.0,3553.858555885262,3560.090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:48,1773619248.0020814,3558.0,1614000.0,3553.8999216607913,3560.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:50,1773619250.0244238,3558.0,1617600.0,3553.9286269933878,3559.9166666666665,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:52,1773619252.0201142,3557.0,1620500.0,3553.945851866177,3559.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:54,1773619254.0292072,3558.0,1635300.0,3554.058657642414,3559.730769230769,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:56,1773619256.0384204,3556.0,1640500.0,3554.07745298827,3559.5925925925926,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:00:58,1773619258.0598125,3557.0,1640900.0,3554.079627906977,3559.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:00,1773619260.0518215,3560.0,1650200.0,3554.180321872714,3559.5172413793102,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:02,1773619262.073963,3567.0,1675000.0,3554.7365290412877,3559.766666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:04,1773619264.079887,3567.0,1676200.0,3554.762220670391,3559.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:06,1773619266.0979707,3577.0,1755900.0,3557.4784674329503,3559.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:08,1773619268.1052506,3570.0,1770200.0,3557.74700059988,3560.4666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16 09:01:10,1773619270.0965018,3572.0,1775100.0,3557.85097513771,3560.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
