file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251204.xlsx,7011,100,30,300,15,1,-10.0
ticks_20251204.xlsx,7011,100,60,300,15,1,-67.0
ticks_20251204.xlsx,7011,100,90,300,15,1,-85.0
ticks_20251204.xlsx,7011,100,30,600,15,1,-29.0
ticks_20251204.xlsx,7011,100,60,600,15,1,-32.0
ticks_20251204.xlsx,7011,100,90,600,15,1,-47.0
ticks_20251204.xlsx,7011,100,30,900,15,1,-21.0
ticks_20251204.xlsx,7011,100,60,900,15,1,-41.0
ticks_20251204.xlsx,7011,82,90,900,15,1,4.0
ticks_20251204.xlsx,7011,100,30,300,30,1,-8.0
ticks_20251204.xlsx,7011,100,60,300,30,1,-67.0
ticks_20251204.xlsx,7011,100,90,300,30,1,-85.0
ticks_20251204.xlsx,7011,100,30,600,30,1,-28.0
ticks_20251204.xlsx,7011,100,60,600,30,1,-35.0
ticks_20251204.xlsx,7011,100,90,600,30,1,-47.0
ticks_20251204.xlsx,7011,100,30,900,30,1,-18.0
ticks_20251204.xlsx,7011,100,60,900,30,1,-40.0
ticks_20251204.xlsx,7011,90,90,900,30,1,-3.0
ticks_20251204.xlsx,7011,100,30,300,45,1,-8.0
ticks_20251204.xlsx,7011,100,60,300,45,1,-67.0
ticks_20251204.xlsx,7011,100,90,300,45,1,-85.0
ticks_20251204.xlsx,7011,100,30,600,45,1,-28.0
ticks_20251204.xlsx,7011,100,60,600,45,1,-35.0
ticks_20251204.xlsx,7011,100,90,600,45,1,-49.0
ticks_20251204.xlsx,7011,100,30,900,45,1,-18.0
ticks_20251204.xlsx,7011,100,60,900,45,1,-40.0
ticks_20251204.xlsx,7011,92,90,900,45,1,-3.0
ticks_20251204.xlsx,7011,28,30,300,15,4,-15.0
ticks_20251204.xlsx,7011,28,60,300,15,4,-42.0
ticks_20251204.xlsx,7011,34,90,300,15,4,-65.0
ticks_20251204.xlsx,7011,20,30,600,15,4,-21.0
ticks_20251204.xlsx,7011,16,60,600,15,4,1.0
ticks_20251204.xlsx,7011,10,90,600,15,4,22.0
ticks_20251204.xlsx,7011,14,30,900,15,4,-33.0
ticks_20251204.xlsx,7011,14,60,900,15,4,10.0
ticks_20251204.xlsx,7011,12,90,900,15,4,38.0
ticks_20251204.xlsx,7011,86,30,300,30,4,1.0
ticks_20251204.xlsx,7011,64,60,300,30,4,-68.0
ticks_20251204.xlsx,7011,64,90,300,30,4,-84.0
ticks_20251204.xlsx,7011,66,30,600,30,4,-74.0
ticks_20251204.xlsx,7011,36,60,600,30,4,-30.0
ticks_20251204.xlsx,7011,24,90,600,30,4,-16.0
ticks_20251204.xlsx,7011,42,30,900,30,4,-47.0
ticks_20251204.xlsx,7011,32,60,900,30,4,-25.0
ticks_20251204.xlsx,7011,26,90,900,30,4,41.0
ticks_20251204.xlsx,7011,100,30,300,45,4,-1.0
ticks_20251204.xlsx,7011,92,60,300,45,4,-64.0
ticks_20251204.xlsx,7011,90,90,300,45,4,-91.0
ticks_20251204.xlsx,7011,88,30,600,45,4,-32.0
ticks_20251204.xlsx,7011,62,60,600,45,4,-33.0
ticks_20251204.xlsx,7011,48,90,600,45,4,-19.0
ticks_20251204.xlsx,7011,62,30,900,45,4,-67.0
ticks_20251204.xlsx,7011,52,60,900,45,4,-44.0
ticks_20251204.xlsx,7011,32,90,900,45,4,25.0
ticks_20251204.xlsx,7011,8,30,300,15,7,-12.0
ticks_20251204.xlsx,7011,10,60,300,15,7,-1.0
ticks_20251204.xlsx,7011,4,90,300,15,7,-6.0
ticks_20251204.xlsx,7011,4,30,600,15,7,9.0
ticks_20251204.xlsx,7011,4,60,600,15,7,31.0
ticks_20251204.xlsx,7011,2,90,600,15,7,11.0
ticks_20251204.xlsx,7011,2,30,900,15,7,-1.0
ticks_20251204.xlsx,7011,4,60,900,15,7,28.0
ticks_20251204.xlsx,7011,0,90,900,15,7,0.0
ticks_20251204.xlsx,7011,16,30,300,30,7,0.0
ticks_20251204.xlsx,7011,20,60,300,30,7,-31.0
ticks_20251204.xlsx,7011,16,90,300,30,7,-3.0
ticks_20251204.xlsx,7011,14,30,600,30,7,-12.0
ticks_20251204.xlsx,7011,8,60,600,30,7,23.0
ticks_20251204.xlsx,7011,4,90,600,30,7,34.0
ticks_20251204.xlsx,7011,10,30,900,30,7,-22.0
ticks_20251204.xlsx,7011,12,60,900,30,7,12.0
ticks_20251204.xlsx,7011,8,90,900,30,7,25.0
ticks_20251204.xlsx,7011,26,30,300,45,7,-12.0
ticks_20251204.xlsx,7011,30,60,300,45,7,-33.0
ticks_20251204.xlsx,7011,22,90,300,45,7,-13.0
ticks_20251204.xlsx,7011,14,30,600,45,7,-12.0
ticks_20251204.xlsx,7011,10,60,600,45,7,23.0
ticks_20251204.xlsx,7011,10,90,600,45,7,24.0
ticks_20251204.xlsx,7011,16,30,900,45,7,-36.0
ticks_20251204.xlsx,7011,16,60,900,45,7,4.0
ticks_20251204.xlsx,7011,10,90,900,45,7,21.0
