file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251006.xlsx,7011,100,20.0,30,300
ticks_20251006.xlsx,7011,100,26.0,40,300
ticks_20251006.xlsx,7011,90,-30.0,50,300
ticks_20251006.xlsx,7011,78,-44.0,60,300
ticks_20251006.xlsx,7011,98,-52.0,70,300
ticks_20251006.xlsx,7011,93,-64.0,80,300
ticks_20251006.xlsx,7011,87,-48.0,90,300
ticks_20251006.xlsx,7011,79,-41.0,100,300
ticks_20251006.xlsx,7011,87,-68.0,110,300
ticks_20251006.xlsx,7011,85,-76.0,120,300
ticks_20251006.xlsx,7011,79,-47.0,130,300
ticks_20251006.xlsx,7011,77,-44.0,140,300
ticks_20251006.xlsx,7011,63,-55.0,150,300
ticks_20251006.xlsx,7011,77,-48.0,160,300
ticks_20251006.xlsx,7011,79,-19.0,170,300
ticks_20251006.xlsx,7011,71,15.0,180,300
ticks_20251006.xlsx,7011,73,7.0,190,300
ticks_20251006.xlsx,7011,100,36.0,30,350
ticks_20251006.xlsx,7011,100,-44.0,40,350
ticks_20251006.xlsx,7011,88,-42.0,50,350
ticks_20251006.xlsx,7011,92,-52.0,60,350
ticks_20251006.xlsx,7011,78,-55.0,70,350
ticks_20251006.xlsx,7011,87,-85.0,80,350
ticks_20251006.xlsx,7011,79,-85.0,90,350
ticks_20251006.xlsx,7011,77,-84.0,100,350
ticks_20251006.xlsx,7011,79,-86.0,110,350
ticks_20251006.xlsx,7011,77,-76.0,120,350
ticks_20251006.xlsx,7011,73,-60.0,130,350
ticks_20251006.xlsx,7011,67,-33.0,140,350
ticks_20251006.xlsx,7011,71,-32.0,150,350
ticks_20251006.xlsx,7011,69,-2.0,160,350
ticks_20251006.xlsx,7011,61,22.0,170,350
ticks_20251006.xlsx,7011,65,-3.0,180,350
ticks_20251006.xlsx,7011,63,17.0,190,350
ticks_20251006.xlsx,7011,98,39.0,30,400
ticks_20251006.xlsx,7011,88,17.0,40,400
ticks_20251006.xlsx,7011,82,-35.0,50,400
ticks_20251006.xlsx,7011,82,-30.0,60,400
ticks_20251006.xlsx,7011,80,-45.0,70,400
ticks_20251006.xlsx,7011,63,-7.0,80,400
ticks_20251006.xlsx,7011,62,-34.0,90,400
ticks_20251006.xlsx,7011,61,-15.0,100,400
ticks_20251006.xlsx,7011,61,-15.0,110,400
ticks_20251006.xlsx,7011,57,2.0,120,400
ticks_20251006.xlsx,7011,59,-11.0,130,400
ticks_20251006.xlsx,7011,53,-2.0,140,400
ticks_20251006.xlsx,7011,53,12.0,150,400
ticks_20251006.xlsx,7011,45,28.0,160,400
ticks_20251006.xlsx,7011,53,45.0,170,400
ticks_20251006.xlsx,7011,51,50.0,180,400
ticks_20251006.xlsx,7011,47,44.0,190,400
ticks_20251006.xlsx,7011,92,46.0,30,450
ticks_20251006.xlsx,7011,86,37.0,40,450
ticks_20251006.xlsx,7011,76,-13.0,50,450
ticks_20251006.xlsx,7011,80,-13.0,60,450
ticks_20251006.xlsx,7011,76,-1.0,70,450
ticks_20251006.xlsx,7011,69,-21.0,80,450
ticks_20251006.xlsx,7011,55,19.0,90,450
ticks_20251006.xlsx,7011,51,27.0,100,450
ticks_20251006.xlsx,7011,51,15.0,110,450
ticks_20251006.xlsx,7011,51,30.0,120,450
ticks_20251006.xlsx,7011,51,28.0,130,450
ticks_20251006.xlsx,7011,47,35.0,140,450
ticks_20251006.xlsx,7011,45,29.0,150,450
ticks_20251006.xlsx,7011,47,59.0,160,450
ticks_20251006.xlsx,7011,45,54.0,170,450
ticks_20251006.xlsx,7011,39,56.0,180,450
ticks_20251006.xlsx,7011,39,63.0,190,450
ticks_20251006.xlsx,7011,84,45.0,30,500
ticks_20251006.xlsx,7011,82,61.0,40,500
ticks_20251006.xlsx,7011,66,18.0,50,500
ticks_20251006.xlsx,7011,64,34.0,60,500
ticks_20251006.xlsx,7011,58,5.0,70,500
ticks_20251006.xlsx,7011,58,-1.0,80,500
ticks_20251006.xlsx,7011,51,-3.0,90,500
ticks_20251006.xlsx,7011,49,4.0,100,500
ticks_20251006.xlsx,7011,57,-13.0,110,500
ticks_20251006.xlsx,7011,56,11.0,120,500
ticks_20251006.xlsx,7011,53,5.0,130,500
ticks_20251006.xlsx,7011,47,22.0,140,500
ticks_20251006.xlsx,7011,43,13.0,150,500
ticks_20251006.xlsx,7011,43,51.0,160,500
ticks_20251006.xlsx,7011,37,52.0,170,500
ticks_20251006.xlsx,7011,37,52.0,180,500
ticks_20251006.xlsx,7011,37,55.0,190,500
ticks_20251006.xlsx,7011,78,101.0,30,550
ticks_20251006.xlsx,7011,66,119.0,40,550
ticks_20251006.xlsx,7011,60,44.0,50,550
ticks_20251006.xlsx,7011,56,106.0,60,550
ticks_20251006.xlsx,7011,52,95.0,70,550
ticks_20251006.xlsx,7011,45,29.0,80,550
ticks_20251006.xlsx,7011,47,29.0,90,550
ticks_20251006.xlsx,7011,43,33.0,100,550
ticks_20251006.xlsx,7011,39,45.0,110,550
ticks_20251006.xlsx,7011,43,44.0,120,550
ticks_20251006.xlsx,7011,45,47.0,130,550
ticks_20251006.xlsx,7011,41,64.0,140,550
ticks_20251006.xlsx,7011,45,77.0,150,550
ticks_20251006.xlsx,7011,39,45.0,160,550
ticks_20251006.xlsx,7011,37,78.0,170,550
ticks_20251006.xlsx,7011,37,47.0,180,550
ticks_20251006.xlsx,7011,35,37.0,190,550
ticks_20251006.xlsx,7011,70,118.0,30,600
