file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20251017.xlsx,7203,50,850.0,30,300,10
ticks_20251017.xlsx,7203,26,800.0,40,300,10
ticks_20251017.xlsx,7203,22,1150.0,50,300,10
ticks_20251017.xlsx,7203,14,100.0,60,300,10
ticks_20251017.xlsx,7203,6,100.0,70,300,10
ticks_20251017.xlsx,7203,2,200.0,80,300,10
ticks_20251017.xlsx,7203,2,150.0,90,300,10
ticks_20251017.xlsx,7203,0,0.0,100,300,10
ticks_20251017.xlsx,7203,0,0.0,110,300,10
ticks_20251017.xlsx,7203,0,0.0,120,300,10
ticks_20251017.xlsx,7203,0,0.0,130,300,10
ticks_20251017.xlsx,7203,0,0.0,140,300,10
ticks_20251017.xlsx,7203,0,0.0,150,300,10
ticks_20251017.xlsx,7203,0,0.0,160,300,10
ticks_20251017.xlsx,7203,0,0.0,170,300,10
ticks_20251017.xlsx,7203,0,0.0,180,300,10
ticks_20251017.xlsx,7203,0,0.0,190,300,10
ticks_20251017.xlsx,7203,38,2200.0,30,350,10
ticks_20251017.xlsx,7203,24,300.0,40,350,10
ticks_20251017.xlsx,7203,20,1550.0,50,350,10
ticks_20251017.xlsx,7203,12,-500.0,60,350,10
ticks_20251017.xlsx,7203,12,-850.0,70,350,10
ticks_20251017.xlsx,7203,8,-150.0,80,350,10
ticks_20251017.xlsx,7203,2,-200.0,90,350,10
ticks_20251017.xlsx,7203,0,0.0,100,350,10
ticks_20251017.xlsx,7203,0,0.0,110,350,10
ticks_20251017.xlsx,7203,0,0.0,120,350,10
ticks_20251017.xlsx,7203,0,0.0,130,350,10
ticks_20251017.xlsx,7203,0,0.0,140,350,10
ticks_20251017.xlsx,7203,0,0.0,150,350,10
ticks_20251017.xlsx,7203,0,0.0,160,350,10
ticks_20251017.xlsx,7203,0,0.0,170,350,10
ticks_20251017.xlsx,7203,0,0.0,180,350,10
ticks_20251017.xlsx,7203,0,0.0,190,350,10
ticks_20251017.xlsx,7203,34,2450.0,30,400,10
ticks_20251017.xlsx,7203,24,-150.0,40,400,10
ticks_20251017.xlsx,7203,16,200.0,50,400,10
ticks_20251017.xlsx,7203,8,-500.0,60,400,10
