file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20251111.xlsx,7203,100,-4500.0,30,300,15
ticks_20251111.xlsx,7203,92,-5000.0,40,300,15
ticks_20251111.xlsx,7203,58,-2700.0,50,300,15
ticks_20251111.xlsx,7203,38,-900.0,60,300,15
ticks_20251111.xlsx,7203,32,-2700.0,70,300,15
ticks_20251111.xlsx,7203,24,400.0,80,300,15
ticks_20251111.xlsx,7203,14,300.0,90,300,15
ticks_20251111.xlsx,7203,10,1400.0,100,300,15
ticks_20251111.xlsx,7203,12,600.0,110,300,15
ticks_20251111.xlsx,7203,8,-1000.0,120,300,15
ticks_20251111.xlsx,7203,4,-200.0,130,300,15
ticks_20251111.xlsx,7203,2,600.0,140,300,15
ticks_20251111.xlsx,7203,2,1800.0,150,300,15
ticks_20251111.xlsx,7203,4,900.0,160,300,15
ticks_20251111.xlsx,7203,4,800.0,170,300,15
ticks_20251111.xlsx,7203,4,800.0,180,300,15
ticks_20251111.xlsx,7203,2,700.0,190,300,15
ticks_20251111.xlsx,7203,100,-3100.0,30,350,15
ticks_20251111.xlsx,7203,84,-4900.0,40,350,15
ticks_20251111.xlsx,7203,62,-2800.0,50,350,15
ticks_20251111.xlsx,7203,42,-3400.0,60,350,15
ticks_20251111.xlsx,7203,28,-1200.0,70,350,15
ticks_20251111.xlsx,7203,28,-1100.0,80,350,15
ticks_20251111.xlsx,7203,12,800.0,90,350,15
ticks_20251111.xlsx,7203,12,1000.0,100,350,15
ticks_20251111.xlsx,7203,8,100.0,110,350,15
ticks_20251111.xlsx,7203,4,-100.0,120,350,15
ticks_20251111.xlsx,7203,6,-200.0,130,350,15
ticks_20251111.xlsx,7203,4,-200.0,140,350,15
ticks_20251111.xlsx,7203,2,600.0,150,350,15
ticks_20251111.xlsx,7203,2,500.0,160,350,15
ticks_20251111.xlsx,7203,2,500.0,170,350,15
ticks_20251111.xlsx,7203,2,600.0,180,350,15
ticks_20251111.xlsx,7203,4,600.0,190,350,15
ticks_20251111.xlsx,7203,100,-6200.0,30,400,15
ticks_20251111.xlsx,7203,88,-2900.0,40,400,15
ticks_20251111.xlsx,7203,54,-3800.0,50,400,15
ticks_20251111.xlsx,7203,40,-2500.0,60,400,15
ticks_20251111.xlsx,7203,30,-1900.0,70,400,15
ticks_20251111.xlsx,7203,16,700.0,80,400,15
ticks_20251111.xlsx,7203,14,700.0,90,400,15
ticks_20251111.xlsx,7203,10,500.0,100,400,15
ticks_20251111.xlsx,7203,6,1000.0,110,400,15
ticks_20251111.xlsx,7203,6,1100.0,120,400,15
ticks_20251111.xlsx,7203,6,500.0,130,400,15
ticks_20251111.xlsx,7203,4,-300.0,140,400,15
ticks_20251111.xlsx,7203,2,700.0,150,400,15
ticks_20251111.xlsx,7203,2,400.0,160,400,15
ticks_20251111.xlsx,7203,2,400.0,170,400,15
ticks_20251111.xlsx,7203,4,-300.0,180,400,15
ticks_20251111.xlsx,7203,2,400.0,190,400,15
ticks_20251111.xlsx,7203,100,-9000.0,30,450,15
ticks_20251111.xlsx,7203,76,-4000.0,40,450,15
ticks_20251111.xlsx,7203,54,-2000.0,50,450,15
ticks_20251111.xlsx,7203,36,-3200.0,60,450,15
ticks_20251111.xlsx,7203,28,-2800.0,70,450,15
ticks_20251111.xlsx,7203,24,-1500.0,80,450,15
ticks_20251111.xlsx,7203,10,-200.0,90,450,15
ticks_20251111.xlsx,7203,6,-2600.0,100,450,15
ticks_20251111.xlsx,7203,8,0.0,110,450,15
ticks_20251111.xlsx,7203,2,1500.0,120,450,15
ticks_20251111.xlsx,7203,2,1200.0,130,450,15
ticks_20251111.xlsx,7203,0,0.0,140,450,15
ticks_20251111.xlsx,7203,2,400.0,150,450,15
ticks_20251111.xlsx,7203,2,600.0,160,450,15
ticks_20251111.xlsx,7203,4,-300.0,170,450,15
ticks_20251111.xlsx,7203,4,-300.0,180,450,15
ticks_20251111.xlsx,7203,2,500.0,190,450,15
ticks_20251111.xlsx,7203,100,-6000.0,30,500,15
ticks_20251111.xlsx,7203,68,-2300.0,40,500,15
ticks_20251111.xlsx,7203,44,-900.0,50,500,15
ticks_20251111.xlsx,7203,38,-2800.0,60,500,15
ticks_20251111.xlsx,7203,28,-3400.0,70,500,15
ticks_20251111.xlsx,7203,22,-1200.0,80,500,15
ticks_20251111.xlsx,7203,12,800.0,90,500,15
ticks_20251111.xlsx,7203,10,-500.0,100,500,15
ticks_20251111.xlsx,7203,6,900.0,110,500,15
ticks_20251111.xlsx,7203,2,1800.0,120,500,15
ticks_20251111.xlsx,7203,2,1700.0,130,500,15
ticks_20251111.xlsx,7203,0,0.0,140,500,15
ticks_20251111.xlsx,7203,0,0.0,150,500,15
ticks_20251111.xlsx,7203,0,0.0,160,500,15
ticks_20251111.xlsx,7203,2,-1000.0,170,500,15
ticks_20251111.xlsx,7203,0,0.0,180,500,15
ticks_20251111.xlsx,7203,0,0.0,190,500,15
ticks_20251111.xlsx,7203,100,-6100.0,30,550,15
ticks_20251111.xlsx,7203,72,-3700.0,40,550,15
ticks_20251111.xlsx,7203,46,-1100.0,50,550,15
ticks_20251111.xlsx,7203,42,-2800.0,60,550,15
ticks_20251111.xlsx,7203,32,-2600.0,70,550,15
ticks_20251111.xlsx,7203,24,-1300.0,80,550,15
ticks_20251111.xlsx,7203,14,500.0,90,550,15
ticks_20251111.xlsx,7203,8,0.0,100,550,15
ticks_20251111.xlsx,7203,4,1300.0,110,550,15
ticks_20251111.xlsx,7203,2,0.0,120,550,15
ticks_20251111.xlsx,7203,0,0.0,130,550,15
ticks_20251111.xlsx,7203,0,0.0,140,550,15
ticks_20251111.xlsx,7203,0,0.0,150,550,15
ticks_20251111.xlsx,7203,0,0.0,160,550,15
ticks_20251111.xlsx,7203,2,-900.0,170,550,15
ticks_20251111.xlsx,7203,0,0.0,180,550,15
ticks_20251111.xlsx,7203,0,0.0,190,550,15
ticks_20251111.xlsx,7203,100,-5200.0,30,600,15
ticks_20251111.xlsx,7203,70,-3000.0,40,600,15
ticks_20251111.xlsx,7203,44,-700.0,50,600,15
ticks_20251111.xlsx,7203,36,-3400.0,60,600,15
ticks_20251111.xlsx,7203,30,-1400.0,70,600,15
ticks_20251111.xlsx,7203,22,-700.0,80,600,15
ticks_20251111.xlsx,7203,14,1000.0,90,600,15
ticks_20251111.xlsx,7203,10,1500.0,100,600,15
ticks_20251111.xlsx,7203,2,1800.0,110,600,15
ticks_20251111.xlsx,7203,0,0.0,120,600,15
ticks_20251111.xlsx,7203,0,0.0,130,600,15
ticks_20251111.xlsx,7203,0,0.0,140,600,15
ticks_20251111.xlsx,7203,0,0.0,150,600,15
ticks_20251111.xlsx,7203,0,0.0,160,600,15
ticks_20251111.xlsx,7203,0,0.0,170,600,15
ticks_20251111.xlsx,7203,0,0.0,180,600,15
ticks_20251111.xlsx,7203,0,0.0,190,600,15
ticks_20251111.xlsx,7203,96,-3900.0,30,650,15
ticks_20251111.xlsx,7203,62,-2000.0,40,650,15
ticks_20251111.xlsx,7203,44,-2900.0,50,650,15
ticks_20251111.xlsx,7203,40,-1000.0,60,650,15
ticks_20251111.xlsx,7203,26,-1300.0,70,650,15
ticks_20251111.xlsx,7203,22,-200.0,80,650,15
ticks_20251111.xlsx,7203,14,1700.0,90,650,15
ticks_20251111.xlsx,7203,10,700.0,100,650,15
ticks_20251111.xlsx,7203,2,1900.0,110,650,15
ticks_20251111.xlsx,7203,2,2000.0,120,650,15
ticks_20251111.xlsx,7203,2,-300.0,130,650,15
ticks_20251111.xlsx,7203,0,0.0,140,650,15
ticks_20251111.xlsx,7203,0,0.0,150,650,15
ticks_20251111.xlsx,7203,0,0.0,160,650,15
ticks_20251111.xlsx,7203,0,0.0,170,650,15
ticks_20251111.xlsx,7203,2,-900.0,180,650,15
ticks_20251111.xlsx,7203,0,0.0,190,650,15
ticks_20251111.xlsx,7203,88,-3400.0,30,700,15
ticks_20251111.xlsx,7203,56,-2800.0,40,700,15
ticks_20251111.xlsx,7203,44,-1500.0,50,700,15
ticks_20251111.xlsx,7203,42,-200.0,60,700,15
ticks_20251111.xlsx,7203,26,-400.0,70,700,15
ticks_20251111.xlsx,7203,16,1600.0,80,700,15
ticks_20251111.xlsx,7203,12,1800.0,90,700,15
ticks_20251111.xlsx,7203,10,800.0,100,700,15
ticks_20251111.xlsx,7203,4,1200.0,110,700,15
ticks_20251111.xlsx,7203,2,-200.0,120,700,15
ticks_20251111.xlsx,7203,2,-300.0,130,700,15
ticks_20251111.xlsx,7203,2,-500.0,140,700,15
ticks_20251111.xlsx,7203,0,0.0,150,700,15
ticks_20251111.xlsx,7203,0,0.0,160,700,15
ticks_20251111.xlsx,7203,2,-900.0,170,700,15
ticks_20251111.xlsx,7203,0,0.0,180,700,15
ticks_20251111.xlsx,7203,0,0.0,190,700,15
ticks_20251111.xlsx,7203,84,-4300.0,30,750,15
ticks_20251111.xlsx,7203,48,-1200.0,40,750,15
ticks_20251111.xlsx,7203,38,-5700.0,50,750,15
ticks_20251111.xlsx,7203,34,-1600.0,60,750,15
ticks_20251111.xlsx,7203,28,-100.0,70,750,15
ticks_20251111.xlsx,7203,16,600.0,80,750,15
ticks_20251111.xlsx,7203,12,2100.0,90,750,15
ticks_20251111.xlsx,7203,8,1100.0,100,750,15
ticks_20251111.xlsx,7203,6,1000.0,110,750,15
ticks_20251111.xlsx,7203,0,0.0,120,750,15
ticks_20251111.xlsx,7203,2,-300.0,130,750,15
