file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20251216.xlsx,7203,100,-5900.0,30,300,20
ticks_20251216.xlsx,7203,90,-5300.0,40,300,20
ticks_20251216.xlsx,7203,64,-4700.0,50,300,20
ticks_20251216.xlsx,7203,48,-4400.0,60,300,20
ticks_20251216.xlsx,7203,40,-4700.0,70,300,20
ticks_20251216.xlsx,7203,28,-5800.0,80,300,20
ticks_20251216.xlsx,7203,26,-3700.0,90,300,20
ticks_20251216.xlsx,7203,24,-3800.0,100,300,20
ticks_20251216.xlsx,7203,18,-2200.0,110,300,20
ticks_20251216.xlsx,7203,18,-3800.0,120,300,20
ticks_20251216.xlsx,7203,18,-3400.0,130,300,20
ticks_20251216.xlsx,7203,20,-2800.0,140,300,20
ticks_20251216.xlsx,7203,12,200.0,150,300,20
ticks_20251216.xlsx,7203,12,-1100.0,160,300,20
ticks_20251216.xlsx,7203,10,-1000.0,170,300,20
ticks_20251216.xlsx,7203,10,-1300.0,180,300,20
ticks_20251216.xlsx,7203,6,-1000.0,190,300,20
ticks_20251216.xlsx,7203,100,-4900.0,30,350,20
ticks_20251216.xlsx,7203,88,-9300.0,40,350,20
ticks_20251216.xlsx,7203,80,-9100.0,50,350,20
ticks_20251216.xlsx,7203,52,-6700.0,60,350,20
ticks_20251216.xlsx,7203,40,-2900.0,70,350,20
ticks_20251216.xlsx,7203,40,-7500.0,80,350,20
ticks_20251216.xlsx,7203,34,-4800.0,90,350,20
ticks_20251216.xlsx,7203,26,-2800.0,100,350,20
ticks_20251216.xlsx,7203,20,-4000.0,110,350,20
ticks_20251216.xlsx,7203,14,-1200.0,120,350,20
ticks_20251216.xlsx,7203,16,-2100.0,130,350,20
ticks_20251216.xlsx,7203,14,-1500.0,140,350,20
ticks_20251216.xlsx,7203,18,-1000.0,150,350,20
ticks_20251216.xlsx,7203,10,-800.0,160,350,20
ticks_20251216.xlsx,7203,8,1200.0,170,350,20
ticks_20251216.xlsx,7203,6,-1100.0,180,350,20
ticks_20251216.xlsx,7203,6,-1600.0,190,350,20
ticks_20251216.xlsx,7203,100,-10000.0,30,400,20
ticks_20251216.xlsx,7203,86,-8900.0,40,400,20
ticks_20251216.xlsx,7203,62,-8700.0,50,400,20
ticks_20251216.xlsx,7203,42,-6700.0,60,400,20
ticks_20251216.xlsx,7203,42,-4700.0,70,400,20
ticks_20251216.xlsx,7203,28,-1600.0,80,400,20
ticks_20251216.xlsx,7203,28,-2300.0,90,400,20
ticks_20251216.xlsx,7203,22,-1900.0,100,400,20
ticks_20251216.xlsx,7203,18,-1400.0,110,400,20
ticks_20251216.xlsx,7203,12,-3000.0,120,400,20
ticks_20251216.xlsx,7203,12,-3100.0,130,400,20
ticks_20251216.xlsx,7203,10,-1700.0,140,400,20
ticks_20251216.xlsx,7203,10,-1200.0,150,400,20
ticks_20251216.xlsx,7203,8,-800.0,160,400,20
ticks_20251216.xlsx,7203,6,-500.0,170,400,20
ticks_20251216.xlsx,7203,6,-1000.0,180,400,20
ticks_20251216.xlsx,7203,8,-2100.0,190,400,20
ticks_20251216.xlsx,7203,100,-6900.0,30,450,20
ticks_20251216.xlsx,7203,90,-7200.0,40,450,20
ticks_20251216.xlsx,7203,58,-7000.0,50,450,20
ticks_20251216.xlsx,7203,44,-6100.0,60,450,20
ticks_20251216.xlsx,7203,32,-3200.0,70,450,20
ticks_20251216.xlsx,7203,28,-4200.0,80,450,20
ticks_20251216.xlsx,7203,22,-2100.0,90,450,20
ticks_20251216.xlsx,7203,20,-2000.0,100,450,20
ticks_20251216.xlsx,7203,18,-1300.0,110,450,20
ticks_20251216.xlsx,7203,18,-1700.0,120,450,20
ticks_20251216.xlsx,7203,10,-1700.0,130,450,20
ticks_20251216.xlsx,7203,12,-2600.0,140,450,20
ticks_20251216.xlsx,7203,10,-1200.0,150,450,20
ticks_20251216.xlsx,7203,8,-1200.0,160,450,20
ticks_20251216.xlsx,7203,4,-700.0,170,450,20
ticks_20251216.xlsx,7203,4,-400.0,180,450,20
ticks_20251216.xlsx,7203,6,-1600.0,190,450,20
ticks_20251216.xlsx,7203,100,-7900.0,30,500,20
ticks_20251216.xlsx,7203,88,-7500.0,40,500,20
ticks_20251216.xlsx,7203,54,-6200.0,50,500,20
ticks_20251216.xlsx,7203,42,-7500.0,60,500,20
ticks_20251216.xlsx,7203,28,-1900.0,70,500,20
ticks_20251216.xlsx,7203,26,-2200.0,80,500,20
ticks_20251216.xlsx,7203,26,-3700.0,90,500,20
ticks_20251216.xlsx,7203,24,-3900.0,100,500,20
ticks_20251216.xlsx,7203,20,-2800.0,110,500,20
ticks_20251216.xlsx,7203,16,-2400.0,120,500,20
ticks_20251216.xlsx,7203,16,-2200.0,130,500,20
ticks_20251216.xlsx,7203,8,100.0,140,500,20
ticks_20251216.xlsx,7203,8,0.0,150,500,20
ticks_20251216.xlsx,7203,4,-500.0,160,500,20
