file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20250910.xlsx,7203,28,-500.0,30,300,25
ticks_20250910.xlsx,7203,12,0.0,40,300,25
ticks_20250910.xlsx,7203,12,-300.0,50,300,25
ticks_20250910.xlsx,7203,6,100.0,60,300,25
ticks_20250910.xlsx,7203,2,150.0,70,300,25
ticks_20250910.xlsx,7203,4,100.0,80,300,25
ticks_20250910.xlsx,7203,2,150.0,90,300,25
ticks_20250910.xlsx,7203,2,150.0,100,300,25
ticks_20250910.xlsx,7203,2,150.0,110,300,25
ticks_20250910.xlsx,7203,2,200.0,120,300,25
ticks_20250910.xlsx,7203,2,150.0,130,300,25
ticks_20250910.xlsx,7203,2,100.0,140,300,25
ticks_20250910.xlsx,7203,0,0.0,150,300,25
ticks_20250910.xlsx,7203,0,0.0,160,300,25
ticks_20250910.xlsx,7203,0,0.0,170,300,25
ticks_20250910.xlsx,7203,0,0.0,180,300,25
ticks_20250910.xlsx,7203,0,0.0,190,300,25
ticks_20250910.xlsx,7203,28,1100.0,30,350,25
ticks_20250910.xlsx,7203,12,-100.0,40,350,25
ticks_20250910.xlsx,7203,10,-50.0,50,350,25
ticks_20250910.xlsx,7203,6,0.0,60,350,25
ticks_20250910.xlsx,7203,2,200.0,70,350,25
ticks_20250910.xlsx,7203,4,150.0,80,350,25
ticks_20250910.xlsx,7203,2,250.0,90,350,25
ticks_20250910.xlsx,7203,2,200.0,100,350,25
ticks_20250910.xlsx,7203,2,200.0,110,350,25
ticks_20250910.xlsx,7203,2,100.0,120,350,25
ticks_20250910.xlsx,7203,2,100.0,130,350,25
ticks_20250910.xlsx,7203,0,0.0,140,350,25
ticks_20250910.xlsx,7203,0,0.0,150,350,25
ticks_20250910.xlsx,7203,0,0.0,160,350,25
ticks_20250910.xlsx,7203,0,0.0,170,350,25
ticks_20250910.xlsx,7203,0,0.0,180,350,25
ticks_20250910.xlsx,7203,0,0.0,190,350,25
