file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20250826.xlsx,7011,100,-3500,30,300,30
ticks_20250826.xlsx,7011,78,-700,40,300,30
ticks_20250826.xlsx,7011,50,0,50,300,30
ticks_20250826.xlsx,7011,38,500,60,300,30
ticks_20250826.xlsx,7011,28,100,70,300,30
ticks_20250826.xlsx,7011,32,-100,80,300,30
ticks_20250826.xlsx,7011,30,-100,90,300,30
ticks_20250826.xlsx,7011,22,500,100,300,30
ticks_20250826.xlsx,7011,14,-900,110,300,30
ticks_20250826.xlsx,7011,14,-2000,120,300,30
ticks_20250826.xlsx,7011,12,-1300,130,300,30
ticks_20250826.xlsx,7011,10,-400,140,300,30
ticks_20250826.xlsx,7011,8,-800,150,300,30
ticks_20250826.xlsx,7011,12,-2400,160,300,30
ticks_20250826.xlsx,7011,8,-1700,170,300,30
ticks_20250826.xlsx,7011,6,-1400,180,300,30
ticks_20250826.xlsx,7011,6,-1400,190,300,30
ticks_20250826.xlsx,7011,100,-4400,30,350,30
ticks_20250826.xlsx,7011,84,-3700,40,350,30
ticks_20250826.xlsx,7011,52,-4000,50,350,30
ticks_20250826.xlsx,7011,52,-2600,60,350,30
ticks_20250826.xlsx,7011,26,-2300,70,350,30
ticks_20250826.xlsx,7011,26,-1400,80,350,30
ticks_20250826.xlsx,7011,26,-700,90,350,30
ticks_20250826.xlsx,7011,24,-1200,100,350,30
ticks_20250826.xlsx,7011,20,-1900,110,350,30
ticks_20250826.xlsx,7011,14,-2200,120,350,30
ticks_20250826.xlsx,7011,12,-1100,130,350,30
ticks_20250826.xlsx,7011,10,-700,140,350,30
ticks_20250826.xlsx,7011,8,-200,150,350,30
ticks_20250826.xlsx,7011,8,-200,160,350,30
ticks_20250826.xlsx,7011,4,-100,170,350,30
ticks_20250826.xlsx,7011,4,-200,180,350,30
ticks_20250826.xlsx,7011,4,-400,190,350,30
ticks_20250826.xlsx,7011,100,-3700,30,400,30
ticks_20250826.xlsx,7011,78,-1500,40,400,30
ticks_20250826.xlsx,7011,58,-2900,50,400,30
ticks_20250826.xlsx,7011,46,-5100,60,400,30
ticks_20250826.xlsx,7011,32,-4600,70,400,30
ticks_20250826.xlsx,7011,28,-2100,80,400,30
ticks_20250826.xlsx,7011,22,-600,90,400,30
ticks_20250826.xlsx,7011,16,-1100,100,400,30
ticks_20250826.xlsx,7011,20,-2100,110,400,30
ticks_20250826.xlsx,7011,14,-2800,120,400,30
ticks_20250826.xlsx,7011,12,-1900,130,400,30
ticks_20250826.xlsx,7011,8,-1500,140,400,30
ticks_20250826.xlsx,7011,10,-600,150,400,30
ticks_20250826.xlsx,7011,6,-500,160,400,30
ticks_20250826.xlsx,7011,2,400,170,400,30
ticks_20250826.xlsx,7011,6,-100,180,400,30
ticks_20250826.xlsx,7011,4,-300,190,400,30
ticks_20250826.xlsx,7011,100,-3700,30,450,30
ticks_20250826.xlsx,7011,66,-1400,40,450,30
ticks_20250826.xlsx,7011,50,-2500,50,450,30
ticks_20250826.xlsx,7011,40,-4300,60,450,30
ticks_20250826.xlsx,7011,30,-4000,70,450,30
ticks_20250826.xlsx,7011,32,-1100,80,450,30
ticks_20250826.xlsx,7011,26,-1900,90,450,30
ticks_20250826.xlsx,7011,16,-2400,100,450,30
ticks_20250826.xlsx,7011,18,-2000,110,450,30
ticks_20250826.xlsx,7011,12,-1500,120,450,30
