file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20251215.xlsx,7011,100,4900,30,300,35
ticks_20251215.xlsx,7011,78,6400,40,300,35
ticks_20251215.xlsx,7011,70,5400,50,300,35
ticks_20251215.xlsx,7011,54,5400,60,300,35
ticks_20251215.xlsx,7011,48,7000,70,300,35
ticks_20251215.xlsx,7011,36,7400,80,300,35
ticks_20251215.xlsx,7011,34,6400,90,300,35
ticks_20251215.xlsx,7011,18,8400,100,300,35
ticks_20251215.xlsx,7011,20,6100,110,300,35
ticks_20251215.xlsx,7011,26,5700,120,300,35
ticks_20251215.xlsx,7011,18,4000,130,300,35
ticks_20251215.xlsx,7011,14,2800,140,300,35
ticks_20251215.xlsx,7011,10,-600,150,300,35
ticks_20251215.xlsx,7011,12,1600,160,300,35
ticks_20251215.xlsx,7011,8,-600,170,300,35
ticks_20251215.xlsx,7011,6,1100,180,300,35
ticks_20251215.xlsx,7011,10,2300,190,300,35
ticks_20251215.xlsx,7011,100,3500,30,350,35
ticks_20251215.xlsx,7011,78,4400,40,350,35
ticks_20251215.xlsx,7011,62,4700,50,350,35
ticks_20251215.xlsx,7011,46,5300,60,350,35
ticks_20251215.xlsx,7011,36,4800,70,350,35
ticks_20251215.xlsx,7011,26,5900,80,350,35
ticks_20251215.xlsx,7011,22,6000,90,350,35
ticks_20251215.xlsx,7011,20,5800,100,350,35
ticks_20251215.xlsx,7011,20,7600,110,350,35
ticks_20251215.xlsx,7011,24,6000,120,350,35
ticks_20251215.xlsx,7011,20,4100,130,350,35
ticks_20251215.xlsx,7011,12,1200,140,350,35
ticks_20251215.xlsx,7011,10,2800,150,350,35
ticks_20251215.xlsx,7011,6,-500,160,350,35
ticks_20251215.xlsx,7011,10,1100,170,350,35
ticks_20251215.xlsx,7011,8,2200,180,350,35
ticks_20251215.xlsx,7011,8,2000,190,350,35
ticks_20251215.xlsx,7011,100,4700,30,400,35
ticks_20251215.xlsx,7011,70,6300,40,400,35
ticks_20251215.xlsx,7011,60,3400,50,400,35
ticks_20251215.xlsx,7011,52,4800,60,400,35
ticks_20251215.xlsx,7011,36,6400,70,400,35
ticks_20251215.xlsx,7011,26,5800,80,400,35
ticks_20251215.xlsx,7011,22,5000,90,400,35
ticks_20251215.xlsx,7011,22,1600,100,400,35
ticks_20251215.xlsx,7011,22,1100,110,400,35
ticks_20251215.xlsx,7011,20,2800,120,400,35
ticks_20251215.xlsx,7011,18,1000,130,400,35
ticks_20251215.xlsx,7011,16,1000,140,400,35
ticks_20251215.xlsx,7011,12,900,150,400,35
ticks_20251215.xlsx,7011,12,-700,160,400,35
ticks_20251215.xlsx,7011,8,800,170,400,35
ticks_20251215.xlsx,7011,8,2100,180,400,35
ticks_20251215.xlsx,7011,6,2400,190,400,35
ticks_20251215.xlsx,7011,100,4200,30,450,35
ticks_20251215.xlsx,7011,70,3600,40,450,35
ticks_20251215.xlsx,7011,56,4600,50,450,35
ticks_20251215.xlsx,7011,48,6400,60,450,35
ticks_20251215.xlsx,7011,42,5600,70,450,35
ticks_20251215.xlsx,7011,24,4900,80,450,35
ticks_20251215.xlsx,7011,24,2900,90,450,35
ticks_20251215.xlsx,7011,22,1500,100,450,35
ticks_20251215.xlsx,7011,22,3900,110,450,35
ticks_20251215.xlsx,7011,18,600,120,450,35
ticks_20251215.xlsx,7011,18,600,130,450,35
ticks_20251215.xlsx,7011,12,500,140,450,35
ticks_20251215.xlsx,7011,14,1600,150,450,35
ticks_20251215.xlsx,7011,12,-600,160,450,35
ticks_20251215.xlsx,7011,10,1100,170,450,35
ticks_20251215.xlsx,7011,8,2400,180,450,35
ticks_20251215.xlsx,7011,8,1800,190,450,35
ticks_20251215.xlsx,7011,94,1600,30,500,35
ticks_20251215.xlsx,7011,76,2700,40,500,35
ticks_20251215.xlsx,7011,58,3900,50,500,35
ticks_20251215.xlsx,7011,48,5500,60,500,35
ticks_20251215.xlsx,7011,40,5400,70,500,35
ticks_20251215.xlsx,7011,32,5700,80,500,35
ticks_20251215.xlsx,7011,24,2400,90,500,35
ticks_20251215.xlsx,7011,26,3800,100,500,35
ticks_20251215.xlsx,7011,18,4400,110,500,35
ticks_20251215.xlsx,7011,20,2700,120,500,35
ticks_20251215.xlsx,7011,20,-100,130,500,35
ticks_20251215.xlsx,7011,14,0,140,500,35
ticks_20251215.xlsx,7011,10,300,150,500,35
ticks_20251215.xlsx,7011,4,-2700,160,500,35
ticks_20251215.xlsx,7011,8,300,170,500,35
ticks_20251215.xlsx,7011,6,1900,180,500,35
ticks_20251215.xlsx,7011,6,700,190,500,35
ticks_20251215.xlsx,7011,86,5700,30,550,35
