file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20250905.xlsx,7011,100,-1100,30,300,40
ticks_20250905.xlsx,7011,100,-1500,40,300,40
ticks_20250905.xlsx,7011,100,-2300,50,300,40
ticks_20250905.xlsx,7011,70,-5600,60,300,40
ticks_20250905.xlsx,7011,64,-3200,70,300,40
ticks_20250905.xlsx,7011,58,-2000,80,300,40
ticks_20250905.xlsx,7011,52,-4500,90,300,40
ticks_20250905.xlsx,7011,52,-2400,100,300,40
ticks_20250905.xlsx,7011,44,1500,110,300,40
ticks_20250905.xlsx,7011,36,800,120,300,40
ticks_20250905.xlsx,7011,32,-1900,130,300,40
ticks_20250905.xlsx,7011,28,-4500,140,300,40
ticks_20250905.xlsx,7011,26,100,150,300,40
ticks_20250905.xlsx,7011,18,-800,160,300,40
ticks_20250905.xlsx,7011,16,1900,170,300,40
ticks_20250905.xlsx,7011,8,1700,180,300,40
ticks_20250905.xlsx,7011,10,1000,190,300,40
ticks_20250905.xlsx,7011,100,-5200,30,350,40
ticks_20250905.xlsx,7011,100,-3100,40,350,40
ticks_20250905.xlsx,7011,90,-6400,50,350,40
ticks_20250905.xlsx,7011,68,-3000,60,350,40
ticks_20250905.xlsx,7011,58,-2500,70,350,40
ticks_20250905.xlsx,7011,56,-700,80,350,40
ticks_20250905.xlsx,7011,54,-300,90,350,40
ticks_20250905.xlsx,7011,44,-1300,100,350,40
ticks_20250905.xlsx,7011,40,1900,110,350,40
ticks_20250905.xlsx,7011,30,1400,120,350,40
ticks_20250905.xlsx,7011,30,-100,130,350,40
ticks_20250905.xlsx,7011,28,400,140,350,40
ticks_20250905.xlsx,7011,30,6000,150,350,40
ticks_20250905.xlsx,7011,18,1300,160,350,40
ticks_20250905.xlsx,7011,12,2200,170,350,40
ticks_20250905.xlsx,7011,12,2200,180,350,40
ticks_20250905.xlsx,7011,8,0,190,350,40
ticks_20250905.xlsx,7011,100,-4500,30,400,40
ticks_20250905.xlsx,7011,100,-6900,40,400,40
ticks_20250905.xlsx,7011,86,-5600,50,400,40
ticks_20250905.xlsx,7011,78,-2600,60,400,40
ticks_20250905.xlsx,7011,50,-2400,70,400,40
ticks_20250905.xlsx,7011,48,-5100,80,400,40
ticks_20250905.xlsx,7011,46,0,90,400,40
ticks_20250905.xlsx,7011,36,1600,100,400,40
ticks_20250905.xlsx,7011,34,700,110,400,40
ticks_20250905.xlsx,7011,30,-2400,120,400,40
ticks_20250905.xlsx,7011,24,-300,130,400,40
ticks_20250905.xlsx,7011,18,-600,140,400,40
ticks_20250905.xlsx,7011,10,-100,150,400,40
ticks_20250905.xlsx,7011,12,1900,160,400,40
ticks_20250905.xlsx,7011,10,500,170,400,40
ticks_20250905.xlsx,7011,8,-300,180,400,40
ticks_20250905.xlsx,7011,6,-100,190,400,40
ticks_20250905.xlsx,7011,100,-2200,30,450,40
ticks_20250905.xlsx,7011,100,-3600,40,450,40
ticks_20250905.xlsx,7011,82,-1900,50,450,40
ticks_20250905.xlsx,7011,64,-100,60,450,40
ticks_20250905.xlsx,7011,48,1400,70,450,40
ticks_20250905.xlsx,7011,44,-200,80,450,40
ticks_20250905.xlsx,7011,38,-1000,90,450,40
ticks_20250905.xlsx,7011,40,0,100,450,40
ticks_20250905.xlsx,7011,34,1400,110,450,40
ticks_20250905.xlsx,7011,28,1800,120,450,40
ticks_20250905.xlsx,7011,22,-2000,130,450,40
ticks_20250905.xlsx,7011,20,-1100,140,450,40
ticks_20250905.xlsx,7011,12,400,150,450,40
ticks_20250905.xlsx,7011,12,-100,160,450,40
ticks_20250905.xlsx,7011,8,-800,170,450,40
ticks_20250905.xlsx,7011,6,-1800,180,450,40
ticks_20250905.xlsx,7011,8,-1100,190,450,40
ticks_20250905.xlsx,7011,100,-3000,30,500,40
ticks_20250905.xlsx,7011,100,-3900,40,500,40
ticks_20250905.xlsx,7011,94,-6000,50,500,40
ticks_20250905.xlsx,7011,58,-2400,60,500,40
ticks_20250905.xlsx,7011,46,2500,70,500,40
ticks_20250905.xlsx,7011,44,2100,80,500,40
ticks_20250905.xlsx,7011,38,1200,90,500,40
ticks_20250905.xlsx,7011,30,-400,100,500,40
ticks_20250905.xlsx,7011,30,-300,110,500,40
ticks_20250905.xlsx,7011,22,-100,120,500,40
ticks_20250905.xlsx,7011,20,300,130,500,40
ticks_20250905.xlsx,7011,18,-2100,140,500,40
ticks_20250905.xlsx,7011,16,900,150,500,40
ticks_20250905.xlsx,7011,10,-1500,160,500,40
ticks_20250905.xlsx,7011,8,-1500,170,500,40
ticks_20250905.xlsx,7011,8,-2200,180,500,40
ticks_20250905.xlsx,7011,6,-3100,190,500,40
ticks_20250905.xlsx,7011,100,-2000,30,550,40
ticks_20250905.xlsx,7011,92,-5700,40,550,40
ticks_20250905.xlsx,7011,76,-4400,50,550,40
ticks_20250905.xlsx,7011,62,-200,60,550,40
ticks_20250905.xlsx,7011,46,-200,70,550,40
ticks_20250905.xlsx,7011,38,1400,80,550,40
ticks_20250905.xlsx,7011,34,100,90,550,40
ticks_20250905.xlsx,7011,34,-1200,100,550,40
ticks_20250905.xlsx,7011,28,-3400,110,550,40
ticks_20250905.xlsx,7011,22,-3800,120,550,40
ticks_20250905.xlsx,7011,20,-4200,130,550,40
ticks_20250905.xlsx,7011,12,-3500,140,550,40
ticks_20250905.xlsx,7011,6,-1800,150,550,40
ticks_20250905.xlsx,7011,8,-2300,160,550,40
ticks_20250905.xlsx,7011,8,-500,170,550,40
ticks_20250905.xlsx,7011,8,-1400,180,550,40
ticks_20250905.xlsx,7011,8,-1800,190,550,40
ticks_20250905.xlsx,7011,100,-2500,30,600,40
ticks_20250905.xlsx,7011,92,-5100,40,600,40
ticks_20250905.xlsx,7011,78,-6800,50,600,40
ticks_20250905.xlsx,7011,60,-1400,60,600,40
ticks_20250905.xlsx,7011,54,-2000,70,600,40
ticks_20250905.xlsx,7011,38,-2500,80,600,40
ticks_20250905.xlsx,7011,34,-3700,90,600,40
