file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
ticks_20251216.xlsx,7203,100,-5900.0,30,300,45
ticks_20251216.xlsx,7203,90,-5300.0,40,300,45
ticks_20251216.xlsx,7203,64,-4700.0,50,300,45
ticks_20251216.xlsx,7203,48,-4400.0,60,300,45
ticks_20251216.xlsx,7203,40,-4700.0,70,300,45
ticks_20251216.xlsx,7203,28,-5800.0,80,300,45
ticks_20251216.xlsx,7203,26,-3700.0,90,300,45
ticks_20251216.xlsx,7203,26,-4900.0,100,300,45
ticks_20251216.xlsx,7203,20,-3200.0,110,300,45
ticks_20251216.xlsx,7203,20,-4800.0,120,300,45
ticks_20251216.xlsx,7203,20,-4500.0,130,300,45
ticks_20251216.xlsx,7203,22,-3900.0,140,300,45
ticks_20251216.xlsx,7203,14,-1000.0,150,300,45
ticks_20251216.xlsx,7203,14,-2400.0,160,300,45
ticks_20251216.xlsx,7203,12,-2200.0,170,300,45
ticks_20251216.xlsx,7203,12,-2400.0,180,300,45
ticks_20251216.xlsx,7203,10,-2500.0,190,300,45
ticks_20251216.xlsx,7203,100,-4900.0,30,350,45
ticks_20251216.xlsx,7203,88,-9300.0,40,350,45
ticks_20251216.xlsx,7203,80,-9100.0,50,350,45
ticks_20251216.xlsx,7203,52,-6700.0,60,350,45
ticks_20251216.xlsx,7203,42,-4500.0,70,350,45
ticks_20251216.xlsx,7203,42,-9100.0,80,350,45
ticks_20251216.xlsx,7203,36,-6300.0,90,350,45
ticks_20251216.xlsx,7203,28,-4200.0,100,350,45
ticks_20251216.xlsx,7203,22,-5100.0,110,350,45
ticks_20251216.xlsx,7203,16,-2200.0,120,350,45
ticks_20251216.xlsx,7203,18,-3200.0,130,350,45
ticks_20251216.xlsx,7203,16,-2600.0,140,350,45
ticks_20251216.xlsx,7203,20,-2000.0,150,350,45
ticks_20251216.xlsx,7203,12,-1900.0,160,350,45
ticks_20251216.xlsx,7203,12,-500.0,170,350,45
ticks_20251216.xlsx,7203,10,-2700.0,180,350,45
ticks_20251216.xlsx,7203,8,-2600.0,190,350,45
ticks_20251216.xlsx,7203,100,-10000.0,30,400,45
ticks_20251216.xlsx,7203,86,-8900.0,40,400,45
ticks_20251216.xlsx,7203,62,-8700.0,50,400,45
ticks_20251216.xlsx,7203,42,-6700.0,60,400,45
ticks_20251216.xlsx,7203,42,-4700.0,70,400,45
ticks_20251216.xlsx,7203,30,-2800.0,80,400,45
ticks_20251216.xlsx,7203,30,-3600.0,90,400,45
ticks_20251216.xlsx,7203,24,-3100.0,100,400,45
ticks_20251216.xlsx,7203,20,-1700.0,110,400,45
ticks_20251216.xlsx,7203,14,-4100.0,120,400,45
ticks_20251216.xlsx,7203,14,-4400.0,130,400,45
ticks_20251216.xlsx,7203,12,-2800.0,140,400,45
ticks_20251216.xlsx,7203,12,-2200.0,150,400,45
ticks_20251216.xlsx,7203,12,-2400.0,160,400,45
ticks_20251216.xlsx,7203,10,-2300.0,170,400,45
ticks_20251216.xlsx,7203,10,-2800.0,180,400,45
ticks_20251216.xlsx,7203,12,-3800.0,190,400,45
ticks_20251216.xlsx,7203,100,-6900.0,30,450,45
ticks_20251216.xlsx,7203,90,-7200.0,40,450,45
ticks_20251216.xlsx,7203,58,-7000.0,50,450,45
ticks_20251216.xlsx,7203,44,-6100.0,60,450,45
ticks_20251216.xlsx,7203,34,-4500.0,70,450,45
ticks_20251216.xlsx,7203,30,-5600.0,80,450,45
ticks_20251216.xlsx,7203,24,-3300.0,90,450,45
ticks_20251216.xlsx,7203,22,-3200.0,100,450,45
ticks_20251216.xlsx,7203,20,-2500.0,110,450,45
ticks_20251216.xlsx,7203,20,-2800.0,120,450,45
ticks_20251216.xlsx,7203,12,-3000.0,130,450,45
ticks_20251216.xlsx,7203,14,-3900.0,140,450,45
ticks_20251216.xlsx,7203,14,-2300.0,150,450,45
