file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20250820.xlsx,7011,100,4200.0,30,300
ticks_20250820.xlsx,7011,100,2900.0,40,300
ticks_20250820.xlsx,7011,78,6600.0,50,300
ticks_20250820.xlsx,7011,56,3800.0,60,300
ticks_20250820.xlsx,7011,54,5000.0,70,300
ticks_20250820.xlsx,7011,50,6600.0,80,300
ticks_20250820.xlsx,7011,32,7300.0,90,300
ticks_20250820.xlsx,7011,32,6500.0,100,300
ticks_20250820.xlsx,7011,28,7300.0,110,300
ticks_20250820.xlsx,7011,30,5700.0,120,300
ticks_20250820.xlsx,7011,24,4300.0,130,300
ticks_20250820.xlsx,7011,14,8100.0,140,300
ticks_20250820.xlsx,7011,12,7600.0,150,300
ticks_20250820.xlsx,7011,12,5200.0,160,300
ticks_20250820.xlsx,7011,12,4300.0,170,300
ticks_20250820.xlsx,7011,10,4400.0,180,300
ticks_20250820.xlsx,7011,12,6100.0,190,300
ticks_20250820.xlsx,7011,100,7000.0,30,350
ticks_20250820.xlsx,7011,90,6000.0,40,350
ticks_20250820.xlsx,7011,72,5800.0,50,350
ticks_20250820.xlsx,7011,58,6200.0,60,350
ticks_20250820.xlsx,7011,52,4800.0,70,350
ticks_20250820.xlsx,7011,46,4800.0,80,350
ticks_20250820.xlsx,7011,40,6000.0,90,350
ticks_20250820.xlsx,7011,28,4100.0,100,350
ticks_20250820.xlsx,7011,24,3100.0,110,350
ticks_20250820.xlsx,7011,26,4500.0,120,350
ticks_20250820.xlsx,7011,24,4200.0,130,350
ticks_20250820.xlsx,7011,20,7400.0,140,350
ticks_20250820.xlsx,7011,18,6100.0,150,350
ticks_20250820.xlsx,7011,10,6900.0,160,350
ticks_20250820.xlsx,7011,12,7200.0,170,350
ticks_20250820.xlsx,7011,10,5300.0,180,350
ticks_20250820.xlsx,7011,8,4000.0,190,350
ticks_20250820.xlsx,7011,92,7300.0,30,400
ticks_20250820.xlsx,7011,78,2700.0,40,400
ticks_20250820.xlsx,7011,68,3300.0,50,400
ticks_20250820.xlsx,7011,56,4400.0,60,400
ticks_20250820.xlsx,7011,52,4500.0,70,400
ticks_20250820.xlsx,7011,40,3200.0,80,400
ticks_20250820.xlsx,7011,34,6100.0,90,400
ticks_20250820.xlsx,7011,22,6600.0,100,400
ticks_20250820.xlsx,7011,16,4000.0,110,400
ticks_20250820.xlsx,7011,18,2700.0,120,400
ticks_20250820.xlsx,7011,18,2300.0,130,400
ticks_20250820.xlsx,7011,18,5400.0,140,400
ticks_20250820.xlsx,7011,18,5400.0,150,400
ticks_20250820.xlsx,7011,14,5600.0,160,400
ticks_20250820.xlsx,7011,10,5500.0,170,400
ticks_20250820.xlsx,7011,10,5100.0,180,400
ticks_20250820.xlsx,7011,10,4800.0,190,400
ticks_20250820.xlsx,7011,100,5900.0,30,450
ticks_20250820.xlsx,7011,74,5200.0,40,450
ticks_20250820.xlsx,7011,70,2700.0,50,450
ticks_20250820.xlsx,7011,50,3500.0,60,450
ticks_20250820.xlsx,7011,38,2700.0,70,450
ticks_20250820.xlsx,7011,32,3600.0,80,450
ticks_20250820.xlsx,7011,26,5600.0,90,450
ticks_20250820.xlsx,7011,20,5000.0,100,450
ticks_20250820.xlsx,7011,24,3800.0,110,450
ticks_20250820.xlsx,7011,22,4100.0,120,450
ticks_20250820.xlsx,7011,24,1600.0,130,450
ticks_20250820.xlsx,7011,20,4000.0,140,450
ticks_20250820.xlsx,7011,14,800.0,150,450
ticks_20250820.xlsx,7011,12,900.0,160,450
ticks_20250820.xlsx,7011,12,300.0,170,450
ticks_20250820.xlsx,7011,10,4500.0,180,450
ticks_20250820.xlsx,7011,6,2600.0,190,450
ticks_20250820.xlsx,7011,100,2800.0,30,500
ticks_20250820.xlsx,7011,78,1700.0,40,500
ticks_20250820.xlsx,7011,70,7100.0,50,500
ticks_20250820.xlsx,7011,48,3800.0,60,500
ticks_20250820.xlsx,7011,36,1500.0,70,500
ticks_20250820.xlsx,7011,30,3100.0,80,500
ticks_20250820.xlsx,7011,22,6600.0,90,500
ticks_20250820.xlsx,7011,24,6100.0,100,500
ticks_20250820.xlsx,7011,22,4500.0,110,500
ticks_20250820.xlsx,7011,18,3200.0,120,500
ticks_20250820.xlsx,7011,26,1700.0,130,500
ticks_20250820.xlsx,7011,22,3600.0,140,500
ticks_20250820.xlsx,7011,16,-700.0,150,500
ticks_20250820.xlsx,7011,14,2800.0,160,500
ticks_20250820.xlsx,7011,14,2600.0,170,500
ticks_20250820.xlsx,7011,10,4700.0,180,500
ticks_20250820.xlsx,7011,8,2800.0,190,500
ticks_20250820.xlsx,7011,92,6700.0,30,550
ticks_20250820.xlsx,7011,78,-600.0,40,550
ticks_20250820.xlsx,7011,66,3600.0,50,550
ticks_20250820.xlsx,7011,50,2900.0,60,550
ticks_20250820.xlsx,7011,46,3700.0,70,550
ticks_20250820.xlsx,7011,30,3100.0,80,550
ticks_20250820.xlsx,7011,26,4300.0,90,550
ticks_20250820.xlsx,7011,24,5700.0,100,550
ticks_20250820.xlsx,7011,24,4600.0,110,550
ticks_20250820.xlsx,7011,20,4100.0,120,550
ticks_20250820.xlsx,7011,26,600.0,130,550
ticks_20250820.xlsx,7011,20,3100.0,140,550
ticks_20250820.xlsx,7011,18,600.0,150,550
ticks_20250820.xlsx,7011,18,700.0,160,550
ticks_20250820.xlsx,7011,12,1300.0,170,550
ticks_20250820.xlsx,7011,12,3900.0,180,550
ticks_20250820.xlsx,7011,8,1900.0,190,550
ticks_20250820.xlsx,7011,82,2300.0,30,600
ticks_20250820.xlsx,7011,74,1700.0,40,600
ticks_20250820.xlsx,7011,60,4000.0,50,600
ticks_20250820.xlsx,7011,50,1600.0,60,600
ticks_20250820.xlsx,7011,42,800.0,70,600
ticks_20250820.xlsx,7011,32,2700.0,80,600
ticks_20250820.xlsx,7011,26,1800.0,90,600
ticks_20250820.xlsx,7011,22,7500.0,100,600
ticks_20250820.xlsx,7011,22,4000.0,110,600
ticks_20250820.xlsx,7011,26,2700.0,120,600
ticks_20250820.xlsx,7011,22,-1900.0,130,600
ticks_20250820.xlsx,7011,20,2000.0,140,600
ticks_20250820.xlsx,7011,16,1300.0,150,600
ticks_20250820.xlsx,7011,12,1000.0,160,600
ticks_20250820.xlsx,7011,14,1100.0,170,600
ticks_20250820.xlsx,7011,12,3800.0,180,600
ticks_20250820.xlsx,7011,8,2700.0,190,600
ticks_20250820.xlsx,7011,82,-300.0,30,650
ticks_20250820.xlsx,7011,68,0.0,40,650
ticks_20250820.xlsx,7011,68,-300.0,50,650
ticks_20250820.xlsx,7011,58,5500.0,60,650
ticks_20250820.xlsx,7011,46,3500.0,70,650
ticks_20250820.xlsx,7011,40,3200.0,80,650
ticks_20250820.xlsx,7011,30,3300.0,90,650
ticks_20250820.xlsx,7011,30,4000.0,100,650
ticks_20250820.xlsx,7011,26,1700.0,110,650
ticks_20250820.xlsx,7011,22,1600.0,120,650
ticks_20250820.xlsx,7011,26,-1700.0,130,650
ticks_20250820.xlsx,7011,20,1500.0,140,650
ticks_20250820.xlsx,7011,18,-800.0,150,650
ticks_20250820.xlsx,7011,16,600.0,160,650
ticks_20250820.xlsx,7011,12,2200.0,170,650
ticks_20250820.xlsx,7011,14,2400.0,180,650
ticks_20250820.xlsx,7011,10,2400.0,190,650
ticks_20250820.xlsx,7011,90,-3100.0,30,700
ticks_20250820.xlsx,7011,74,-1400.0,40,700
ticks_20250820.xlsx,7011,62,-3900.0,50,700
ticks_20250820.xlsx,7011,58,900.0,60,700
ticks_20250820.xlsx,7011,50,700.0,70,700
ticks_20250820.xlsx,7011,40,300.0,80,700
ticks_20250820.xlsx,7011,34,1500.0,90,700
ticks_20250820.xlsx,7011,34,1900.0,100,700
ticks_20250820.xlsx,7011,30,-3000.0,110,700
ticks_20250820.xlsx,7011,28,-2300.0,120,700
ticks_20250820.xlsx,7011,22,-2600.0,130,700
ticks_20250820.xlsx,7011,20,500.0,140,700
ticks_20250820.xlsx,7011,20,-800.0,150,700
ticks_20250820.xlsx,7011,12,200.0,160,700
ticks_20250820.xlsx,7011,12,700.0,170,700
ticks_20250820.xlsx,7011,16,1100.0,180,700
ticks_20250820.xlsx,7011,14,-100.0,190,700
ticks_20250820.xlsx,7011,84,200.0,30,750
ticks_20250820.xlsx,7011,74,-5900.0,40,750
ticks_20250820.xlsx,7011,64,-7400.0,50,750
ticks_20250820.xlsx,7011,56,200.0,60,750
ticks_20250820.xlsx,7011,52,-2300.0,70,750
ticks_20250820.xlsx,7011,40,-3500.0,80,750
ticks_20250820.xlsx,7011,34,1100.0,90,750
ticks_20250820.xlsx,7011,30,900.0,100,750
ticks_20250820.xlsx,7011,28,-2000.0,110,750
ticks_20250820.xlsx,7011,26,-1500.0,120,750
ticks_20250820.xlsx,7011,22,-4400.0,130,750
ticks_20250820.xlsx,7011,22,-100.0,140,750
ticks_20250820.xlsx,7011,24,-6500.0,150,750
ticks_20250820.xlsx,7011,16,-500.0,160,750
ticks_20250820.xlsx,7011,16,-2200.0,170,750
ticks_20250820.xlsx,7011,12,3500.0,180,750
ticks_20250820.xlsx,7011,12,1200.0,190,750
ticks_20250820.xlsx,7011,82,-800.0,30,800
ticks_20250820.xlsx,7011,68,-3800.0,40,800
ticks_20250820.xlsx,7011,68,-3900.0,50,800
ticks_20250820.xlsx,7011,50,-500.0,60,800
ticks_20250820.xlsx,7011,42,200.0,70,800
ticks_20250820.xlsx,7011,42,-4700.0,80,800
ticks_20250820.xlsx,7011,38,-2200.0,90,800
ticks_20250820.xlsx,7011,36,-100.0,100,800
ticks_20250820.xlsx,7011,28,-1200.0,110,800
ticks_20250820.xlsx,7011,24,-1600.0,120,800
ticks_20250820.xlsx,7011,24,-4100.0,130,800
ticks_20250820.xlsx,7011,24,-200.0,140,800
ticks_20250820.xlsx,7011,22,-1900.0,150,800
ticks_20250820.xlsx,7011,18,-2000.0,160,800
ticks_20250820.xlsx,7011,12,600.0,170,800
ticks_20250820.xlsx,7011,14,3200.0,180,800
ticks_20250820.xlsx,7011,10,1100.0,190,800
ticks_20250820.xlsx,7011,92,-1900.0,30,850
ticks_20250820.xlsx,7011,66,-4500.0,40,850
ticks_20250820.xlsx,7011,60,-3000.0,50,850
ticks_20250820.xlsx,7011,54,200.0,60,850
ticks_20250820.xlsx,7011,44,-2900.0,70,850
ticks_20250820.xlsx,7011,42,-2800.0,80,850
ticks_20250820.xlsx,7011,36,-2300.0,90,850
ticks_20250820.xlsx,7011,36,200.0,100,850
ticks_20250820.xlsx,7011,24,-1100.0,110,850
ticks_20250820.xlsx,7011,24,-600.0,120,850
ticks_20250820.xlsx,7011,24,-4300.0,130,850
ticks_20250820.xlsx,7011,22,300.0,140,850
ticks_20250820.xlsx,7011,20,-500.0,150,850
ticks_20250820.xlsx,7011,18,-1900.0,160,850
ticks_20250820.xlsx,7011,14,-1500.0,170,850
ticks_20250820.xlsx,7011,14,2400.0,180,850
ticks_20250820.xlsx,7011,10,1200.0,190,850
ticks_20250820.xlsx,7011,74,-700.0,30,900
ticks_20250820.xlsx,7011,60,400.0,40,900
ticks_20250820.xlsx,7011,58,-300.0,50,900
ticks_20250820.xlsx,7011,48,-1300.0,60,900
ticks_20250820.xlsx,7011,44,300.0,70,900
ticks_20250820.xlsx,7011,38,-900.0,80,900
ticks_20250820.xlsx,7011,30,1300.0,90,900
ticks_20250820.xlsx,7011,32,300.0,100,900
ticks_20250820.xlsx,7011,24,-1100.0,110,900
ticks_20250820.xlsx,7011,20,-1100.0,120,900
ticks_20250820.xlsx,7011,24,-4300.0,130,900
ticks_20250820.xlsx,7011,20,1100.0,140,900
ticks_20250820.xlsx,7011,18,-500.0,150,900
ticks_20250820.xlsx,7011,18,-2100.0,160,900
ticks_20250820.xlsx,7011,16,-1500.0,170,900
ticks_20250820.xlsx,7011,14,3000.0,180,900
ticks_20250820.xlsx,7011,12,400.0,190,900
ticks_20250820.xlsx,7011,78,2200.0,30,950
ticks_20250820.xlsx,7011,62,1100.0,40,950
ticks_20250820.xlsx,7011,52,800.0,50,950
ticks_20250820.xlsx,7011,38,4800.0,60,950
ticks_20250820.xlsx,7011,34,700.0,70,950
ticks_20250820.xlsx,7011,38,-600.0,80,950
ticks_20250820.xlsx,7011,34,1400.0,90,950
ticks_20250820.xlsx,7011,26,1100.0,100,950
ticks_20250820.xlsx,7011,26,-2500.0,110,950
ticks_20250820.xlsx,7011,20,-700.0,120,950
ticks_20250820.xlsx,7011,24,-4400.0,130,950
ticks_20250820.xlsx,7011,22,-300.0,140,950
ticks_20250820.xlsx,7011,14,0.0,150,950
ticks_20250820.xlsx,7011,12,200.0,160,950
ticks_20250820.xlsx,7011,14,-200.0,170,950
ticks_20250820.xlsx,7011,18,-1300.0,180,950
ticks_20250820.xlsx,7011,14,-1500.0,190,950
ticks_20250820.xlsx,7011,66,6200.0,30,1000
ticks_20250820.xlsx,7011,50,-500.0,40,1000
ticks_20250820.xlsx,7011,48,1900.0,50,1000
ticks_20250820.xlsx,7011,36,5900.0,60,1000
ticks_20250820.xlsx,7011,38,2400.0,70,1000
ticks_20250820.xlsx,7011,32,0.0,80,1000
ticks_20250820.xlsx,7011,32,2000.0,90,1000
ticks_20250820.xlsx,7011,30,700.0,100,1000
ticks_20250820.xlsx,7011,24,-600.0,110,1000
ticks_20250820.xlsx,7011,18,0.0,120,1000
ticks_20250820.xlsx,7011,18,-1600.0,130,1000
ticks_20250820.xlsx,7011,20,500.0,140,1000
ticks_20250820.xlsx,7011,14,100.0,150,1000
ticks_20250820.xlsx,7011,16,-1500.0,160,1000
ticks_20250820.xlsx,7011,14,-1100.0,170,1000
ticks_20250820.xlsx,7011,16,500.0,180,1000
ticks_20250820.xlsx,7011,12,-200.0,190,1000
ticks_20250820.xlsx,7011,52,4400.0,30,1050
ticks_20250820.xlsx,7011,46,2000.0,40,1050
ticks_20250820.xlsx,7011,32,5800.0,50,1050
ticks_20250820.xlsx,7011,34,7900.0,60,1050
ticks_20250820.xlsx,7011,34,0.0,70,1050
ticks_20250820.xlsx,7011,28,1300.0,80,1050
ticks_20250820.xlsx,7011,26,2900.0,90,1050
ticks_20250820.xlsx,7011,24,3000.0,100,1050
ticks_20250820.xlsx,7011,20,1100.0,110,1050
ticks_20250820.xlsx,7011,18,500.0,120,1050
ticks_20250820.xlsx,7011,20,-3400.0,130,1050
ticks_20250820.xlsx,7011,20,0.0,140,1050
ticks_20250820.xlsx,7011,16,0.0,150,1050
ticks_20250820.xlsx,7011,14,-900.0,160,1050
ticks_20250820.xlsx,7011,12,-1500.0,170,1050
ticks_20250820.xlsx,7011,14,700.0,180,1050
ticks_20250820.xlsx,7011,12,-1400.0,190,1050
ticks_20250820.xlsx,7011,52,3600.0,30,1100
