file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251121.xlsx,7011,100,2800.0,30,300
ticks_20251121.xlsx,7011,100,9800.0,40,300
ticks_20251121.xlsx,7011,94,3900.0,50,300
ticks_20251121.xlsx,7011,80,12200.0,60,300
ticks_20251121.xlsx,7011,76,8400.0,70,300
ticks_20251121.xlsx,7011,62,5100.0,80,300
ticks_20251121.xlsx,7011,70,500.0,90,300
ticks_20251121.xlsx,7011,60,-2600.0,100,300
ticks_20251121.xlsx,7011,56,2400.0,110,300
ticks_20251121.xlsx,7011,44,3400.0,120,300
ticks_20251121.xlsx,7011,46,2200.0,130,300
ticks_20251121.xlsx,7011,36,3300.0,140,300
ticks_20251121.xlsx,7011,36,1300.0,150,300
ticks_20251121.xlsx,7011,34,3100.0,160,300
ticks_20251121.xlsx,7011,32,5600.0,170,300
ticks_20251121.xlsx,7011,24,5800.0,180,300
ticks_20251121.xlsx,7011,28,1000.0,190,300
ticks_20251121.xlsx,7011,100,9400.0,30,350
ticks_20251121.xlsx,7011,100,8900.0,40,350
ticks_20251121.xlsx,7011,84,3800.0,50,350
ticks_20251121.xlsx,7011,78,9000.0,60,350
ticks_20251121.xlsx,7011,60,7600.0,70,350
ticks_20251121.xlsx,7011,60,1100.0,80,350
ticks_20251121.xlsx,7011,52,5100.0,90,350
ticks_20251121.xlsx,7011,52,2800.0,100,350
ticks_20251121.xlsx,7011,48,-1000.0,110,350
ticks_20251121.xlsx,7011,42,2700.0,120,350
ticks_20251121.xlsx,7011,44,5400.0,130,350
ticks_20251121.xlsx,7011,30,5500.0,140,350
ticks_20251121.xlsx,7011,34,2800.0,150,350
ticks_20251121.xlsx,7011,28,2800.0,160,350
ticks_20251121.xlsx,7011,26,2700.0,170,350
ticks_20251121.xlsx,7011,32,1800.0,180,350
ticks_20251121.xlsx,7011,26,5500.0,190,350
ticks_20251121.xlsx,7011,100,8800.0,30,400
ticks_20251121.xlsx,7011,88,5700.0,40,400
ticks_20251121.xlsx,7011,84,5400.0,50,400
ticks_20251121.xlsx,7011,76,6500.0,60,400
ticks_20251121.xlsx,7011,62,5400.0,70,400
ticks_20251121.xlsx,7011,54,4700.0,80,400
ticks_20251121.xlsx,7011,50,4900.0,90,400
ticks_20251121.xlsx,7011,44,4700.0,100,400
ticks_20251121.xlsx,7011,42,4000.0,110,400
ticks_20251121.xlsx,7011,42,4500.0,120,400
ticks_20251121.xlsx,7011,38,3800.0,130,400
ticks_20251121.xlsx,7011,32,3700.0,140,400
ticks_20251121.xlsx,7011,32,3500.0,150,400
ticks_20251121.xlsx,7011,34,5000.0,160,400
ticks_20251121.xlsx,7011,38,2700.0,170,400
ticks_20251121.xlsx,7011,28,5200.0,180,400
ticks_20251121.xlsx,7011,30,4500.0,190,400
ticks_20251121.xlsx,7011,100,6400.0,30,450
ticks_20251121.xlsx,7011,84,8600.0,40,450
ticks_20251121.xlsx,7011,84,3400.0,50,450
ticks_20251121.xlsx,7011,72,1700.0,60,450
ticks_20251121.xlsx,7011,52,3300.0,70,450
ticks_20251121.xlsx,7011,52,3400.0,80,450
ticks_20251121.xlsx,7011,46,4700.0,90,450
ticks_20251121.xlsx,7011,44,3400.0,100,450
ticks_20251121.xlsx,7011,40,10100.0,110,450
ticks_20251121.xlsx,7011,36,2700.0,120,450
ticks_20251121.xlsx,7011,38,5100.0,130,450
ticks_20251121.xlsx,7011,32,9900.0,140,450
ticks_20251121.xlsx,7011,34,8200.0,150,450
ticks_20251121.xlsx,7011,32,6900.0,160,450
ticks_20251121.xlsx,7011,30,2900.0,170,450
ticks_20251121.xlsx,7011,22,2700.0,180,450
ticks_20251121.xlsx,7011,22,5500.0,190,450
ticks_20251121.xlsx,7011,100,7700.0,30,500
ticks_20251121.xlsx,7011,84,14700.0,40,500
ticks_20251121.xlsx,7011,74,10900.0,50,500
ticks_20251121.xlsx,7011,60,12100.0,60,500
ticks_20251121.xlsx,7011,50,12200.0,70,500
ticks_20251121.xlsx,7011,44,10900.0,80,500
ticks_20251121.xlsx,7011,42,6600.0,90,500
ticks_20251121.xlsx,7011,34,5200.0,100,500
ticks_20251121.xlsx,7011,34,5300.0,110,500
ticks_20251121.xlsx,7011,38,3400.0,120,500
ticks_20251121.xlsx,7011,34,5100.0,130,500
ticks_20251121.xlsx,7011,30,5300.0,140,500
ticks_20251121.xlsx,7011,24,4800.0,150,500
ticks_20251121.xlsx,7011,28,6800.0,160,500
ticks_20251121.xlsx,7011,22,5600.0,170,500
