file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250820.xlsx,7011,14,1800.0,5.0,0.1
ticks_20250820.xlsx,7011,14,2200.0,10.0,0.1
ticks_20250820.xlsx,7011,14,3500.0,15.0,0.1
ticks_20250820.xlsx,7011,14,4600.0,20.0,0.1
ticks_20250820.xlsx,7011,14,3100.0,25.0,0.1
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.1
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.1
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.1
ticks_20250820.xlsx,7011,14,1700.0,5.0,0.2
ticks_20250820.xlsx,7011,14,2500.0,10.0,0.2
ticks_20250820.xlsx,7011,14,2900.0,15.0,0.2
ticks_20250820.xlsx,7011,14,3800.0,20.0,0.2
ticks_20250820.xlsx,7011,14,2800.0,25.0,0.2
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.2
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.2
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.2
ticks_20250820.xlsx,7011,14,1500.0,5.0,0.3
ticks_20250820.xlsx,7011,14,3000.0,10.0,0.3
ticks_20250820.xlsx,7011,14,3000.0,15.0,0.3
ticks_20250820.xlsx,7011,14,3000.0,20.0,0.3
ticks_20250820.xlsx,7011,14,2500.0,25.0,0.3
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.3
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.3
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.3
ticks_20250820.xlsx,7011,14,3100.0,5.0,0.4
ticks_20250820.xlsx,7011,14,2600.0,10.0,0.4
ticks_20250820.xlsx,7011,14,2600.0,15.0,0.4
ticks_20250820.xlsx,7011,14,2600.0,20.0,0.4
ticks_20250820.xlsx,7011,14,2300.0,25.0,0.4
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.4
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.4
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.4
ticks_20250820.xlsx,7011,14,2500.0,5.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,10.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,15.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,20.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,25.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.5
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.5
ticks_20250820.xlsx,7011,12,2700.0,5.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,10.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,15.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,20.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,25.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.6
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.6
ticks_20250820.xlsx,7011,12,2600.0,5.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,10.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,15.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,20.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,25.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.7
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.7
ticks_20250820.xlsx,7011,12,2500.0,5.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,10.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,15.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,20.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,25.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,30.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,35.0,0.8
ticks_20250820.xlsx,7011,12,1400.0,40.0,0.8
