file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251212.xlsx,7011,56,-2500.0,5.0,0.1
ticks_20251212.xlsx,7011,56,-5000.0,10.0,0.1
ticks_20251212.xlsx,7011,56,-4600.0,15.0,0.1
ticks_20251212.xlsx,7011,56,-2900.0,20.0,0.1
ticks_20251212.xlsx,7011,56,-2500.0,25.0,0.1
ticks_20251212.xlsx,7011,56,-3500.0,30.0,0.1
ticks_20251212.xlsx,7011,56,-2100.0,35.0,0.1
ticks_20251212.xlsx,7011,56,-2100.0,40.0,0.1
ticks_20251212.xlsx,7011,56,-2900.0,5.0,0.2
ticks_20251212.xlsx,7011,56,-5200.0,10.0,0.2
ticks_20251212.xlsx,7011,56,-4500.0,15.0,0.2
ticks_20251212.xlsx,7011,56,-3400.0,20.0,0.2
ticks_20251212.xlsx,7011,56,-3400.0,25.0,0.2
ticks_20251212.xlsx,7011,56,-4100.0,30.0,0.2
ticks_20251212.xlsx,7011,56,-2500.0,35.0,0.2
ticks_20251212.xlsx,7011,56,-2500.0,40.0,0.2
ticks_20251212.xlsx,7011,56,-3500.0,5.0,0.3
ticks_20251212.xlsx,7011,56,-5500.0,10.0,0.3
ticks_20251212.xlsx,7011,56,-5000.0,15.0,0.3
ticks_20251212.xlsx,7011,56,-3800.0,20.0,0.3
ticks_20251212.xlsx,7011,56,-3800.0,25.0,0.3
ticks_20251212.xlsx,7011,56,-4200.0,30.0,0.3
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.3
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.3
ticks_20251212.xlsx,7011,56,-4000.0,5.0,0.4
ticks_20251212.xlsx,7011,56,-5800.0,10.0,0.4
ticks_20251212.xlsx,7011,56,-4500.0,15.0,0.4
ticks_20251212.xlsx,7011,56,-4500.0,20.0,0.4
ticks_20251212.xlsx,7011,56,-4500.0,25.0,0.4
ticks_20251212.xlsx,7011,56,-4600.0,30.0,0.4
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.4
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.4
ticks_20251212.xlsx,7011,56,-5100.0,5.0,0.5
ticks_20251212.xlsx,7011,56,-6000.0,10.0,0.5
ticks_20251212.xlsx,7011,56,-5000.0,15.0,0.5
ticks_20251212.xlsx,7011,56,-5000.0,20.0,0.5
ticks_20251212.xlsx,7011,56,-5000.0,25.0,0.5
ticks_20251212.xlsx,7011,56,-4900.0,30.0,0.5
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.5
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.5
ticks_20251212.xlsx,7011,56,-5500.0,5.0,0.6
ticks_20251212.xlsx,7011,56,-5500.0,10.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,15.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,20.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,25.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,30.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.6
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.6
ticks_20251212.xlsx,7011,56,-6200.0,5.0,0.7
ticks_20251212.xlsx,7011,56,-5600.0,10.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,15.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,20.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,25.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,30.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.7
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.7
ticks_20251212.xlsx,7011,56,-6900.0,5.0,0.8
ticks_20251212.xlsx,7011,56,-6000.0,10.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,15.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,20.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,25.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,30.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,35.0,0.8
ticks_20251212.xlsx,7011,56,-300.0,40.0,0.8
