file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250825.xlsx,7011,34,300.0,5.0,0.1
ticks_20250825.xlsx,7011,34,-1400.0,10.0,0.1
ticks_20250825.xlsx,7011,34,-1000.0,15.0,0.1
ticks_20250825.xlsx,7011,34,-600.0,20.0,0.1
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.1
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.1
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.1
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.1
ticks_20250825.xlsx,7011,34,0.0,5.0,0.2
ticks_20250825.xlsx,7011,34,-1400.0,10.0,0.2
ticks_20250825.xlsx,7011,34,-1200.0,15.0,0.2
ticks_20250825.xlsx,7011,34,-900.0,20.0,0.2
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.2
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.2
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.2
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.2
ticks_20250825.xlsx,7011,34,-500.0,5.0,0.3
ticks_20250825.xlsx,7011,34,-1500.0,10.0,0.3
ticks_20250825.xlsx,7011,34,-1400.0,15.0,0.3
ticks_20250825.xlsx,7011,34,-1000.0,20.0,0.3
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.3
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.3
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.3
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.3
ticks_20250825.xlsx,7011,34,-900.0,5.0,0.4
ticks_20250825.xlsx,7011,34,-1700.0,10.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,15.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,20.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.4
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.4
ticks_20250825.xlsx,7011,34,-1900.0,5.0,0.5
ticks_20250825.xlsx,7011,34,-1900.0,10.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,15.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,20.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.5
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.5
ticks_20250825.xlsx,7011,34,-2100.0,5.0,0.6
ticks_20250825.xlsx,7011,34,-1900.0,10.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,15.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,20.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.6
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.6
ticks_20250825.xlsx,7011,34,-2000.0,5.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,10.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,15.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,20.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.7
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.7
ticks_20250825.xlsx,7011,34,-2200.0,5.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,10.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,15.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,20.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,25.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,30.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,35.0,0.8
ticks_20250825.xlsx,7011,34,-1100.0,40.0,0.8
