file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251126.xlsx,7011,66,-1100.0,5.0,0.1
ticks_20251126.xlsx,7011,66,-1300.0,10.0,0.1
ticks_20251126.xlsx,7011,66,-2100.0,15.0,0.1
ticks_20251126.xlsx,7011,66,-3200.0,20.0,0.1
ticks_20251126.xlsx,7011,66,-3100.0,25.0,0.1
ticks_20251126.xlsx,7011,66,-2400.0,30.0,0.1
ticks_20251126.xlsx,7011,66,-1900.0,35.0,0.1
ticks_20251126.xlsx,7011,66,600.0,40.0,0.1
ticks_20251126.xlsx,7011,66,-600.0,5.0,0.2
ticks_20251126.xlsx,7011,66,-1100.0,10.0,0.2
ticks_20251126.xlsx,7011,66,-2500.0,15.0,0.2
ticks_20251126.xlsx,7011,66,-3600.0,20.0,0.2
ticks_20251126.xlsx,7011,66,-3400.0,25.0,0.2
ticks_20251126.xlsx,7011,66,-2700.0,30.0,0.2
ticks_20251126.xlsx,7011,66,-2300.0,35.0,0.2
ticks_20251126.xlsx,7011,66,100.0,40.0,0.2
ticks_20251126.xlsx,7011,66,-1300.0,5.0,0.3
ticks_20251126.xlsx,7011,66,-1500.0,10.0,0.3
ticks_20251126.xlsx,7011,66,-3000.0,15.0,0.3
ticks_20251126.xlsx,7011,66,-3600.0,20.0,0.3
ticks_20251126.xlsx,7011,66,-3700.0,25.0,0.3
ticks_20251126.xlsx,7011,66,-2700.0,30.0,0.3
ticks_20251126.xlsx,7011,66,-2700.0,35.0,0.3
ticks_20251126.xlsx,7011,66,400.0,40.0,0.3
ticks_20251126.xlsx,7011,66,-2200.0,5.0,0.4
ticks_20251126.xlsx,7011,66,-2600.0,10.0,0.4
ticks_20251126.xlsx,7011,66,-3100.0,15.0,0.4
ticks_20251126.xlsx,7011,66,-3900.0,20.0,0.4
ticks_20251126.xlsx,7011,66,400.0,25.0,0.4
ticks_20251126.xlsx,7011,66,400.0,30.0,0.4
ticks_20251126.xlsx,7011,66,400.0,35.0,0.4
ticks_20251126.xlsx,7011,66,400.0,40.0,0.4
ticks_20251126.xlsx,7011,66,-3700.0,5.0,0.5
ticks_20251126.xlsx,7011,66,-3800.0,10.0,0.5
ticks_20251126.xlsx,7011,66,-4000.0,15.0,0.5
ticks_20251126.xlsx,7011,66,-4400.0,20.0,0.5
ticks_20251126.xlsx,7011,66,400.0,25.0,0.5
ticks_20251126.xlsx,7011,66,400.0,30.0,0.5
ticks_20251126.xlsx,7011,66,400.0,35.0,0.5
ticks_20251126.xlsx,7011,66,400.0,40.0,0.5
ticks_20251126.xlsx,7011,66,600.0,5.0,0.6
ticks_20251126.xlsx,7011,66,100.0,10.0,0.6
ticks_20251126.xlsx,7011,66,700.0,15.0,0.6
ticks_20251126.xlsx,7011,66,400.0,20.0,0.6
ticks_20251126.xlsx,7011,66,400.0,25.0,0.6
ticks_20251126.xlsx,7011,66,400.0,30.0,0.6
ticks_20251126.xlsx,7011,66,400.0,35.0,0.6
ticks_20251126.xlsx,7011,66,400.0,40.0,0.6
ticks_20251126.xlsx,7011,66,400.0,5.0,0.7
ticks_20251126.xlsx,7011,66,700.0,10.0,0.7
ticks_20251126.xlsx,7011,66,900.0,15.0,0.7
ticks_20251126.xlsx,7011,66,400.0,20.0,0.7
ticks_20251126.xlsx,7011,66,400.0,25.0,0.7
ticks_20251126.xlsx,7011,66,400.0,30.0,0.7
ticks_20251126.xlsx,7011,66,400.0,35.0,0.7
ticks_20251126.xlsx,7011,66,400.0,40.0,0.7
ticks_20251126.xlsx,7011,66,-600.0,5.0,0.8
ticks_20251126.xlsx,7011,66,500.0,10.0,0.8
ticks_20251126.xlsx,7011,66,700.0,15.0,0.8
ticks_20251126.xlsx,7011,66,400.0,20.0,0.8
ticks_20251126.xlsx,7011,66,400.0,25.0,0.8
ticks_20251126.xlsx,7011,66,400.0,30.0,0.8
ticks_20251126.xlsx,7011,66,400.0,35.0,0.8
ticks_20251126.xlsx,7011,66,400.0,40.0,0.8
