file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251222.xlsx,285A,48,-8700.0,5.0,0.1
ticks_20251222.xlsx,285A,48,-6500.0,10.0,0.1
ticks_20251222.xlsx,285A,48,-2500.0,15.0,0.1
ticks_20251222.xlsx,285A,48,800.0,20.0,0.1
ticks_20251222.xlsx,285A,48,-3000.0,25.0,0.1
ticks_20251222.xlsx,285A,48,-2300.0,30.0,0.1
ticks_20251222.xlsx,285A,48,-3800.0,35.0,0.1
ticks_20251222.xlsx,285A,48,-3800.0,40.0,0.1
ticks_20251222.xlsx,285A,48,-9700.0,5.0,0.2
ticks_20251222.xlsx,285A,48,-6600.0,10.0,0.2
ticks_20251222.xlsx,285A,48,-2400.0,15.0,0.2
ticks_20251222.xlsx,285A,48,400.0,20.0,0.2
ticks_20251222.xlsx,285A,48,-2400.0,25.0,0.2
ticks_20251222.xlsx,285A,48,-2700.0,30.0,0.2
ticks_20251222.xlsx,285A,48,-4200.0,35.0,0.2
ticks_20251222.xlsx,285A,48,-3700.0,40.0,0.2
ticks_20251222.xlsx,285A,48,-9700.0,5.0,0.3
ticks_20251222.xlsx,285A,48,-7200.0,10.0,0.3
ticks_20251222.xlsx,285A,48,-2900.0,15.0,0.3
ticks_20251222.xlsx,285A,48,-600.0,20.0,0.3
ticks_20251222.xlsx,285A,48,-3400.0,25.0,0.3
ticks_20251222.xlsx,285A,48,-3700.0,30.0,0.3
ticks_20251222.xlsx,285A,48,-4200.0,35.0,0.3
ticks_20251222.xlsx,285A,48,-4000.0,40.0,0.3
ticks_20251222.xlsx,285A,48,-10700.0,5.0,0.4
ticks_20251222.xlsx,285A,48,-5300.0,10.0,0.4
ticks_20251222.xlsx,285A,48,-4800.0,15.0,0.4
ticks_20251222.xlsx,285A,48,-3600.0,20.0,0.4
ticks_20251222.xlsx,285A,48,-6400.0,25.0,0.4
ticks_20251222.xlsx,285A,48,-6800.0,30.0,0.4
ticks_20251222.xlsx,285A,48,-8800.0,35.0,0.4
ticks_20251222.xlsx,285A,48,-7500.0,40.0,0.4
ticks_20251222.xlsx,285A,48,-12200.0,5.0,0.5
ticks_20251222.xlsx,285A,48,-8800.0,10.0,0.5
ticks_20251222.xlsx,285A,48,-8300.0,15.0,0.5
ticks_20251222.xlsx,285A,48,-4700.0,20.0,0.5
ticks_20251222.xlsx,285A,48,-8200.0,25.0,0.5
ticks_20251222.xlsx,285A,48,-9200.0,30.0,0.5
ticks_20251222.xlsx,285A,48,-10700.0,35.0,0.5
ticks_20251222.xlsx,285A,48,-10200.0,40.0,0.5
ticks_20251222.xlsx,285A,48,-12300.0,5.0,0.6
ticks_20251222.xlsx,285A,48,-10500.0,10.0,0.6
ticks_20251222.xlsx,285A,48,-10500.0,15.0,0.6
ticks_20251222.xlsx,285A,48,-8000.0,20.0,0.6
ticks_20251222.xlsx,285A,48,-11000.0,25.0,0.6
ticks_20251222.xlsx,285A,48,-12000.0,30.0,0.6
ticks_20251222.xlsx,285A,48,-14000.0,35.0,0.6
ticks_20251222.xlsx,285A,48,-13500.0,40.0,0.6
ticks_20251222.xlsx,285A,48,-13800.0,5.0,0.7
ticks_20251222.xlsx,285A,48,-12000.0,10.0,0.7
ticks_20251222.xlsx,285A,48,-12000.0,15.0,0.7
ticks_20251222.xlsx,285A,48,2000.0,20.0,0.7
ticks_20251222.xlsx,285A,48,2000.0,25.0,0.7
ticks_20251222.xlsx,285A,48,2000.0,30.0,0.7
ticks_20251222.xlsx,285A,48,0.0,35.0,0.7
ticks_20251222.xlsx,285A,48,500.0,40.0,0.7
ticks_20251222.xlsx,285A,48,-11400.0,5.0,0.8
ticks_20251222.xlsx,285A,48,-11400.0,10.0,0.8
ticks_20251222.xlsx,285A,48,-11400.0,15.0,0.8
ticks_20251222.xlsx,285A,48,5600.0,20.0,0.8
ticks_20251222.xlsx,285A,48,5600.0,25.0,0.8
ticks_20251222.xlsx,285A,48,5100.0,30.0,0.8
ticks_20251222.xlsx,285A,48,3100.0,35.0,0.8
ticks_20251222.xlsx,285A,48,4100.0,40.0,0.8
