file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250908.xlsx,7011,52,-2400.0,5.0,0.1
ticks_20250908.xlsx,7011,52,-6500.0,10.0,0.1
ticks_20250908.xlsx,7011,52,-5100.0,15.0,0.1
ticks_20250908.xlsx,7011,52,-5600.0,20.0,0.1
ticks_20250908.xlsx,7011,52,-5400.0,25.0,0.1
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.1
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.1
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.1
ticks_20250908.xlsx,7011,52,-3000.0,5.0,0.2
ticks_20250908.xlsx,7011,52,-6600.0,10.0,0.2
ticks_20250908.xlsx,7011,52,-5700.0,15.0,0.2
ticks_20250908.xlsx,7011,52,-5900.0,20.0,0.2
ticks_20250908.xlsx,7011,52,-5600.0,25.0,0.2
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.2
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.2
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.2
ticks_20250908.xlsx,7011,52,-3300.0,5.0,0.3
ticks_20250908.xlsx,7011,52,-6900.0,10.0,0.3
ticks_20250908.xlsx,7011,52,-5800.0,15.0,0.3
ticks_20250908.xlsx,7011,52,-6000.0,20.0,0.3
ticks_20250908.xlsx,7011,52,-6000.0,25.0,0.3
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.3
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.3
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.3
ticks_20250908.xlsx,7011,52,-3900.0,5.0,0.4
ticks_20250908.xlsx,7011,52,-7000.0,10.0,0.4
ticks_20250908.xlsx,7011,52,-6300.0,15.0,0.4
ticks_20250908.xlsx,7011,52,-6300.0,20.0,0.4
ticks_20250908.xlsx,7011,52,-6100.0,25.0,0.4
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.4
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.4
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.4
ticks_20250908.xlsx,7011,52,-4800.0,5.0,0.5
ticks_20250908.xlsx,7011,52,-7300.0,10.0,0.5
ticks_20250908.xlsx,7011,52,-6500.0,15.0,0.5
ticks_20250908.xlsx,7011,52,-6500.0,20.0,0.5
ticks_20250908.xlsx,7011,52,-6400.0,25.0,0.5
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.5
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.5
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.5
ticks_20250908.xlsx,7011,52,-5000.0,5.0,0.6
ticks_20250908.xlsx,7011,52,-7300.0,10.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,15.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,20.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,25.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.6
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.6
ticks_20250908.xlsx,7011,52,-5600.0,5.0,0.7
ticks_20250908.xlsx,7011,52,-7600.0,10.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,15.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,20.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,25.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.7
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.7
ticks_20250908.xlsx,7011,52,-5900.0,5.0,0.8
ticks_20250908.xlsx,7011,52,-7600.0,10.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,15.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,20.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,25.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,30.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,35.0,0.8
ticks_20250908.xlsx,7011,52,-6500.0,40.0,0.8
