file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20260107.xlsx,285A,60,-15500.0,5.0,0.1
ticks_20260107.xlsx,285A,60,-18000.0,10.0,0.1
ticks_20260107.xlsx,285A,60,-32500.0,15.0,0.1
ticks_20260107.xlsx,285A,60,-19500.0,20.0,0.1
ticks_20260107.xlsx,285A,60,-14000.0,25.0,0.1
ticks_20260107.xlsx,285A,60,-8500.0,30.0,0.1
ticks_20260107.xlsx,285A,60,-19000.0,35.0,0.1
ticks_20260107.xlsx,285A,60,-20000.0,40.0,0.1
ticks_20260107.xlsx,285A,60,-19500.0,5.0,0.2
ticks_20260107.xlsx,285A,60,-22500.0,10.0,0.2
ticks_20260107.xlsx,285A,60,-37500.0,15.0,0.2
ticks_20260107.xlsx,285A,60,-20000.0,20.0,0.2
ticks_20260107.xlsx,285A,60,-16000.0,25.0,0.2
ticks_20260107.xlsx,285A,60,-12500.0,30.0,0.2
ticks_20260107.xlsx,285A,60,-20500.0,35.0,0.2
ticks_20260107.xlsx,285A,60,-21500.0,40.0,0.2
ticks_20260107.xlsx,285A,60,-21000.0,5.0,0.3
ticks_20260107.xlsx,285A,60,-25000.0,10.0,0.3
ticks_20260107.xlsx,285A,60,-40500.0,15.0,0.3
ticks_20260107.xlsx,285A,60,-20500.0,20.0,0.3
ticks_20260107.xlsx,285A,60,-16500.0,25.0,0.3
ticks_20260107.xlsx,285A,60,-14500.0,30.0,0.3
ticks_20260107.xlsx,285A,60,-24500.0,35.0,0.3
ticks_20260107.xlsx,285A,60,-25000.0,40.0,0.3
ticks_20260107.xlsx,285A,60,-26000.0,5.0,0.4
ticks_20260107.xlsx,285A,60,-29000.0,10.0,0.4
ticks_20260107.xlsx,285A,60,-41000.0,15.0,0.4
ticks_20260107.xlsx,285A,60,-20500.0,20.0,0.4
ticks_20260107.xlsx,285A,60,-19000.0,25.0,0.4
ticks_20260107.xlsx,285A,60,-16500.0,30.0,0.4
ticks_20260107.xlsx,285A,60,-26000.0,35.0,0.4
ticks_20260107.xlsx,285A,60,-32000.0,40.0,0.4
ticks_20260107.xlsx,285A,60,-27000.0,5.0,0.5
ticks_20260107.xlsx,285A,60,-33000.0,10.0,0.5
ticks_20260107.xlsx,285A,60,-46500.0,15.0,0.5
ticks_20260107.xlsx,285A,60,-33500.0,20.0,0.5
ticks_20260107.xlsx,285A,60,-32500.0,25.0,0.5
ticks_20260107.xlsx,285A,60,-28000.0,30.0,0.5
ticks_20260107.xlsx,285A,60,-38000.0,35.0,0.5
ticks_20260107.xlsx,285A,60,-43000.0,40.0,0.5
ticks_20260107.xlsx,285A,60,-31000.0,5.0,0.6
ticks_20260107.xlsx,285A,60,-37000.0,10.0,0.6
ticks_20260107.xlsx,285A,60,-51500.0,15.0,0.6
ticks_20260107.xlsx,285A,60,-38500.0,20.0,0.6
ticks_20260107.xlsx,285A,60,-40500.0,25.0,0.6
ticks_20260107.xlsx,285A,60,-37500.0,30.0,0.6
ticks_20260107.xlsx,285A,60,-46000.0,35.0,0.6
ticks_20260107.xlsx,285A,60,-51500.0,40.0,0.6
ticks_20260107.xlsx,285A,60,-32500.0,5.0,0.7
ticks_20260107.xlsx,285A,60,-39000.0,10.0,0.7
ticks_20260107.xlsx,285A,60,-52500.0,15.0,0.7
ticks_20260107.xlsx,285A,60,-44500.0,20.0,0.7
ticks_20260107.xlsx,285A,60,-46500.0,25.0,0.7
ticks_20260107.xlsx,285A,60,-44000.0,30.0,0.7
ticks_20260107.xlsx,285A,60,-52500.0,35.0,0.7
ticks_20260107.xlsx,285A,60,-57000.0,40.0,0.7
ticks_20260107.xlsx,285A,60,-17500.0,5.0,0.8
ticks_20260107.xlsx,285A,60,-24500.0,10.0,0.8
ticks_20260107.xlsx,285A,60,-39500.0,15.0,0.8
ticks_20260107.xlsx,285A,60,-38000.0,20.0,0.8
ticks_20260107.xlsx,285A,60,-39500.0,25.0,0.8
ticks_20260107.xlsx,285A,60,-38000.0,30.0,0.8
ticks_20260107.xlsx,285A,60,-44000.0,35.0,0.8
ticks_20260107.xlsx,285A,60,-41500.0,40.0,0.8
