file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20260105.xlsx,285A,38,-15500.0,5.0,0.1
ticks_20260105.xlsx,285A,38,-12000.0,10.0,0.1
ticks_20260105.xlsx,285A,38,-18500.0,15.0,0.1
ticks_20260105.xlsx,285A,38,-16000.0,20.0,0.1
ticks_20260105.xlsx,285A,38,-15500.0,25.0,0.1
ticks_20260105.xlsx,285A,38,-15000.0,30.0,0.1
ticks_20260105.xlsx,285A,38,-31000.0,35.0,0.1
ticks_20260105.xlsx,285A,38,-29000.0,40.0,0.1
ticks_20260105.xlsx,285A,38,-15500.0,5.0,0.2
ticks_20260105.xlsx,285A,38,-13000.0,10.0,0.2
ticks_20260105.xlsx,285A,38,-19500.0,15.0,0.2
ticks_20260105.xlsx,285A,38,-20000.0,20.0,0.2
ticks_20260105.xlsx,285A,38,-19500.0,25.0,0.2
ticks_20260105.xlsx,285A,38,-17000.0,30.0,0.2
ticks_20260105.xlsx,285A,38,-30500.0,35.0,0.2
ticks_20260105.xlsx,285A,38,-30000.0,40.0,0.2
ticks_20260105.xlsx,285A,38,-17500.0,5.0,0.3
ticks_20260105.xlsx,285A,38,-15000.0,10.0,0.3
ticks_20260105.xlsx,285A,38,-21000.0,15.0,0.3
ticks_20260105.xlsx,285A,38,-21000.0,20.0,0.3
ticks_20260105.xlsx,285A,38,-20500.0,25.0,0.3
ticks_20260105.xlsx,285A,38,-20500.0,30.0,0.3
ticks_20260105.xlsx,285A,38,-32000.0,35.0,0.3
ticks_20260105.xlsx,285A,38,-31500.0,40.0,0.3
ticks_20260105.xlsx,285A,38,-16500.0,5.0,0.4
ticks_20260105.xlsx,285A,38,-15000.0,10.0,0.4
ticks_20260105.xlsx,285A,38,-21500.0,15.0,0.4
ticks_20260105.xlsx,285A,38,-21500.0,20.0,0.4
ticks_20260105.xlsx,285A,38,-21000.0,25.0,0.4
ticks_20260105.xlsx,285A,38,-21000.0,30.0,0.4
ticks_20260105.xlsx,285A,38,-32500.0,35.0,0.4
ticks_20260105.xlsx,285A,38,-32500.0,40.0,0.4
ticks_20260105.xlsx,285A,38,-17500.0,5.0,0.5
ticks_20260105.xlsx,285A,38,-16000.0,10.0,0.5
ticks_20260105.xlsx,285A,38,-23000.0,15.0,0.5
ticks_20260105.xlsx,285A,38,-24000.0,20.0,0.5
ticks_20260105.xlsx,285A,38,-23500.0,25.0,0.5
ticks_20260105.xlsx,285A,38,-18500.0,30.0,0.5
ticks_20260105.xlsx,285A,38,-29000.0,35.0,0.5
ticks_20260105.xlsx,285A,38,-29000.0,40.0,0.5
ticks_20260105.xlsx,285A,38,-19000.0,5.0,0.6
ticks_20260105.xlsx,285A,38,-18000.0,10.0,0.6
ticks_20260105.xlsx,285A,38,-25000.0,15.0,0.6
ticks_20260105.xlsx,285A,38,-26000.0,20.0,0.6
ticks_20260105.xlsx,285A,38,-25500.0,25.0,0.6
ticks_20260105.xlsx,285A,38,-21500.0,30.0,0.6
ticks_20260105.xlsx,285A,38,-31000.0,35.0,0.6
ticks_20260105.xlsx,285A,38,-31000.0,40.0,0.6
ticks_20260105.xlsx,285A,38,-21000.0,5.0,0.7
ticks_20260105.xlsx,285A,38,-20000.0,10.0,0.7
ticks_20260105.xlsx,285A,38,-25500.0,15.0,0.7
ticks_20260105.xlsx,285A,38,-28500.0,20.0,0.7
ticks_20260105.xlsx,285A,38,-28000.0,25.0,0.7
ticks_20260105.xlsx,285A,38,-23500.0,30.0,0.7
ticks_20260105.xlsx,285A,38,-33500.0,35.0,0.7
ticks_20260105.xlsx,285A,38,-33500.0,40.0,0.7
ticks_20260105.xlsx,285A,38,-20500.0,5.0,0.8
ticks_20260105.xlsx,285A,38,-20000.0,10.0,0.8
ticks_20260105.xlsx,285A,38,-25500.0,15.0,0.8
ticks_20260105.xlsx,285A,38,-26000.0,20.0,0.8
ticks_20260105.xlsx,285A,38,-25500.0,25.0,0.8
ticks_20260105.xlsx,285A,38,-23000.0,30.0,0.8
ticks_20260105.xlsx,285A,38,-33000.0,35.0,0.8
ticks_20260105.xlsx,285A,38,-33000.0,40.0,0.8
