file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20260121.xlsx,285A,38,-14000.0,5.0,0.1
ticks_20260121.xlsx,285A,38,-10000.0,10.0,0.1
ticks_20260121.xlsx,285A,38,-6000.0,15.0,0.1
ticks_20260121.xlsx,285A,38,3500.0,20.0,0.1
ticks_20260121.xlsx,285A,38,9000.0,25.0,0.1
ticks_20260121.xlsx,285A,38,4000.0,30.0,0.1
ticks_20260121.xlsx,285A,38,6500.0,35.0,0.1
ticks_20260121.xlsx,285A,38,4500.0,40.0,0.1
ticks_20260121.xlsx,285A,38,-14000.0,5.0,0.2
ticks_20260121.xlsx,285A,38,-10000.0,10.0,0.2
ticks_20260121.xlsx,285A,38,-6000.0,15.0,0.2
ticks_20260121.xlsx,285A,38,8000.0,20.0,0.2
ticks_20260121.xlsx,285A,38,12000.0,25.0,0.2
ticks_20260121.xlsx,285A,38,7000.0,30.0,0.2
ticks_20260121.xlsx,285A,38,7000.0,35.0,0.2
ticks_20260121.xlsx,285A,38,5000.0,40.0,0.2
ticks_20260121.xlsx,285A,38,-14000.0,5.0,0.3
ticks_20260121.xlsx,285A,38,-10000.0,10.0,0.3
ticks_20260121.xlsx,285A,38,500.0,15.0,0.3
ticks_20260121.xlsx,285A,38,2500.0,20.0,0.3
ticks_20260121.xlsx,285A,38,5500.0,25.0,0.3
ticks_20260121.xlsx,285A,38,-500.0,30.0,0.3
ticks_20260121.xlsx,285A,38,-500.0,35.0,0.3
ticks_20260121.xlsx,285A,38,1000.0,40.0,0.3
ticks_20260121.xlsx,285A,38,-11500.0,5.0,0.4
ticks_20260121.xlsx,285A,38,-8000.0,10.0,0.4
ticks_20260121.xlsx,285A,38,500.0,15.0,0.4
ticks_20260121.xlsx,285A,38,500.0,20.0,0.4
ticks_20260121.xlsx,285A,38,1500.0,25.0,0.4
ticks_20260121.xlsx,285A,38,-2000.0,30.0,0.4
ticks_20260121.xlsx,285A,38,-2000.0,35.0,0.4
ticks_20260121.xlsx,285A,38,-5000.0,40.0,0.4
ticks_20260121.xlsx,285A,38,-16000.0,5.0,0.5
ticks_20260121.xlsx,285A,38,13000.0,10.0,0.5
ticks_20260121.xlsx,285A,38,20000.0,15.0,0.5
ticks_20260121.xlsx,285A,38,28500.0,20.0,0.5
ticks_20260121.xlsx,285A,38,29000.0,25.0,0.5
ticks_20260121.xlsx,285A,38,53500.0,30.0,0.5
ticks_20260121.xlsx,285A,38,53500.0,35.0,0.5
ticks_20260121.xlsx,285A,38,53500.0,40.0,0.5
ticks_20260121.xlsx,285A,38,3500.0,5.0,0.6
ticks_20260121.xlsx,285A,38,32500.0,10.0,0.6
ticks_20260121.xlsx,285A,38,37000.0,15.0,0.6
ticks_20260121.xlsx,285A,38,45500.0,20.0,0.6
ticks_20260121.xlsx,285A,38,46000.0,25.0,0.6
ticks_20260121.xlsx,285A,38,70500.0,30.0,0.6
ticks_20260121.xlsx,285A,38,70500.0,35.0,0.6
ticks_20260121.xlsx,285A,38,70500.0,40.0,0.6
ticks_20260121.xlsx,285A,38,38000.0,5.0,0.7
ticks_20260121.xlsx,285A,38,67000.0,10.0,0.7
ticks_20260121.xlsx,285A,38,67000.0,15.0,0.7
ticks_20260121.xlsx,285A,38,75500.0,20.0,0.7
ticks_20260121.xlsx,285A,38,75500.0,25.0,0.7
ticks_20260121.xlsx,285A,38,71500.0,30.0,0.7
ticks_20260121.xlsx,285A,38,71500.0,35.0,0.7
ticks_20260121.xlsx,285A,38,71500.0,40.0,0.7
ticks_20260121.xlsx,285A,38,43000.0,5.0,0.8
ticks_20260121.xlsx,285A,38,71500.0,10.0,0.8
ticks_20260121.xlsx,285A,38,71500.0,15.0,0.8
ticks_20260121.xlsx,285A,38,71500.0,20.0,0.8
ticks_20260121.xlsx,285A,38,72000.0,25.0,0.8
ticks_20260121.xlsx,285A,38,68000.0,30.0,0.8
ticks_20260121.xlsx,285A,38,68000.0,35.0,0.8
ticks_20260121.xlsx,285A,38,68000.0,40.0,0.8
