file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20260108.xlsx,285A,100,0.0,30,300
ticks_20260108.xlsx,285A,100,-36000.0,40,300
ticks_20260108.xlsx,285A,100,-12500.0,50,300
ticks_20260108.xlsx,285A,74,-15500.0,60,300
ticks_20260108.xlsx,285A,74,-13000.0,70,300
ticks_20260108.xlsx,285A,58,-6000.0,80,300
ticks_20260108.xlsx,285A,60,-5000.0,90,300
ticks_20260108.xlsx,285A,46,-24000.0,100,300
ticks_20260108.xlsx,285A,46,-6000.0,110,300
ticks_20260108.xlsx,285A,30,-23000.0,120,300
ticks_20260108.xlsx,285A,32,-15500.0,130,300
ticks_20260108.xlsx,285A,24,6500.0,140,300
ticks_20260108.xlsx,285A,32,-13000.0,150,300
ticks_20260108.xlsx,285A,100,-18500.0,30,400
ticks_20260108.xlsx,285A,100,-28500.0,40,400
ticks_20260108.xlsx,285A,100,-27000.0,50,400
ticks_20260108.xlsx,285A,86,-17000.0,60,400
ticks_20260108.xlsx,285A,76,-15500.0,70,400
ticks_20260108.xlsx,285A,56,13000.0,80,400
ticks_20260108.xlsx,285A,56,3500.0,90,400
ticks_20260108.xlsx,285A,42,-1500.0,100,400
ticks_20260108.xlsx,285A,50,-40500.0,110,400
ticks_20260108.xlsx,285A,42,-21000.0,120,400
ticks_20260108.xlsx,285A,32,0.0,130,400
ticks_20260108.xlsx,285A,26,-33500.0,140,400
ticks_20260108.xlsx,285A,30,-15000.0,150,400
ticks_20260108.xlsx,285A,100,-3500.0,30,500
ticks_20260108.xlsx,285A,100,5000.0,40,500
ticks_20260108.xlsx,285A,86,9000.0,50,500
ticks_20260108.xlsx,285A,78,17500.0,60,500
ticks_20260108.xlsx,285A,70,22000.0,70,500
ticks_20260108.xlsx,285A,56,21000.0,80,500
ticks_20260108.xlsx,285A,60,22500.0,90,500
ticks_20260108.xlsx,285A,52,-21500.0,100,500
ticks_20260108.xlsx,285A,42,-12500.0,110,500
ticks_20260108.xlsx,285A,36,18000.0,120,500
ticks_20260108.xlsx,285A,30,-24500.0,130,500
ticks_20260108.xlsx,285A,32,-24500.0,140,500
ticks_20260108.xlsx,285A,36,-26500.0,150,500
ticks_20260108.xlsx,285A,100,-26500.0,30,600
ticks_20260108.xlsx,285A,94,1000.0,40,600
ticks_20260108.xlsx,285A,84,-11500.0,50,600
ticks_20260108.xlsx,285A,72,-2000.0,60,600
ticks_20260108.xlsx,285A,78,-4500.0,70,600
ticks_20260108.xlsx,285A,68,-14000.0,80,600
ticks_20260108.xlsx,285A,58,1500.0,90,600
ticks_20260108.xlsx,285A,48,-23500.0,100,600
ticks_20260108.xlsx,285A,46,-22500.0,110,600
ticks_20260108.xlsx,285A,40,-22500.0,120,600
ticks_20260108.xlsx,285A,36,-30500.0,130,600
ticks_20260108.xlsx,285A,28,-14000.0,140,600
ticks_20260108.xlsx,285A,24,-26500.0,150,600
ticks_20260108.xlsx,285A,100,-21000.0,30,700
ticks_20260108.xlsx,285A,100,-11000.0,40,700
ticks_20260108.xlsx,285A,90,-18500.0,50,700
ticks_20260108.xlsx,285A,76,-3500.0,60,700
ticks_20260108.xlsx,285A,66,-3500.0,70,700
ticks_20260108.xlsx,285A,64,-20000.0,80,700
ticks_20260108.xlsx,285A,62,-12500.0,90,700
ticks_20260108.xlsx,285A,46,-33500.0,100,700
ticks_20260108.xlsx,285A,50,-17500.0,110,700
ticks_20260108.xlsx,285A,36,-10500.0,120,700
ticks_20260108.xlsx,285A,36,-18500.0,130,700
ticks_20260108.xlsx,285A,34,-27000.0,140,700
ticks_20260108.xlsx,285A,30,-19500.0,150,700
ticks_20260108.xlsx,285A,100,-13000.0,30,800
ticks_20260108.xlsx,285A,92,1000.0,40,800
ticks_20260108.xlsx,285A,84,-14500.0,50,800
ticks_20260108.xlsx,285A,76,-19000.0,60,800
ticks_20260108.xlsx,285A,68,-14000.0,70,800
ticks_20260108.xlsx,285A,54,-2000.0,80,800
ticks_20260108.xlsx,285A,50,-5500.0,90,800
ticks_20260108.xlsx,285A,42,8500.0,100,800
ticks_20260108.xlsx,285A,44,10000.0,110,800
ticks_20260108.xlsx,285A,34,-2500.0,120,800
ticks_20260108.xlsx,285A,28,-3000.0,130,800
ticks_20260108.xlsx,285A,20,-5500.0,140,800
ticks_20260108.xlsx,285A,18,-1500.0,150,800
ticks_20260108.xlsx,285A,100,-5000.0,30,900
ticks_20260108.xlsx,285A,88,-17000.0,40,900
ticks_20260108.xlsx,285A,78,-11000.0,50,900
ticks_20260108.xlsx,285A,72,-16500.0,60,900
ticks_20260108.xlsx,285A,68,13500.0,70,900
ticks_20260108.xlsx,285A,54,5000.0,80,900
ticks_20260108.xlsx,285A,40,6000.0,90,900
ticks_20260108.xlsx,285A,40,1000.0,100,900
ticks_20260108.xlsx,285A,38,1500.0,110,900
ticks_20260108.xlsx,285A,26,-500.0,120,900
ticks_20260108.xlsx,285A,24,-5000.0,130,900
ticks_20260108.xlsx,285A,18,-4000.0,140,900
ticks_20260108.xlsx,285A,16,6000.0,150,900
ticks_20260108.xlsx,285A,100,6000.0,30,1000
ticks_20260108.xlsx,285A,82,16000.0,40,1000
ticks_20260108.xlsx,285A,72,18000.0,50,1000
ticks_20260108.xlsx,285A,52,31000.0,60,1000
ticks_20260108.xlsx,285A,54,20000.0,70,1000
ticks_20260108.xlsx,285A,50,22000.0,80,1000
ticks_20260108.xlsx,285A,40,25500.0,90,1000
ticks_20260108.xlsx,285A,28,25500.0,100,1000
ticks_20260108.xlsx,285A,24,10500.0,110,1000
ticks_20260108.xlsx,285A,20,6500.0,120,1000
ticks_20260108.xlsx,285A,16,-1500.0,130,1000
ticks_20260108.xlsx,285A,16,-1000.0,140,1000
ticks_20260108.xlsx,285A,16,1000.0,150,1000
ticks_20260108.xlsx,285A,92,3500.0,30,1100
ticks_20260108.xlsx,285A,68,24500.0,40,1100
ticks_20260108.xlsx,285A,62,16500.0,50,1100
ticks_20260108.xlsx,285A,48,32000.0,60,1100
ticks_20260108.xlsx,285A,50,27500.0,70,1100
ticks_20260108.xlsx,285A,44,35000.0,80,1100
ticks_20260108.xlsx,285A,32,16500.0,90,1100
ticks_20260108.xlsx,285A,18,-4000.0,100,1100
ticks_20260108.xlsx,285A,22,-4500.0,110,1100
ticks_20260108.xlsx,285A,16,3500.0,120,1100
ticks_20260108.xlsx,285A,18,-13500.0,130,1100
ticks_20260108.xlsx,285A,18,-1500.0,140,1100
ticks_20260108.xlsx,285A,14,2000.0,150,1100
ticks_20260108.xlsx,285A,80,23500.0,30,1200
ticks_20260108.xlsx,285A,56,36000.0,40,1200
ticks_20260108.xlsx,285A,52,35500.0,50,1200
ticks_20260108.xlsx,285A,48,32000.0,60,1200
ticks_20260108.xlsx,285A,42,41000.0,70,1200
ticks_20260108.xlsx,285A,32,28500.0,80,1200
ticks_20260108.xlsx,285A,24,6000.0,90,1200
ticks_20260108.xlsx,285A,22,-3500.0,100,1200
ticks_20260108.xlsx,285A,16,-8000.0,110,1200
ticks_20260108.xlsx,285A,16,-6000.0,120,1200
ticks_20260108.xlsx,285A,14,-13000.0,130,1200
ticks_20260108.xlsx,285A,16,-11500.0,140,1200
ticks_20260108.xlsx,285A,12,5000.0,150,1200
ticks_20260108.xlsx,285A,80,31500.0,30,1300
ticks_20260108.xlsx,285A,62,30000.0,40,1300
ticks_20260108.xlsx,285A,50,33500.0,50,1300
ticks_20260108.xlsx,285A,38,38000.0,60,1300
ticks_20260108.xlsx,285A,40,-6500.0,70,1300
ticks_20260108.xlsx,285A,32,-4000.0,80,1300
ticks_20260108.xlsx,285A,22,-4000.0,90,1300
ticks_20260108.xlsx,285A,22,4000.0,100,1300
ticks_20260108.xlsx,285A,18,-4000.0,110,1300
ticks_20260108.xlsx,285A,16,-7000.0,120,1300
ticks_20260108.xlsx,285A,16,11000.0,130,1300
ticks_20260108.xlsx,285A,12,11500.0,140,1300
ticks_20260108.xlsx,285A,10,15500.0,150,1300
ticks_20260108.xlsx,285A,88,31000.0,30,1400
ticks_20260108.xlsx,285A,54,44500.0,40,1400
ticks_20260108.xlsx,285A,50,32000.0,50,1400
ticks_20260108.xlsx,285A,48,39000.0,60,1400
ticks_20260108.xlsx,285A,38,15500.0,70,1400
ticks_20260108.xlsx,285A,34,18500.0,80,1400
ticks_20260108.xlsx,285A,30,16500.0,90,1400
ticks_20260108.xlsx,285A,22,-3000.0,100,1400
ticks_20260108.xlsx,285A,20,-7000.0,110,1400
ticks_20260108.xlsx,285A,20,9000.0,120,1400
ticks_20260108.xlsx,285A,16,10500.0,130,1400
ticks_20260108.xlsx,285A,12,14000.0,140,1400
ticks_20260108.xlsx,285A,14,12500.0,150,1400
ticks_20260108.xlsx,285A,76,39000.0,30,1500
ticks_20260108.xlsx,285A,52,34500.0,40,1500
