file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251224.xlsx,285A,54,12500.0,30,300
ticks_20251224.xlsx,285A,30,6500.0,40,300
ticks_20251224.xlsx,285A,24,25000.0,50,300
ticks_20251224.xlsx,285A,16,1000.0,60,300
ticks_20251224.xlsx,285A,12,3000.0,70,300
ticks_20251224.xlsx,285A,14,1500.0,80,300
ticks_20251224.xlsx,285A,10,1000.0,90,300
ticks_20251224.xlsx,285A,8,4500.0,100,300
ticks_20251224.xlsx,285A,6,2000.0,110,300
ticks_20251224.xlsx,285A,2,9500.0,120,300
ticks_20251224.xlsx,285A,2,500.0,130,300
ticks_20251224.xlsx,285A,2,500.0,140,300
ticks_20251224.xlsx,285A,2,500.0,150,300
ticks_20251224.xlsx,285A,48,26500.0,30,400
ticks_20251224.xlsx,285A,40,31000.0,40,400
ticks_20251224.xlsx,285A,24,13000.0,50,400
ticks_20251224.xlsx,285A,18,19000.0,60,400
ticks_20251224.xlsx,285A,16,16000.0,70,400
ticks_20251224.xlsx,285A,8,12500.0,80,400
ticks_20251224.xlsx,285A,6,-1500.0,90,400
ticks_20251224.xlsx,285A,6,-2500.0,100,400
ticks_20251224.xlsx,285A,2,500.0,110,400
ticks_20251224.xlsx,285A,2,500.0,120,400
ticks_20251224.xlsx,285A,2,-1000.0,130,400
ticks_20251224.xlsx,285A,2,7000.0,140,400
ticks_20251224.xlsx,285A,2,-1000.0,150,400
ticks_20251224.xlsx,285A,42,23500.0,30,500
ticks_20251224.xlsx,285A,34,17500.0,40,500
ticks_20251224.xlsx,285A,22,14000.0,50,500
ticks_20251224.xlsx,285A,16,12500.0,60,500
ticks_20251224.xlsx,285A,10,500.0,70,500
ticks_20251224.xlsx,285A,4,-1500.0,80,500
ticks_20251224.xlsx,285A,4,-1500.0,90,500
ticks_20251224.xlsx,285A,4,-1500.0,100,500
ticks_20251224.xlsx,285A,2,-1000.0,110,500
ticks_20251224.xlsx,285A,2,-1000.0,120,500
ticks_20251224.xlsx,285A,2,5000.0,130,500
ticks_20251224.xlsx,285A,2,-2000.0,140,500
ticks_20251224.xlsx,285A,2,4500.0,150,500
ticks_20251224.xlsx,285A,38,34000.0,30,600
ticks_20251224.xlsx,285A,22,24000.0,40,600
ticks_20251224.xlsx,285A,14,11500.0,50,600
ticks_20251224.xlsx,285A,12,10500.0,60,600
ticks_20251224.xlsx,285A,8,500.0,70,600
ticks_20251224.xlsx,285A,4,-500.0,80,600
ticks_20251224.xlsx,285A,6,9500.0,90,600
ticks_20251224.xlsx,285A,6,-7000.0,100,600
ticks_20251224.xlsx,285A,6,2500.0,110,600
ticks_20251224.xlsx,285A,2,-1000.0,120,600
ticks_20251224.xlsx,285A,2,5000.0,130,600
ticks_20251224.xlsx,285A,2,-2000.0,140,600
ticks_20251224.xlsx,285A,2,5000.0,150,600
ticks_20251224.xlsx,285A,38,19000.0,30,700
ticks_20251224.xlsx,285A,24,20000.0,40,700
ticks_20251224.xlsx,285A,14,19000.0,50,700
ticks_20251224.xlsx,285A,14,15000.0,60,700
ticks_20251224.xlsx,285A,10,-12000.0,70,700
ticks_20251224.xlsx,285A,6,-5000.0,80,700
ticks_20251224.xlsx,285A,4,-1500.0,90,700
ticks_20251224.xlsx,285A,6,-1000.0,100,700
ticks_20251224.xlsx,285A,6,6500.0,110,700
ticks_20251224.xlsx,285A,4,-1000.0,120,700
ticks_20251224.xlsx,285A,2,4500.0,130,700
ticks_20251224.xlsx,285A,2,-2000.0,140,700
ticks_20251224.xlsx,285A,2,5000.0,150,700
ticks_20251224.xlsx,285A,36,3000.0,30,800
ticks_20251224.xlsx,285A,16,4500.0,40,800
ticks_20251224.xlsx,285A,12,5500.0,50,800
ticks_20251224.xlsx,285A,12,1500.0,60,800
ticks_20251224.xlsx,285A,12,16000.0,70,800
ticks_20251224.xlsx,285A,8,7500.0,80,800
ticks_20251224.xlsx,285A,8,7500.0,90,800
ticks_20251224.xlsx,285A,8,7500.0,100,800
ticks_20251224.xlsx,285A,4,-2500.0,110,800
ticks_20251224.xlsx,285A,4,-3000.0,120,800
ticks_20251224.xlsx,285A,4,3000.0,130,800
ticks_20251224.xlsx,285A,2,-2000.0,140,800
ticks_20251224.xlsx,285A,2,6000.0,150,800
ticks_20251224.xlsx,285A,22,10500.0,30,900
ticks_20251224.xlsx,285A,16,12000.0,40,900
ticks_20251224.xlsx,285A,16,15000.0,50,900
ticks_20251224.xlsx,285A,10,23500.0,60,900
ticks_20251224.xlsx,285A,10,14000.0,70,900
ticks_20251224.xlsx,285A,10,6500.0,80,900
ticks_20251224.xlsx,285A,10,5000.0,90,900
ticks_20251224.xlsx,285A,6,6500.0,100,900
ticks_20251224.xlsx,285A,4,-3000.0,110,900
ticks_20251224.xlsx,285A,4,-3000.0,120,900
ticks_20251224.xlsx,285A,2,6000.0,130,900
ticks_20251224.xlsx,285A,2,-2000.0,140,900
ticks_20251224.xlsx,285A,2,6000.0,150,900
ticks_20251224.xlsx,285A,28,20000.0,30,1000
ticks_20251224.xlsx,285A,22,17000.0,40,1000
ticks_20251224.xlsx,285A,16,18500.0,50,1000
ticks_20251224.xlsx,285A,8,17000.0,60,1000
ticks_20251224.xlsx,285A,8,8500.0,70,1000
ticks_20251224.xlsx,285A,6,-4500.0,80,1000
ticks_20251224.xlsx,285A,4,-1500.0,90,1000
ticks_20251224.xlsx,285A,4,-2000.0,100,1000
