file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251119.xlsx,7203,100,-1200.0,30,300
ticks_20251119.xlsx,7203,100,100.0,40,300
ticks_20251119.xlsx,7203,100,1000.0,50,300
ticks_20251119.xlsx,7203,86,-500.0,60,300
ticks_20251119.xlsx,7203,60,-1000.0,70,300
ticks_20251119.xlsx,7203,62,-800.0,80,300
ticks_20251119.xlsx,7203,44,-200.0,90,300
ticks_20251119.xlsx,7203,36,-1900.0,100,300
ticks_20251119.xlsx,7203,34,-1300.0,110,300
ticks_20251119.xlsx,7203,26,200.0,120,300
ticks_20251119.xlsx,7203,30,-600.0,130,300
ticks_20251119.xlsx,7203,24,-300.0,140,300
ticks_20251119.xlsx,7203,18,-1600.0,150,300
ticks_20251119.xlsx,7203,100,-2500.0,30,400
ticks_20251119.xlsx,7203,100,-200.0,40,400
ticks_20251119.xlsx,7203,92,-1100.0,50,400
ticks_20251119.xlsx,7203,72,-3100.0,60,400
ticks_20251119.xlsx,7203,62,-2300.0,70,400
ticks_20251119.xlsx,7203,58,-1100.0,80,400
ticks_20251119.xlsx,7203,52,-100.0,90,400
ticks_20251119.xlsx,7203,36,-400.0,100,400
ticks_20251119.xlsx,7203,32,-100.0,110,400
ticks_20251119.xlsx,7203,34,-1500.0,120,400
ticks_20251119.xlsx,7203,30,0.0,130,400
ticks_20251119.xlsx,7203,28,500.0,140,400
ticks_20251119.xlsx,7203,22,-600.0,150,400
ticks_20251119.xlsx,7203,100,-2300.0,30,500
ticks_20251119.xlsx,7203,100,-3000.0,40,500
ticks_20251119.xlsx,7203,98,-3600.0,50,500
ticks_20251119.xlsx,7203,78,-3100.0,60,500
ticks_20251119.xlsx,7203,56,-800.0,70,500
ticks_20251119.xlsx,7203,58,-1600.0,80,500
ticks_20251119.xlsx,7203,50,-1000.0,90,500
ticks_20251119.xlsx,7203,46,-200.0,100,500
ticks_20251119.xlsx,7203,34,-900.0,110,500
ticks_20251119.xlsx,7203,28,-400.0,120,500
ticks_20251119.xlsx,7203,22,1400.0,130,500
ticks_20251119.xlsx,7203,26,800.0,140,500
ticks_20251119.xlsx,7203,22,900.0,150,500
ticks_20251119.xlsx,7203,100,-3200.0,30,600
ticks_20251119.xlsx,7203,92,-2800.0,40,600
ticks_20251119.xlsx,7203,82,-1300.0,50,600
ticks_20251119.xlsx,7203,66,-100.0,60,600
ticks_20251119.xlsx,7203,52,-400.0,70,600
ticks_20251119.xlsx,7203,46,-1000.0,80,600
ticks_20251119.xlsx,7203,42,-900.0,90,600
ticks_20251119.xlsx,7203,42,-1000.0,100,600
ticks_20251119.xlsx,7203,38,-100.0,110,600
ticks_20251119.xlsx,7203,30,1100.0,120,600
ticks_20251119.xlsx,7203,30,300.0,130,600
ticks_20251119.xlsx,7203,24,300.0,140,600
ticks_20251119.xlsx,7203,18,1600.0,150,600
ticks_20251119.xlsx,7203,100,-2000.0,30,700
ticks_20251119.xlsx,7203,72,-1500.0,40,700
ticks_20251119.xlsx,7203,68,-1300.0,50,700
ticks_20251119.xlsx,7203,64,0.0,60,700
ticks_20251119.xlsx,7203,40,800.0,70,700
ticks_20251119.xlsx,7203,44,-300.0,80,700
ticks_20251119.xlsx,7203,48,-400.0,90,700
ticks_20251119.xlsx,7203,40,-800.0,100,700
ticks_20251119.xlsx,7203,32,1400.0,110,700
ticks_20251119.xlsx,7203,28,-800.0,120,700
ticks_20251119.xlsx,7203,28,-1000.0,130,700
ticks_20251119.xlsx,7203,14,0.0,140,700
ticks_20251119.xlsx,7203,14,100.0,150,700
ticks_20251119.xlsx,7203,100,-1600.0,30,800
ticks_20251119.xlsx,7203,72,-2200.0,40,800
ticks_20251119.xlsx,7203,66,-1500.0,50,800
ticks_20251119.xlsx,7203,54,1800.0,60,800
ticks_20251119.xlsx,7203,48,-100.0,70,800
ticks_20251119.xlsx,7203,38,-300.0,80,800
ticks_20251119.xlsx,7203,40,900.0,90,800
ticks_20251119.xlsx,7203,28,-1800.0,100,800
ticks_20251119.xlsx,7203,26,-1400.0,110,800
ticks_20251119.xlsx,7203,22,600.0,120,800
ticks_20251119.xlsx,7203,20,0.0,130,800
ticks_20251119.xlsx,7203,18,600.0,140,800
ticks_20251119.xlsx,7203,14,-1300.0,150,800
ticks_20251119.xlsx,7203,100,-1700.0,30,900
ticks_20251119.xlsx,7203,64,-900.0,40,900
ticks_20251119.xlsx,7203,60,-500.0,50,900
ticks_20251119.xlsx,7203,54,400.0,60,900
ticks_20251119.xlsx,7203,38,0.0,70,900
ticks_20251119.xlsx,7203,38,-600.0,80,900
ticks_20251119.xlsx,7203,36,-1200.0,90,900
ticks_20251119.xlsx,7203,24,1100.0,100,900
ticks_20251119.xlsx,7203,24,700.0,110,900
ticks_20251119.xlsx,7203,18,-100.0,120,900
ticks_20251119.xlsx,7203,22,-200.0,130,900
ticks_20251119.xlsx,7203,14,-1500.0,140,900
ticks_20251119.xlsx,7203,14,-1100.0,150,900
ticks_20251119.xlsx,7203,100,-2900.0,30,1000
ticks_20251119.xlsx,7203,70,-1700.0,40,1000
ticks_20251119.xlsx,7203,54,-900.0,50,1000
ticks_20251119.xlsx,7203,56,100.0,60,1000
ticks_20251119.xlsx,7203,44,-1400.0,70,1000
ticks_20251119.xlsx,7203,34,-1400.0,80,1000
ticks_20251119.xlsx,7203,28,1900.0,90,1000
ticks_20251119.xlsx,7203,16,200.0,100,1000
ticks_20251119.xlsx,7203,12,-200.0,110,1000
ticks_20251119.xlsx,7203,14,1000.0,120,1000
ticks_20251119.xlsx,7203,14,800.0,130,1000
ticks_20251119.xlsx,7203,12,-200.0,140,1000
ticks_20251119.xlsx,7203,12,-300.0,150,1000
ticks_20251119.xlsx,7203,100,-3100.0,30,1100
ticks_20251119.xlsx,7203,52,700.0,40,1100
ticks_20251119.xlsx,7203,54,600.0,50,1100
ticks_20251119.xlsx,7203,44,-700.0,60,1100
ticks_20251119.xlsx,7203,30,-200.0,70,1100
ticks_20251119.xlsx,7203,24,400.0,80,1100
ticks_20251119.xlsx,7203,16,700.0,90,1100
ticks_20251119.xlsx,7203,12,800.0,100,1100
ticks_20251119.xlsx,7203,8,400.0,110,1100
ticks_20251119.xlsx,7203,8,300.0,120,1100
ticks_20251119.xlsx,7203,10,900.0,130,1100
ticks_20251119.xlsx,7203,6,-100.0,140,1100
ticks_20251119.xlsx,7203,6,-200.0,150,1100
ticks_20251119.xlsx,7203,100,-4000.0,30,1200
ticks_20251119.xlsx,7203,62,-200.0,40,1200
ticks_20251119.xlsx,7203,52,-1200.0,50,1200
ticks_20251119.xlsx,7203,38,600.0,60,1200
ticks_20251119.xlsx,7203,26,0.0,70,1200
ticks_20251119.xlsx,7203,26,300.0,80,1200
ticks_20251119.xlsx,7203,18,100.0,90,1200
ticks_20251119.xlsx,7203,12,600.0,100,1200
ticks_20251119.xlsx,7203,10,1000.0,110,1200
ticks_20251119.xlsx,7203,10,700.0,120,1200
ticks_20251119.xlsx,7203,8,400.0,130,1200
ticks_20251119.xlsx,7203,8,-500.0,140,1200
ticks_20251119.xlsx,7203,6,-100.0,150,1200
ticks_20251119.xlsx,7203,100,-2900.0,30,1300
ticks_20251119.xlsx,7203,62,-1600.0,40,1300
ticks_20251119.xlsx,7203,50,-1300.0,50,1300
ticks_20251119.xlsx,7203,40,400.0,60,1300
ticks_20251119.xlsx,7203,30,200.0,70,1300
ticks_20251119.xlsx,7203,22,900.0,80,1300
ticks_20251119.xlsx,7203,14,300.0,90,1300
ticks_20251119.xlsx,7203,8,600.0,100,1300
ticks_20251119.xlsx,7203,8,400.0,110,1300
ticks_20251119.xlsx,7203,12,1500.0,120,1300
ticks_20251119.xlsx,7203,10,1700.0,130,1300
ticks_20251119.xlsx,7203,6,-300.0,140,1300
ticks_20251119.xlsx,7203,6,-100.0,150,1300
ticks_20251119.xlsx,7203,96,-600.0,30,1400
ticks_20251119.xlsx,7203,48,-1700.0,40,1400
