file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20260107.xlsx,285A,100,-9000.0,30,300
ticks_20260107.xlsx,285A,100,17000.0,40,300
ticks_20260107.xlsx,285A,86,32500.0,50,300
ticks_20260107.xlsx,285A,66,5500.0,60,300
ticks_20260107.xlsx,285A,64,18000.0,70,300
ticks_20260107.xlsx,285A,56,74500.0,80,300
ticks_20260107.xlsx,285A,50,37000.0,90,300
ticks_20260107.xlsx,285A,46,61000.0,100,300
ticks_20260107.xlsx,285A,32,32000.0,110,300
ticks_20260107.xlsx,285A,26,33000.0,120,300
ticks_20260107.xlsx,285A,28,33500.0,130,300
ticks_20260107.xlsx,285A,22,-3500.0,140,300
ticks_20260107.xlsx,285A,20,-24500.0,150,300
ticks_20260107.xlsx,285A,100,-11000.0,30,400
ticks_20260107.xlsx,285A,86,-17000.0,40,400
ticks_20260107.xlsx,285A,72,21500.0,50,400
ticks_20260107.xlsx,285A,56,9000.0,60,400
ticks_20260107.xlsx,285A,50,1500.0,70,400
ticks_20260107.xlsx,285A,44,15500.0,80,400
ticks_20260107.xlsx,285A,38,28000.0,90,400
ticks_20260107.xlsx,285A,36,48000.0,100,400
ticks_20260107.xlsx,285A,26,29000.0,110,400
ticks_20260107.xlsx,285A,26,7500.0,120,400
ticks_20260107.xlsx,285A,24,2000.0,130,400
ticks_20260107.xlsx,285A,22,12000.0,140,400
ticks_20260107.xlsx,285A,18,7500.0,150,400
ticks_20260107.xlsx,285A,76,0.0,30,500
ticks_20260107.xlsx,285A,78,2500.0,40,500
ticks_20260107.xlsx,285A,58,16500.0,50,500
ticks_20260107.xlsx,285A,56,13500.0,60,500
ticks_20260107.xlsx,285A,44,46500.0,70,500
ticks_20260107.xlsx,285A,36,-1500.0,80,500
ticks_20260107.xlsx,285A,34,22500.0,90,500
ticks_20260107.xlsx,285A,34,33500.0,100,500
ticks_20260107.xlsx,285A,28,8500.0,110,500
ticks_20260107.xlsx,285A,24,5000.0,120,500
ticks_20260107.xlsx,285A,22,4500.0,130,500
ticks_20260107.xlsx,285A,20,-9500.0,140,500
ticks_20260107.xlsx,285A,14,-12000.0,150,500
ticks_20260107.xlsx,285A,72,-13500.0,30,600
ticks_20260107.xlsx,285A,64,15500.0,40,600
ticks_20260107.xlsx,285A,52,36000.0,50,600
ticks_20260107.xlsx,285A,46,48500.0,60,600
ticks_20260107.xlsx,285A,44,44000.0,70,600
ticks_20260107.xlsx,285A,34,8500.0,80,600
ticks_20260107.xlsx,285A,28,16000.0,90,600
ticks_20260107.xlsx,285A,28,23000.0,100,600
ticks_20260107.xlsx,285A,24,15500.0,110,600
ticks_20260107.xlsx,285A,18,1500.0,120,600
ticks_20260107.xlsx,285A,14,3000.0,130,600
ticks_20260107.xlsx,285A,16,-6500.0,140,600
ticks_20260107.xlsx,285A,14,3500.0,150,600
