file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251031.xlsx,8306,100,650.0,30,300
ticks_20251031.xlsx,8306,80,950.0,40,300
ticks_20251031.xlsx,8306,66,400.0,50,300
ticks_20251031.xlsx,8306,40,300.0,60,300
ticks_20251031.xlsx,8306,26,400.0,70,300
ticks_20251031.xlsx,8306,20,200.0,80,300
ticks_20251031.xlsx,8306,28,0.0,90,300
ticks_20251031.xlsx,8306,20,-950.0,100,300
ticks_20251031.xlsx,8306,10,200.0,110,300
ticks_20251031.xlsx,8306,8,400.0,120,300
ticks_20251031.xlsx,8306,8,-150.0,130,300
ticks_20251031.xlsx,8306,4,200.0,140,300
ticks_20251031.xlsx,8306,2,250.0,150,300
ticks_20251031.xlsx,8306,100,1650.0,30,400
ticks_20251031.xlsx,8306,62,1850.0,40,400
ticks_20251031.xlsx,8306,54,1100.0,50,400
ticks_20251031.xlsx,8306,42,1250.0,60,400
ticks_20251031.xlsx,8306,30,2200.0,70,400
ticks_20251031.xlsx,8306,14,350.0,80,400
ticks_20251031.xlsx,8306,16,-400.0,90,400
ticks_20251031.xlsx,8306,12,-350.0,100,400
ticks_20251031.xlsx,8306,10,-250.0,110,400
ticks_20251031.xlsx,8306,6,0.0,120,400
ticks_20251031.xlsx,8306,6,250.0,130,400
ticks_20251031.xlsx,8306,2,300.0,140,400
ticks_20251031.xlsx,8306,0,0.0,150,400
ticks_20251031.xlsx,8306,100,-300.0,30,500
ticks_20251031.xlsx,8306,74,400.0,40,500
ticks_20251031.xlsx,8306,52,550.0,50,500
ticks_20251031.xlsx,8306,38,150.0,60,500
ticks_20251031.xlsx,8306,22,450.0,70,500
ticks_20251031.xlsx,8306,16,0.0,80,500
ticks_20251031.xlsx,8306,12,150.0,90,500
ticks_20251031.xlsx,8306,12,-50.0,100,500
ticks_20251031.xlsx,8306,14,150.0,110,500
ticks_20251031.xlsx,8306,4,350.0,120,500
ticks_20251031.xlsx,8306,4,1350.0,130,500
ticks_20251031.xlsx,8306,0,0.0,140,500
ticks_20251031.xlsx,8306,2,850.0,150,500
ticks_20251031.xlsx,8306,78,2150.0,30,600
ticks_20251031.xlsx,8306,54,1950.0,40,600
ticks_20251031.xlsx,8306,42,1350.0,50,600
ticks_20251031.xlsx,8306,36,1450.0,60,600
ticks_20251031.xlsx,8306,20,1300.0,70,600
ticks_20251031.xlsx,8306,20,300.0,80,600
ticks_20251031.xlsx,8306,14,350.0,90,600
ticks_20251031.xlsx,8306,12,1350.0,100,600
ticks_20251031.xlsx,8306,16,1400.0,110,600
ticks_20251031.xlsx,8306,10,1300.0,120,600
ticks_20251031.xlsx,8306,8,1150.0,130,600
ticks_20251031.xlsx,8306,4,1450.0,140,600
ticks_20251031.xlsx,8306,2,1400.0,150,600
ticks_20251031.xlsx,8306,68,1350.0,30,700
ticks_20251031.xlsx,8306,36,1700.0,40,700
ticks_20251031.xlsx,8306,28,700.0,50,700
ticks_20251031.xlsx,8306,22,2000.0,60,700
ticks_20251031.xlsx,8306,18,1100.0,70,700
ticks_20251031.xlsx,8306,22,1000.0,80,700
ticks_20251031.xlsx,8306,8,200.0,90,700
ticks_20251031.xlsx,8306,8,150.0,100,700
ticks_20251031.xlsx,8306,8,2150.0,110,700
ticks_20251031.xlsx,8306,6,400.0,120,700
ticks_20251031.xlsx,8306,12,-300.0,130,700
ticks_20251031.xlsx,8306,6,450.0,140,700
ticks_20251031.xlsx,8306,8,1700.0,150,700
ticks_20251031.xlsx,8306,76,1550.0,30,800
ticks_20251031.xlsx,8306,30,2300.0,40,800
ticks_20251031.xlsx,8306,24,2200.0,50,800
ticks_20251031.xlsx,8306,24,1650.0,60,800
ticks_20251031.xlsx,8306,16,1800.0,70,800
ticks_20251031.xlsx,8306,16,1700.0,80,800
ticks_20251031.xlsx,8306,16,1200.0,90,800
ticks_20251031.xlsx,8306,14,1400.0,100,800
ticks_20251031.xlsx,8306,6,900.0,110,800
ticks_20251031.xlsx,8306,4,650.0,120,800
ticks_20251031.xlsx,8306,6,450.0,130,800
ticks_20251031.xlsx,8306,6,600.0,140,800
ticks_20251031.xlsx,8306,4,300.0,150,800
ticks_20251031.xlsx,8306,64,1800.0,30,900
ticks_20251031.xlsx,8306,36,1500.0,40,900
ticks_20251031.xlsx,8306,26,2250.0,50,900
ticks_20251031.xlsx,8306,18,1550.0,60,900
ticks_20251031.xlsx,8306,18,2100.0,70,900
ticks_20251031.xlsx,8306,16,1550.0,80,900
ticks_20251031.xlsx,8306,18,850.0,90,900
ticks_20251031.xlsx,8306,10,1300.0,100,900
ticks_20251031.xlsx,8306,10,650.0,110,900
ticks_20251031.xlsx,8306,4,650.0,120,900
ticks_20251031.xlsx,8306,2,350.0,130,900
ticks_20251031.xlsx,8306,4,100.0,140,900
