file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251028.xlsx,7011,100,60,300,3,56.0
ticks_20251028.xlsx,7011,100,90,300,3,81.0
ticks_20251028.xlsx,7011,100,120,300,3,-69.0
ticks_20251028.xlsx,7011,100,60,600,3,36.0
ticks_20251028.xlsx,7011,74,90,600,3,-19.0
ticks_20251028.xlsx,7011,54,120,600,3,100.0
ticks_20251028.xlsx,7011,88,60,900,3,-29.0
ticks_20251028.xlsx,7011,70,90,900,3,-21.0
ticks_20251028.xlsx,7011,64,120,900,3,-46.0
ticks_20251028.xlsx,7011,68,60,300,5,11.0
ticks_20251028.xlsx,7011,66,90,300,5,-8.0
ticks_20251028.xlsx,7011,68,120,300,5,-110.0
ticks_20251028.xlsx,7011,62,60,600,5,21.0
ticks_20251028.xlsx,7011,40,90,600,5,18.0
ticks_20251028.xlsx,7011,26,120,600,5,10.0
ticks_20251028.xlsx,7011,60,60,900,5,14.0
ticks_20251028.xlsx,7011,42,90,900,5,-76.0
ticks_20251028.xlsx,7011,42,120,900,5,-108.0
ticks_20251028.xlsx,7011,36,60,300,7,27.0
ticks_20251028.xlsx,7011,32,90,300,7,2.0
ticks_20251028.xlsx,7011,40,120,300,7,-19.0
ticks_20251028.xlsx,7011,36,60,600,7,54.0
ticks_20251028.xlsx,7011,24,90,600,7,52.0
ticks_20251028.xlsx,7011,14,120,600,7,38.0
ticks_20251028.xlsx,7011,30,60,900,7,-37.0
ticks_20251028.xlsx,7011,26,90,900,7,-2.0
ticks_20251028.xlsx,7011,22,120,900,7,-4.0
