file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20250819.xlsx,7011,16,30,300,60.0
ticks_20250819.xlsx,7011,12,45,300,40.0
ticks_20250819.xlsx,7011,14,60,300,72.0
ticks_20250819.xlsx,7011,10,75,300,98.0
ticks_20250819.xlsx,7011,6,90,300,37.0
ticks_20250819.xlsx,7011,4,105,300,39.0
ticks_20250819.xlsx,7011,6,120,300,29.0
ticks_20250819.xlsx,7011,2,135,300,45.0
ticks_20250819.xlsx,7011,6,150,300,43.0
ticks_20250819.xlsx,7011,2,165,300,49.0
ticks_20250819.xlsx,7011,0,180,300,0.0
ticks_20250819.xlsx,7011,10,30,360,42.0
ticks_20250819.xlsx,7011,10,45,360,42.0
ticks_20250819.xlsx,7011,10,60,360,88.0
ticks_20250819.xlsx,7011,8,75,360,45.0
ticks_20250819.xlsx,7011,8,90,360,45.0
ticks_20250819.xlsx,7011,2,105,360,50.0
ticks_20250819.xlsx,7011,4,120,360,40.0
ticks_20250819.xlsx,7011,2,135,360,45.0
ticks_20250819.xlsx,7011,2,150,360,49.0
ticks_20250819.xlsx,7011,4,165,360,51.0
ticks_20250819.xlsx,7011,0,180,360,0.0
ticks_20250819.xlsx,7011,8,30,420,52.0
ticks_20250819.xlsx,7011,12,45,420,27.0
ticks_20250819.xlsx,7011,8,60,420,82.0
ticks_20250819.xlsx,7011,6,75,420,53.0
ticks_20250819.xlsx,7011,6,90,420,46.0
ticks_20250819.xlsx,7011,8,105,420,39.0
ticks_20250819.xlsx,7011,6,120,420,35.0
ticks_20250819.xlsx,7011,4,135,420,44.0
ticks_20250819.xlsx,7011,2,150,420,46.0
ticks_20250819.xlsx,7011,2,165,420,47.0
ticks_20250819.xlsx,7011,2,180,420,-6.0
ticks_20250819.xlsx,7011,8,30,480,28.0
ticks_20250819.xlsx,7011,8,45,480,30.0
ticks_20250819.xlsx,7011,8,60,480,90.0
ticks_20250819.xlsx,7011,6,75,480,49.0
