file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251201.xlsx,7011,28,30,300,-30.0
ticks_20251201.xlsx,7011,24,45,300,-10.0
ticks_20251201.xlsx,7011,20,60,300,-3.0
ticks_20251201.xlsx,7011,16,75,300,9.0
ticks_20251201.xlsx,7011,16,90,300,10.0
ticks_20251201.xlsx,7011,14,105,300,0.0
ticks_20251201.xlsx,7011,6,120,300,-4.0
ticks_20251201.xlsx,7011,4,135,300,1.0
ticks_20251201.xlsx,7011,12,150,300,-10.0
ticks_20251201.xlsx,7011,12,165,300,18.0
ticks_20251201.xlsx,7011,14,180,300,4.0
ticks_20251201.xlsx,7011,38,30,360,-19.0
ticks_20251201.xlsx,7011,22,45,360,1.0
ticks_20251201.xlsx,7011,18,60,360,-1.0
ticks_20251201.xlsx,7011,16,75,360,15.0
ticks_20251201.xlsx,7011,14,90,360,7.0
ticks_20251201.xlsx,7011,14,105,360,-13.0
ticks_20251201.xlsx,7011,14,120,360,13.0
ticks_20251201.xlsx,7011,12,135,360,10.0
ticks_20251201.xlsx,7011,12,150,360,7.0
ticks_20251201.xlsx,7011,12,165,360,23.0
ticks_20251201.xlsx,7011,10,180,360,35.0
ticks_20251201.xlsx,7011,32,30,420,-18.0
ticks_20251201.xlsx,7011,12,45,420,10.0
ticks_20251201.xlsx,7011,10,60,420,7.0
ticks_20251201.xlsx,7011,8,75,420,6.0
ticks_20251201.xlsx,7011,12,90,420,-4.0
ticks_20251201.xlsx,7011,14,105,420,-22.0
ticks_20251201.xlsx,7011,8,120,420,-28.0
ticks_20251201.xlsx,7011,10,135,420,-10.0
ticks_20251201.xlsx,7011,12,150,420,-14.0
ticks_20251201.xlsx,7011,4,165,420,6.0
ticks_20251201.xlsx,7011,6,180,420,6.0
ticks_20251201.xlsx,7011,26,30,480,-34.0
ticks_20251201.xlsx,7011,12,45,480,-10.0
ticks_20251201.xlsx,7011,10,60,480,-17.0
ticks_20251201.xlsx,7011,10,75,480,-7.0
ticks_20251201.xlsx,7011,12,90,480,-13.0
ticks_20251201.xlsx,7011,16,105,480,-30.0
ticks_20251201.xlsx,7011,12,120,480,-15.0
ticks_20251201.xlsx,7011,14,135,480,-42.0
ticks_20251201.xlsx,7011,14,150,480,-46.0
ticks_20251201.xlsx,7011,8,165,480,16.0
ticks_20251201.xlsx,7011,8,180,480,6.0
ticks_20251201.xlsx,7011,24,30,540,-30.0
ticks_20251201.xlsx,7011,10,45,540,-8.0
ticks_20251201.xlsx,7011,16,60,540,-12.0
ticks_20251201.xlsx,7011,10,75,540,-7.0
ticks_20251201.xlsx,7011,10,90,540,-12.0
ticks_20251201.xlsx,7011,12,105,540,7.0
ticks_20251201.xlsx,7011,14,120,540,-36.0
ticks_20251201.xlsx,7011,12,135,540,-39.0
ticks_20251201.xlsx,7011,16,150,540,-24.0
ticks_20251201.xlsx,7011,12,165,540,-8.0
ticks_20251201.xlsx,7011,10,180,540,-7.0
ticks_20251201.xlsx,7011,26,30,600,-28.0
ticks_20251201.xlsx,7011,10,45,600,-5.0
ticks_20251201.xlsx,7011,10,60,600,-2.0
ticks_20251201.xlsx,7011,12,75,600,-5.0
ticks_20251201.xlsx,7011,12,90,600,-25.0
ticks_20251201.xlsx,7011,10,105,600,-8.0
ticks_20251201.xlsx,7011,10,120,600,-16.0
ticks_20251201.xlsx,7011,12,135,600,-1.0
ticks_20251201.xlsx,7011,12,150,600,-4.0
ticks_20251201.xlsx,7011,10,165,600,11.0
ticks_20251201.xlsx,7011,8,180,600,-3.0
ticks_20251201.xlsx,7011,26,30,660,-18.0
ticks_20251201.xlsx,7011,14,45,660,9.0
ticks_20251201.xlsx,7011,8,60,660,7.0
ticks_20251201.xlsx,7011,6,75,660,-14.0
ticks_20251201.xlsx,7011,8,90,660,-18.0
ticks_20251201.xlsx,7011,8,105,660,-30.0
ticks_20251201.xlsx,7011,8,120,660,-8.0
ticks_20251201.xlsx,7011,10,135,660,6.0
ticks_20251201.xlsx,7011,10,150,660,3.0
ticks_20251201.xlsx,7011,8,165,660,26.0
ticks_20251201.xlsx,7011,4,180,660,7.0
ticks_20251201.xlsx,7011,20,30,720,2.0
ticks_20251201.xlsx,7011,14,45,720,8.0
ticks_20251201.xlsx,7011,8,60,720,-15.0
ticks_20251201.xlsx,7011,14,75,720,-22.0
ticks_20251201.xlsx,7011,10,90,720,-20.0
ticks_20251201.xlsx,7011,14,105,720,-15.0
ticks_20251201.xlsx,7011,8,120,720,1.0
ticks_20251201.xlsx,7011,10,135,720,6.0
ticks_20251201.xlsx,7011,8,150,720,-18.0
ticks_20251201.xlsx,7011,6,165,720,20.0
ticks_20251201.xlsx,7011,8,180,720,24.0
ticks_20251201.xlsx,7011,18,30,780,-1.0
ticks_20251201.xlsx,7011,14,45,780,-10.0
ticks_20251201.xlsx,7011,12,60,780,-10.0
ticks_20251201.xlsx,7011,12,75,780,-8.0
ticks_20251201.xlsx,7011,8,90,780,-8.0
ticks_20251201.xlsx,7011,10,105,780,-7.0
ticks_20251201.xlsx,7011,8,120,780,8.0
ticks_20251201.xlsx,7011,4,135,780,-6.0
ticks_20251201.xlsx,7011,8,150,780,5.0
ticks_20251201.xlsx,7011,4,165,780,19.0
ticks_20251201.xlsx,7011,6,180,780,13.0
ticks_20251201.xlsx,7011,20,30,840,12.0
ticks_20251201.xlsx,7011,6,45,840,-12.0
ticks_20251201.xlsx,7011,10,60,840,-9.0
ticks_20251201.xlsx,7011,8,75,840,-15.0
ticks_20251201.xlsx,7011,10,90,840,21.0
ticks_20251201.xlsx,7011,8,105,840,-14.0
ticks_20251201.xlsx,7011,4,120,840,-12.0
ticks_20251201.xlsx,7011,6,135,840,21.0
ticks_20251201.xlsx,7011,10,150,840,19.0
ticks_20251201.xlsx,7011,6,165,840,34.0
ticks_20251201.xlsx,7011,2,180,840,1.0
ticks_20251201.xlsx,7011,18,30,900,-21.0
ticks_20251201.xlsx,7011,8,45,900,6.0
ticks_20251201.xlsx,7011,6,60,900,6.0
ticks_20251201.xlsx,7011,10,75,900,-6.0
ticks_20251201.xlsx,7011,10,90,900,-2.0
ticks_20251201.xlsx,7011,6,105,900,-19.0
ticks_20251201.xlsx,7011,8,120,900,19.0
ticks_20251201.xlsx,7011,8,135,900,27.0
ticks_20251201.xlsx,7011,6,150,900,-7.0
ticks_20251201.xlsx,7011,0,165,900,0.0
ticks_20251201.xlsx,7011,2,180,900,1.0
