file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20250819.xlsx,7011,30,42.0,30,300
ticks_20250819.xlsx,7011,22,38.0,40,300
ticks_20250819.xlsx,7011,18,27.0,50,300
ticks_20250819.xlsx,7011,18,74.0,60,300
ticks_20250819.xlsx,7011,8,95.0,70,300
ticks_20250819.xlsx,7011,4,53.0,80,300
ticks_20250819.xlsx,7011,6,37.0,90,300
ticks_20250819.xlsx,7011,6,83.0,100,300
ticks_20250819.xlsx,7011,6,79.0,110,300
ticks_20250819.xlsx,7011,10,76.0,120,300
ticks_20250819.xlsx,7011,6,80.0,130,300
ticks_20250819.xlsx,7011,6,85.0,140,300
ticks_20250819.xlsx,7011,6,43.0,150,300
ticks_20250819.xlsx,7011,10,41.0,160,300
ticks_20250819.xlsx,7011,6,95.0,170,300
ticks_20250819.xlsx,7011,4,59.0,180,300
ticks_20250819.xlsx,7011,2,47.0,190,300
ticks_20250819.xlsx,7011,22,34.0,30,350
ticks_20250819.xlsx,7011,16,39.0,40,350
ticks_20250819.xlsx,7011,12,41.0,50,350
ticks_20250819.xlsx,7011,14,92.0,60,350
ticks_20250819.xlsx,7011,12,99.0,70,350
ticks_20250819.xlsx,7011,8,42.0,80,350
ticks_20250819.xlsx,7011,10,36.0,90,350
ticks_20250819.xlsx,7011,6,105.0,100,350
ticks_20250819.xlsx,7011,4,93.0,110,350
ticks_20250819.xlsx,7011,6,86.0,120,350
ticks_20250819.xlsx,7011,4,87.0,130,350
ticks_20250819.xlsx,7011,4,90.0,140,350
ticks_20250819.xlsx,7011,6,59.0,150,350
ticks_20250819.xlsx,7011,14,60.0,160,350
ticks_20250819.xlsx,7011,6,104.0,170,350
ticks_20250819.xlsx,7011,6,69.0,180,350
ticks_20250819.xlsx,7011,4,62.0,190,350
ticks_20250819.xlsx,7011,16,61.0,30,400
ticks_20250819.xlsx,7011,12,41.0,40,400
ticks_20250819.xlsx,7011,18,42.0,50,400
ticks_20250819.xlsx,7011,20,92.0,60,400
ticks_20250819.xlsx,7011,14,75.0,70,400
ticks_20250819.xlsx,7011,14,105.0,80,400
ticks_20250819.xlsx,7011,10,77.0,90,400
ticks_20250819.xlsx,7011,6,42.0,100,400
ticks_20250819.xlsx,7011,8,60.0,110,400
ticks_20250819.xlsx,7011,6,58.0,120,400
ticks_20250819.xlsx,7011,6,58.0,130,400
ticks_20250819.xlsx,7011,4,43.0,140,400
ticks_20250819.xlsx,7011,4,47.0,150,400
ticks_20250819.xlsx,7011,4,64.0,160,400
ticks_20250819.xlsx,7011,4,49.0,170,400
ticks_20250819.xlsx,7011,2,0.0,180,400
