file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20250819.xlsx,7011,40,31.0,30,300
ticks_20250819.xlsx,7011,34,27.0,40,300
ticks_20250819.xlsx,7011,28,41.0,50,300
ticks_20250819.xlsx,7011,30,98.0,60,300
ticks_20250819.xlsx,7011,22,90.0,70,300
ticks_20250819.xlsx,7011,15,41.0,80,300
ticks_20250819.xlsx,7011,13,28.0,90,300
ticks_20250819.xlsx,7011,9,85.0,100,300
ticks_20250819.xlsx,7011,15,74.0,110,300
ticks_20250819.xlsx,7011,16,94.0,120,300
ticks_20250819.xlsx,7011,14,100.0,130,300
ticks_20250819.xlsx,7011,12,89.0,140,300
ticks_20250819.xlsx,7011,10,80.0,150,300
ticks_20250819.xlsx,7011,10,41.0,160,300
ticks_20250819.xlsx,7011,6,95.0,170,300
ticks_20250819.xlsx,7011,8,114.0,180,300
ticks_20250819.xlsx,7011,8,106.0,190,300
ticks_20250819.xlsx,7011,34,20.0,30,350
ticks_20250819.xlsx,7011,25,29.0,40,350
ticks_20250819.xlsx,7011,27,19.0,50,350
ticks_20250819.xlsx,7011,31,64.0,60,350
ticks_20250819.xlsx,7011,27,35.0,70,350
ticks_20250819.xlsx,7011,21,39.0,80,350
ticks_20250819.xlsx,7011,21,94.0,90,350
ticks_20250819.xlsx,7011,19,126.0,100,350
ticks_20250819.xlsx,7011,8,121.0,110,350
ticks_20250819.xlsx,7011,8,94.0,120,350
ticks_20250819.xlsx,7011,6,94.0,130,350
ticks_20250819.xlsx,7011,8,90.0,140,350
ticks_20250819.xlsx,7011,8,104.0,150,350
ticks_20250819.xlsx,7011,18,103.0,160,350
ticks_20250819.xlsx,7011,12,123.0,170,350
ticks_20250819.xlsx,7011,12,143.0,180,350
ticks_20250819.xlsx,7011,12,139.0,190,350
ticks_20250819.xlsx,7011,35,43.0,30,400
ticks_20250819.xlsx,7011,29,35.0,40,400
ticks_20250819.xlsx,7011,35,7.0,50,400
ticks_20250819.xlsx,7011,31,79.0,60,400
ticks_20250819.xlsx,7011,25,65.0,70,400
ticks_20250819.xlsx,7011,21,111.0,80,400
ticks_20250819.xlsx,7011,17,91.0,90,400
ticks_20250819.xlsx,7011,12,93.0,100,400
ticks_20250819.xlsx,7011,12,57.0,110,400
ticks_20250819.xlsx,7011,12,55.0,120,400
ticks_20250819.xlsx,7011,8,73.0,130,400
ticks_20250819.xlsx,7011,8,73.0,140,400
ticks_20250819.xlsx,7011,8,76.0,150,400
ticks_20250819.xlsx,7011,8,79.0,160,400
ticks_20250819.xlsx,7011,10,60.0,170,400
ticks_20250819.xlsx,7011,6,59.0,180,400
ticks_20250819.xlsx,7011,10,67.0,190,400
ticks_20250819.xlsx,7011,37,18.0,30,450
ticks_20250819.xlsx,7011,35,2.0,40,450
ticks_20250819.xlsx,7011,27,21.0,50,450
ticks_20250819.xlsx,7011,29,90.0,60,450
ticks_20250819.xlsx,7011,23,69.0,70,450
ticks_20250819.xlsx,7011,23,105.0,80,450
ticks_20250819.xlsx,7011,21,91.0,90,450
ticks_20250819.xlsx,7011,16,89.0,100,450
ticks_20250819.xlsx,7011,10,51.0,110,450
ticks_20250819.xlsx,7011,14,57.0,120,450
ticks_20250819.xlsx,7011,12,35.0,130,450
ticks_20250819.xlsx,7011,6,36.0,140,450
ticks_20250819.xlsx,7011,6,45.0,150,450
ticks_20250819.xlsx,7011,10,70.0,160,450
ticks_20250819.xlsx,7011,8,77.0,170,450
ticks_20250819.xlsx,7011,8,78.0,180,450
ticks_20250819.xlsx,7011,10,87.0,190,450
ticks_20250819.xlsx,7011,37,14.0,30,500
ticks_20250819.xlsx,7011,27,28.0,40,500
ticks_20250819.xlsx,7011,25,26.0,50,500
ticks_20250819.xlsx,7011,25,87.0,60,500
ticks_20250819.xlsx,7011,19,48.0,70,500
ticks_20250819.xlsx,7011,17,90.0,80,500
ticks_20250819.xlsx,7011,19,84.0,90,500
ticks_20250819.xlsx,7011,12,47.0,100,500
ticks_20250819.xlsx,7011,10,42.0,110,500
ticks_20250819.xlsx,7011,4,36.0,120,500
ticks_20250819.xlsx,7011,6,33.0,130,500
ticks_20250819.xlsx,7011,6,33.0,140,500
ticks_20250819.xlsx,7011,6,42.0,150,500
ticks_20250819.xlsx,7011,8,78.0,160,500
