file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251029.xlsx,7011,100,15.0,30,300
ticks_20251029.xlsx,7011,100,3.0,40,300
ticks_20251029.xlsx,7011,100,12.0,50,300
ticks_20251029.xlsx,7011,100,17.0,60,300
ticks_20251029.xlsx,7011,100,-20.0,70,300
ticks_20251029.xlsx,7011,100,-27.0,80,300
ticks_20251029.xlsx,7011,95,-13.0,90,300
ticks_20251029.xlsx,7011,87,30.0,100,300
ticks_20251029.xlsx,7011,99,-15.0,110,300
ticks_20251029.xlsx,7011,89,-46.0,120,300
ticks_20251029.xlsx,7011,95,15.0,130,300
ticks_20251029.xlsx,7011,99,-7.0,140,300
ticks_20251029.xlsx,7011,87,64.0,150,300
ticks_20251029.xlsx,7011,99,14.0,160,300
ticks_20251029.xlsx,7011,95,9.0,170,300
ticks_20251029.xlsx,7011,97,32.0,180,300
ticks_20251029.xlsx,7011,95,53.0,190,300
ticks_20251029.xlsx,7011,100,34.0,30,350
ticks_20251029.xlsx,7011,100,-3.0,40,350
ticks_20251029.xlsx,7011,100,-19.0,50,350
ticks_20251029.xlsx,7011,100,-10.0,60,350
ticks_20251029.xlsx,7011,91,-22.0,70,350
ticks_20251029.xlsx,7011,87,-5.0,80,350
ticks_20251029.xlsx,7011,91,-34.0,90,350
ticks_20251029.xlsx,7011,80,-17.0,100,350
ticks_20251029.xlsx,7011,91,-17.0,110,350
ticks_20251029.xlsx,7011,85,-15.0,120,350
ticks_20251029.xlsx,7011,89,-10.0,130,350
ticks_20251029.xlsx,7011,81,20.0,140,350
ticks_20251029.xlsx,7011,87,57.0,150,350
ticks_20251029.xlsx,7011,86,24.0,160,350
ticks_20251029.xlsx,7011,87,56.0,170,350
ticks_20251029.xlsx,7011,85,38.0,180,350
ticks_20251029.xlsx,7011,87,28.0,190,350
ticks_20251029.xlsx,7011,100,-17.0,30,400
ticks_20251029.xlsx,7011,100,-29.0,40,400
ticks_20251029.xlsx,7011,100,-9.0,50,400
ticks_20251029.xlsx,7011,100,0.0,60,400
ticks_20251029.xlsx,7011,89,-24.0,70,400
ticks_20251029.xlsx,7011,89,-59.0,80,400
ticks_20251029.xlsx,7011,91,-17.0,90,400
ticks_20251029.xlsx,7011,89,-14.0,100,400
ticks_20251029.xlsx,7011,85,-32.0,110,400
ticks_20251029.xlsx,7011,80,-78.0,120,400
ticks_20251029.xlsx,7011,81,11.0,130,400
ticks_20251029.xlsx,7011,81,-32.0,140,400
ticks_20251029.xlsx,7011,75,15.0,150,400
ticks_20251029.xlsx,7011,71,30.0,160,400
ticks_20251029.xlsx,7011,79,10.0,170,400
ticks_20251029.xlsx,7011,77,10.0,180,400
ticks_20251029.xlsx,7011,73,29.0,190,400
ticks_20251029.xlsx,7011,100,-11.0,30,450
ticks_20251029.xlsx,7011,97,-25.0,40,450
ticks_20251029.xlsx,7011,97,-22.0,50,450
ticks_20251029.xlsx,7011,93,-44.0,60,450
ticks_20251029.xlsx,7011,85,-40.0,70,450
ticks_20251029.xlsx,7011,89,-49.0,80,450
ticks_20251029.xlsx,7011,81,-35.0,90,450
ticks_20251029.xlsx,7011,71,-40.0,100,450
ticks_20251029.xlsx,7011,83,0.0,110,450
ticks_20251029.xlsx,7011,75,-5.0,120,450
ticks_20251029.xlsx,7011,73,-8.0,130,450
ticks_20251029.xlsx,7011,75,-18.0,140,450
ticks_20251029.xlsx,7011,71,2.0,150,450
ticks_20251029.xlsx,7011,69,5.0,160,450
ticks_20251029.xlsx,7011,73,3.0,170,450
ticks_20251029.xlsx,7011,67,6.0,180,450
ticks_20251029.xlsx,7011,65,5.0,190,450
ticks_20251029.xlsx,7011,100,-25.0,30,500
ticks_20251029.xlsx,7011,85,-40.0,40,500
ticks_20251029.xlsx,7011,83,-24.0,50,500
ticks_20251029.xlsx,7011,87,-68.0,60,500
ticks_20251029.xlsx,7011,83,-64.0,70,500
ticks_20251029.xlsx,7011,85,-51.0,80,500
ticks_20251029.xlsx,7011,79,-43.0,90,500
ticks_20251029.xlsx,7011,75,-40.0,100,500
ticks_20251029.xlsx,7011,73,-49.0,110,500
ticks_20251029.xlsx,7011,67,-47.0,120,500
ticks_20251029.xlsx,7011,71,-48.0,130,500
ticks_20251029.xlsx,7011,67,-67.0,140,500
ticks_20251029.xlsx,7011,67,-26.0,150,500
ticks_20251029.xlsx,7011,63,21.0,160,500
ticks_20251029.xlsx,7011,63,31.0,170,500
ticks_20251029.xlsx,7011,61,32.0,180,500
ticks_20251029.xlsx,7011,59,27.0,190,500
ticks_20251029.xlsx,7011,100,-32.0,30,550
ticks_20251029.xlsx,7011,97,-56.0,40,550
ticks_20251029.xlsx,7011,85,-40.0,50,550
ticks_20251029.xlsx,7011,81,-61.0,60,550
ticks_20251029.xlsx,7011,81,-82.0,70,550
ticks_20251029.xlsx,7011,77,-64.0,80,550
ticks_20251029.xlsx,7011,77,-55.0,90,550
ticks_20251029.xlsx,7011,75,-53.0,100,550
ticks_20251029.xlsx,7011,67,-78.0,110,550
