file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20251003.xlsx,7011,100,-27.0,30,300
ticks_20251003.xlsx,7011,100,-38.0,40,300
ticks_20251003.xlsx,7011,100,-32.0,50,300
ticks_20251003.xlsx,7011,100,-41.0,60,300
ticks_20251003.xlsx,7011,100,-57.0,70,300
ticks_20251003.xlsx,7011,100,-46.0,80,300
ticks_20251003.xlsx,7011,100,-51.0,90,300
ticks_20251003.xlsx,7011,84,-21.0,100,300
ticks_20251003.xlsx,7011,99,-20.0,110,300
ticks_20251003.xlsx,7011,89,-10.0,120,300
ticks_20251003.xlsx,7011,89,6.0,130,300
ticks_20251003.xlsx,7011,89,25.0,140,300
ticks_20251003.xlsx,7011,67,11.0,150,300
ticks_20251003.xlsx,7011,98,10.0,160,300
ticks_20251003.xlsx,7011,100,12.0,170,300
ticks_20251003.xlsx,7011,89,-27.0,180,300
ticks_20251003.xlsx,7011,100,16.0,190,300
ticks_20251003.xlsx,7011,100,-25.0,30,350
ticks_20251003.xlsx,7011,100,-31.0,40,350
ticks_20251003.xlsx,7011,100,-50.0,50,350
ticks_20251003.xlsx,7011,100,-42.0,60,350
ticks_20251003.xlsx,7011,84,-27.0,70,350
ticks_20251003.xlsx,7011,98,-10.0,80,350
ticks_20251003.xlsx,7011,94,5.0,90,350
ticks_20251003.xlsx,7011,84,-17.0,100,350
ticks_20251003.xlsx,7011,93,-8.0,110,350
ticks_20251003.xlsx,7011,97,-22.0,120,350
ticks_20251003.xlsx,7011,81,-6.0,130,350
ticks_20251003.xlsx,7011,71,-1.0,140,350
ticks_20251003.xlsx,7011,65,-19.0,150,350
ticks_20251003.xlsx,7011,73,-6.0,160,350
ticks_20251003.xlsx,7011,71,3.0,170,350
ticks_20251003.xlsx,7011,67,22.0,180,350
ticks_20251003.xlsx,7011,93,13.0,190,350
ticks_20251003.xlsx,7011,100,-26.0,30,400
ticks_20251003.xlsx,7011,100,-45.0,40,400
ticks_20251003.xlsx,7011,95,-29.0,50,400
ticks_20251003.xlsx,7011,86,-14.0,60,400
ticks_20251003.xlsx,7011,88,-11.0,70,400
ticks_20251003.xlsx,7011,78,-12.0,80,400
ticks_20251003.xlsx,7011,80,-15.0,90,400
ticks_20251003.xlsx,7011,69,-19.0,100,400
