file,code,trade,total,PERIOD_MA_1,PERIOD_MA_2
ticks_20250904.xlsx,7011,100,-11.0,30,300
ticks_20250904.xlsx,7011,100,-27.0,40,300
ticks_20250904.xlsx,7011,100,-34.0,50,300
ticks_20250904.xlsx,7011,100,-29.0,60,300
ticks_20250904.xlsx,7011,100,-39.0,70,300
ticks_20250904.xlsx,7011,100,-78.0,80,300
ticks_20250904.xlsx,7011,100,-57.0,90,300
ticks_20250904.xlsx,7011,76,-27.0,100,300
ticks_20250904.xlsx,7011,93,-49.0,110,300
ticks_20250904.xlsx,7011,88,-72.0,120,300
ticks_20250904.xlsx,7011,93,-64.0,130,300
ticks_20250904.xlsx,7011,90,-57.0,140,300
ticks_20250904.xlsx,7011,76,-21.0,150,300
ticks_20250904.xlsx,7011,82,-30.0,160,300
ticks_20250904.xlsx,7011,88,-38.0,170,300
ticks_20250904.xlsx,7011,84,-38.0,180,300
ticks_20250904.xlsx,7011,94,-35.0,190,300
ticks_20250904.xlsx,7011,100,-22.0,30,350
ticks_20250904.xlsx,7011,100,-20.0,40,350
ticks_20250904.xlsx,7011,100,-42.0,50,350
ticks_20250904.xlsx,7011,100,-49.0,60,350
ticks_20250904.xlsx,7011,89,-44.0,70,350
ticks_20250904.xlsx,7011,88,-65.0,80,350
ticks_20250904.xlsx,7011,88,-75.0,90,350
ticks_20250904.xlsx,7011,80,-79.0,100,350
ticks_20250904.xlsx,7011,88,-64.0,110,350
ticks_20250904.xlsx,7011,90,-51.0,120,350
ticks_20250904.xlsx,7011,84,-54.0,130,350
ticks_20250904.xlsx,7011,80,-46.0,140,350
ticks_20250904.xlsx,7011,82,-42.0,150,350
ticks_20250904.xlsx,7011,76,-41.0,160,350
ticks_20250904.xlsx,7011,80,-37.0,170,350
ticks_20250904.xlsx,7011,80,-35.0,180,350
ticks_20250904.xlsx,7011,78,-31.0,190,350
ticks_20250904.xlsx,7011,100,-48.0,30,400
ticks_20250904.xlsx,7011,90,-35.0,40,400
ticks_20250904.xlsx,7011,100,-55.0,50,400
ticks_20250904.xlsx,7011,98,-46.0,60,400
ticks_20250904.xlsx,7011,92,-49.0,70,400
ticks_20250904.xlsx,7011,74,-53.0,80,400
ticks_20250904.xlsx,7011,84,-37.0,90,400
ticks_20250904.xlsx,7011,74,-48.0,100,400
ticks_20250904.xlsx,7011,80,-40.0,110,400
ticks_20250904.xlsx,7011,62,-22.0,120,400
ticks_20250904.xlsx,7011,70,-13.0,130,400
ticks_20250904.xlsx,7011,74,-29.0,140,400
ticks_20250904.xlsx,7011,66,-17.0,150,400
ticks_20250904.xlsx,7011,64,-11.0,160,400
ticks_20250904.xlsx,7011,68,-7.0,170,400
ticks_20250904.xlsx,7011,58,8.0,180,400
ticks_20250904.xlsx,7011,66,-23.0,190,400
ticks_20250904.xlsx,7011,100,-43.0,30,450
ticks_20250904.xlsx,7011,100,-61.0,40,450
ticks_20250904.xlsx,7011,98,-36.0,50,450
ticks_20250904.xlsx,7011,80,-44.0,60,450
ticks_20250904.xlsx,7011,82,-46.0,70,450
ticks_20250904.xlsx,7011,70,-31.0,80,450
ticks_20250904.xlsx,7011,62,-3.0,90,450
ticks_20250904.xlsx,7011,68,-28.0,100,450
ticks_20250904.xlsx,7011,70,-28.0,110,450
ticks_20250904.xlsx,7011,68,-24.0,120,450
ticks_20250904.xlsx,7011,70,-6.0,130,450
ticks_20250904.xlsx,7011,62,10.0,140,450
ticks_20250904.xlsx,7011,62,3.0,150,450
ticks_20250904.xlsx,7011,64,-4.0,160,450
ticks_20250904.xlsx,7011,66,-8.0,170,450
ticks_20250904.xlsx,7011,57,-15.0,180,450
ticks_20250904.xlsx,7011,70,-23.0,190,450
ticks_20250904.xlsx,7011,100,-18.0,30,500
ticks_20250904.xlsx,7011,92,-13.0,40,500
ticks_20250904.xlsx,7011,87,-21.0,50,500
ticks_20250904.xlsx,7011,88,-26.0,60,500
ticks_20250904.xlsx,7011,84,-50.0,70,500
ticks_20250904.xlsx,7011,72,-61.0,80,500
ticks_20250904.xlsx,7011,70,-37.0,90,500
ticks_20250904.xlsx,7011,64,-27.0,100,500
ticks_20250904.xlsx,7011,64,-13.0,110,500
ticks_20250904.xlsx,7011,60,-6.0,120,500
ticks_20250904.xlsx,7011,56,1.0,130,500
ticks_20250904.xlsx,7011,60,1.0,140,500
ticks_20250904.xlsx,7011,58,2.0,150,500
ticks_20250904.xlsx,7011,60,-19.0,160,500
ticks_20250904.xlsx,7011,60,-8.0,170,500
ticks_20250904.xlsx,7011,54,-6.0,180,500
ticks_20250904.xlsx,7011,66,-12.0,190,500
ticks_20250904.xlsx,7011,100,-26.0,30,550
ticks_20250904.xlsx,7011,94,-16.0,40,550
ticks_20250904.xlsx,7011,84,-11.0,50,550
ticks_20250904.xlsx,7011,86,-28.0,60,550
ticks_20250904.xlsx,7011,76,-42.0,70,550
ticks_20250904.xlsx,7011,74,-24.0,80,550
ticks_20250904.xlsx,7011,62,-29.0,90,550
ticks_20250904.xlsx,7011,56,-22.0,100,550
ticks_20250904.xlsx,7011,56,-43.0,110,550
ticks_20250904.xlsx,7011,58,-23.0,120,550
ticks_20250904.xlsx,7011,52,-11.0,130,550
ticks_20250904.xlsx,7011,52,-23.0,140,550
ticks_20250904.xlsx,7011,48,-5.0,150,550
ticks_20250904.xlsx,7011,52,-11.0,160,550
ticks_20250904.xlsx,7011,54,-5.0,170,550
ticks_20250904.xlsx,7011,52,-9.0,180,550
ticks_20250904.xlsx,7011,54,-22.0,190,550
ticks_20250904.xlsx,7011,100,-46.0,30,600
ticks_20250904.xlsx,7011,82,-28.0,40,600
ticks_20250904.xlsx,7011,82,-24.0,50,600
ticks_20250904.xlsx,7011,66,-21.0,60,600
ticks_20250904.xlsx,7011,68,-14.0,70,600
ticks_20250904.xlsx,7011,55,-31.0,80,600
ticks_20250904.xlsx,7011,62,-15.0,90,600
ticks_20250904.xlsx,7011,54,-14.0,100,600
ticks_20250904.xlsx,7011,56,-13.0,110,600
ticks_20250904.xlsx,7011,54,-26.0,120,600
ticks_20250904.xlsx,7011,54,-19.0,130,600
ticks_20250904.xlsx,7011,52,-3.0,140,600
ticks_20250904.xlsx,7011,52,-36.0,150,600
ticks_20250904.xlsx,7011,50,-12.0,160,600
ticks_20250904.xlsx,7011,56,-8.0,170,600
ticks_20250904.xlsx,7011,54,-22.0,180,600
ticks_20250904.xlsx,7011,54,-20.0,190,600
ticks_20250904.xlsx,7011,100,-30.0,30,650
ticks_20250904.xlsx,7011,90,-31.0,40,650
ticks_20250904.xlsx,7011,84,-28.0,50,650
ticks_20250904.xlsx,7011,78,-30.0,60,650
ticks_20250904.xlsx,7011,70,-30.0,70,650
ticks_20250904.xlsx,7011,64,-14.0,80,650
ticks_20250904.xlsx,7011,62,-9.0,90,650
ticks_20250904.xlsx,7011,57,-11.0,100,650
ticks_20250904.xlsx,7011,60,-28.0,110,650
ticks_20250904.xlsx,7011,54,-36.0,120,650
ticks_20250904.xlsx,7011,56,-21.0,130,650
ticks_20250904.xlsx,7011,50,-12.0,140,650
