,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,24,89.0
1,ticks_20250820.xlsx,42,-24.0
2,ticks_20250821.xlsx,8,39.0
3,ticks_20250822.xlsx,24,25.0
4,ticks_20250825.xlsx,2,44.0
5,ticks_20250826.xlsx,18,46.0
6,ticks_20250827.xlsx,14,27.0
7,ticks_20250828.xlsx,120,-80.0
8,ticks_20250829.xlsx,28,3.0
9,ticks_20250901.xlsx,42,-6.0
10,ticks_20250902.xlsx,4,55.0
11,ticks_20250903.xlsx,10,126.0
12,ticks_20250904.xlsx,44,-9.0
13,ticks_20250905.xlsx,56,-41.0
14,ticks_20250908.xlsx,72,-16.0
15,ticks_20250909.xlsx,44,4.0
16,ticks_20250910.xlsx,42,-14.0
17,ticks_20250911.xlsx,18,-10.0
18,ticks_20250912.xlsx,34,21.0
19,ticks_20250916.xlsx,96,26.0
20,ticks_20250917.xlsx,12,47.0
21,ticks_20250918.xlsx,8,33.0
22,ticks_20250919.xlsx,30,22.0
23,ticks_20250922.xlsx,20,42.0
24,ticks_20250924.xlsx,166,-176.0
25,ticks_20250925.xlsx,26,61.0
26,ticks_20250926.xlsx,44,-23.0
27,ticks_20250929.xlsx,56,-44.0
28,ticks_20250930.xlsx,18,25.0
29,ticks_20251001.xlsx,196,30.0
30,ticks_20251002.xlsx,2,39.0
31,ticks_20251003.xlsx,70,-8.0
32,ticks_20251006.xlsx,124,-51.0
33,ticks_20251007.xlsx,22,67.0
34,ticks_20251008.xlsx,70,-165.0
35,ticks_20251009.xlsx,4,111.0
36,ticks_20251010.xlsx,86,68.0
37,ticks_20251014.xlsx,10,84.0
38,ticks_20251015.xlsx,78,-120.0
39,ticks_20251016.xlsx,16,-14.0
40,ticks_20251017.xlsx,90,-54.0
41,ticks_20251020.xlsx,20,-19.0
42,ticks_20251021.xlsx,14,187.0
43,ticks_20251022.xlsx,64,-68.0
44,ticks_20251023.xlsx,92,-101.0
45,ticks_20251024.xlsx,8,58.0
46,ticks_20251027.xlsx,10,44.0
47,ticks_20251028.xlsx,54,40.0
48,ticks_20251029.xlsx,4,91.0
49,ticks_20251030.xlsx,64,-65.0
50,ticks_20251031.xlsx,124,-169.0
51,ticks_20251104.xlsx,8,120.0
52,ticks_20251105.xlsx,12,18.0
53,ticks_20251106.xlsx,58,-51.0
54,ticks_20251107.xlsx,12,91.0
