Time,Price
1773100874.55302,2711
1773100876.54965,2710.5
1773100878.5571,2714
1773100880.5474,2714.5
1773100882.56542,2711
1773100884.57785,2711
1773100886.56895,2713
1773100888.64546,2716
1773100890.57259,2713.5
1773100892.56711,2714.5
1773100894.57634,2714.5
1773100896.56579,2714.5
1773100898.57145,2714.5
1773100900.56768,2715.5
1773100902.57292,2718.5
1773100904.56396,2718.5
1773100906.57004,2717
1773100908.56413,2714.5
1773100910.57168,2713
1773100912.57811,2714
1773100914.58119,2712
1773100916.57889,2712.5
1773100918.58611,2714.5
1773100920.58171,2714
1773100922.60298,2713
1773100924.59752,2715
1773100926.60229,2716
1773100928.60936,2715
1773100930.61765,2713.5
1773100932.61406,2714
1773100934.62529,2713
1773100936.63086,2713.5
1773100938.63628,2712.5
1773100940.62858,2713.5
1773100942.63772,2715
1773100944.64241,2715
1773100946.64744,2717.5
1773100948.65441,2715
1773100950.65688,2716
1773100952.65803,2716.5
1773100954.67884,2720
1773100956.68635,2721.5
1773100958.676,2720.5
1773100960.68498,2722.5
1773100962.68137,2722
1773100964.68973,2721.5
1773100966.69895,2721
1773100968.69292,2722
1773100970.70409,2722.5
1773100972.7114,2724.5
1773100974.70581,2725
1773100976.70374,2725
1773100978.70347,2724.5
1773100980.70489,2725.5
1773100982.71543,2727
1773100984.70478,2726
1773100986.70596,2727
1773100988.71192,2727
1773100990.70854,2726.5
1773100992.71682,2725
1773100994.71061,2727
1773100996.70467,2726.5
1773100998.71856,2728
1773101000.71359,2726
1773101002.70685,2727.5
1773101004.71999,2728
1773101006.74743,2728
1773101008.73528,2728
1773101010.74757,2728
1773101012.74071,2729.5
1773101014.74913,2726.5
1773101016.74579,2727
1773101018.73896,2727
1773101020.74082,2726.5
1773101022.74384,2726.5
1773101024.73665,2726.5
1773101026.76377,2727.5
1773101028.76158,2727.5
1773101030.76943,2727
1773101032.77988,2726
1773101034.77862,2725
1773101036.77409,2725
1773101038.76722,2724.5
1773101040.78084,2724
1773101042.77547,2723.5
1773101044.77305,2722.5
1773101046.7685,2723.5
1773101048.77288,2723.5
1773101050.7684,2723.5
1773101052.77511,2725
1773101054.76967,2723
1773101056.7934,2722.5
1773101058.79029,2722
1773101060.79628,2721
1773101062.79016,2722
1773101064.78466,2722.5
1773101066.79395,2722
1773101068.78441,2722.5
1773101070.79205,2723.5
1773101072.78483,2725
1773101074.79341,2724
